cntd_comp_id,cntd_comp_size,cntd_comp_num_genomes,congruent
1,80,66,False
2,77,75,False
3,61,57,True
4,26,25,False
5,19,14,False
6,16,17,False
7,15,28,True
8,15,37,False
9,14,17,False
10,11,22,False
11,11,19,True
13,9,18,False
14,8,8,False
15,7,7,False
16,6,7,True
17,6,3,False
18,6,6,True
19,6,7,False
20,5,6,False
21,5,4,True
22,5,5,False
23,5,7,False
24,5,4,True
25,5,6,True
26,4,10,True
27,4,2,True
28,4,4,True
29,4,10,False
30,4,3,True
31,4,4,True
32,4,5,False
33,4,5,True
34,4,4,False
35,4,4,True
36,4,4,False
37,4,4,True
38,4,4,True
39,3,3,True
40,3,2,False
41,3,2,True
42,3,3,True
43,3,2,True
44,3,2,False
45,3,3,True
46,3,1,NA
47,3,2,True
48,3,3,False
49,3,5,True
50,3,4,False
51,3,4,True
52,3,3,False
53,3,3,False
54,3,6,True
55,3,3,False
56,3,3,False
57,2,2,True
59,2,2,False
60,2,1,NA
61,2,2,True
62,2,1,NA
63,2,1,NA
64,2,2,True
66,2,2,True
68,2,2,True
69,2,2,False
70,2,2,True
71,2,1,NA
72,2,2,True
73,2,2,False
74,2,1,NA
75,2,6,False
76,2,2,True
77,2,3,True
78,2,2,True
79,2,2,True
80,2,4,True
81,2,2,True
82,2,2,True
83,2,2,True
84,2,2,False
85,2,2,True
86,2,3,True
87,2,2,True
88,2,3,True
89,2,2,True
90,2,2,True
91,2,2,True
92,2,2,True
93,2,2,True
94,2,3,True
95,2,2,True
96,2,3,True
97,2,2,True
98,2,2,True
99,2,2,True
100,2,2,True
101,1,2,False
103,1,2,False
104,1,1,NA
106,1,2,False
111,1,1,NA
113,1,1,NA
115,1,1,NA
121,1,1,NA
125,1,2,False
129,1,7,True
130,1,3,False
132,1,27,False
136,1,2,False
138,1,1,NA
139,1,1,NA
140,1,2,False
144,1,1,NA
145,1,2,False
146,1,1,NA
147,1,1,NA
149,1,3,False
154,1,2,False
155,1,1,NA
158,1,2,False
159,1,2,False
160,1,1,NA
162,1,1,NA
164,1,1,NA
165,1,4,False
166,1,1,NA
167,1,1,NA
168,1,1,NA
169,1,1,NA
170,1,1,NA
171,1,1,NA
172,1,2,False
173,1,2,False
174,1,1,NA
175,1,1,NA
176,1,1,NA
177,1,1,NA
178,1,1,NA
179,1,1,NA
180,1,1,NA
181,1,1,NA
182,1,1,NA
183,1,2,False
184,1,1,NA
185,1,1,NA
186,1,1,NA
187,1,1,NA
188,1,1,NA
189,1,1,NA
190,1,2,False
191,1,1,NA
192,1,2,False
193,1,1,NA
194,1,2,False
195,1,3,False
196,1,1,NA
197,1,1,NA
198,1,1,NA
199,1,1,NA
200,1,1,NA
201,1,1,NA
202,1,1,NA
203,1,1,NA
204,1,1,NA
205,1,1,NA
206,1,1,NA
207,1,1,NA
208,1,1,NA
209,1,1,NA
210,1,1,NA
211,1,1,NA
212,1,1,NA
213,1,1,NA
214,1,1,NA
215,1,1,NA
216,1,1,NA
217,1,1,NA
218,1,1,NA
219,1,1,NA
220,1,1,NA
221,1,1,NA
222,1,1,NA
223,1,1,NA
224,1,1,NA
225,1,1,NA
226,1,1,NA
227,1,1,NA
228,1,1,NA
229,1,2,True
230,1,1,NA
231,1,1,NA
232,1,1,NA
233,1,1,NA
234,1,1,NA
235,1,1,NA
236,1,1,NA
237,1,1,NA
238,1,1,NA
239,1,1,NA
240,1,1,NA
241,1,1,NA
242,1,2,False
243,1,1,NA
244,1,1,NA
245,1,2,False
246,1,1,NA
247,1,1,NA
248,1,1,NA
249,1,1,NA
250,1,1,NA
251,1,1,NA
252,1,1,NA
253,1,1,NA
254,1,1,NA
255,1,1,NA
256,1,1,NA
257,1,1,NA
258,1,1,NA
259,1,1,NA
260,1,1,NA
261,1,1,NA
262,1,1,NA
263,1,1,NA
264,1,1,NA
265,1,1,NA
266,1,2,False
267,1,1,NA
268,1,1,NA
269,1,1,NA
270,1,1,NA
271,1,1,NA
272,1,1,NA
273,1,1,NA
274,1,1,NA
275,1,1,NA
276,1,1,NA
277,1,1,NA
278,1,1,NA
