ST,Degree
1,2
2,6
3,9
4,2
5,7
6,2
7,2
8,13
9,2
10,1
11,0
12,3
13,6
14,6
15,0
16,0
17,3
18,3
19,2
20,1
21,1
22,1
23,5
24,5
25,0
26,1
27,2
28,2
29,1
30,0
31,3
32,0
33,0
34,0
35,0
36,3
37,3
38,1
39,3
40,2
41,2
42,3
43,2
44,1
45,4
46,1
47,1
48,1
49,3
50,0
51,1
52,0
53,1
54,1
55,1
56,2
57,4
58,4
59,1
60,1
61,5
62,1
63,5
64,4
65,0
66,0
67,2
68,0
69,0
70,2
71,1
72,1
73,0
74,1
75,2
76,0
77,2
78,4
79,1
80,3
81,2
82,1
83,0
84,0
85,1
86,2
87,2
88,1
89,1
90,0
91,1
92,2
93,2
94,4
95,2
96,1
97,2
98,4
99,1
100,2
101,2
102,1
103,0
104,0
105,10
106,4
107,5
108,4
109,1
110,1
111,1
112,6
113,4
114,2
115,4
116,3
117,0
118,1
119,1
120,1
121,2
122,0
123,1
124,1
125,0
126,1
127,2
128,1
129,2
130,1
131,4
132,4
133,1
134,1
135,1
136,0
137,1
138,2
139,3
140,2
141,3
142,4
143,2
144,1
145,1
146,1
147,2
148,1
149,3
150,1
151,1
152,2
153,2
154,1
155,1
156,3
157,1
158,0
159,0
160,0
161,2
162,0
163,2
164,0
165,1
166,1
167,0
168,3
169,0
170,0
171,0
172,2
173,0
174,1
175,2
176,3
177,1
178,1
179,0
180,1
181,1
182,1
183,0
184,0
185,0
186,2
187,0
188,0
189,0
190,1
191,0
192,1
193,2
194,0
195,0
196,1
197,1
198,4
199,4
200,1
201,2
202,0
203,0
204,1
205,1
206,0
207,2
208,1
209,4
210,1
211,2
212,2
213,1
214,1
215,3
216,1
217,1
218,1
219,0
220,1
221,2
222,0
223,1
224,0
225,0
226,0
227,0
228,0
229,0
230,0
231,0
232,2
233,1
234,0
235,0
236,0
237,0
238,1
239,0
240,4
241,2
242,0
243,4
244,1
245,2
246,1
247,1
248,3
249,2
250,2
251,0
252,1
253,1
254,3
255,3
256,1
257,0
258,4
259,2
260,3
261,2
262,0
263,2
264,1
265,2
266,1
267,0
268,1
269,2
270,1
271,1
272,1
273,1
274,1
275,1
276,1
277,6
278,1
279,0
280,2
281,2
282,1
283,0
284,0
285,1
286,2
287,0
288,0
289,1
290,3
291,0
292,2
293,1
294,1
295,1
296,0
297,0
298,4
299,1
300,2
301,1
302,2
303,0
304,2
305,1
306,0
307,0
308,3
309,1
310,1
311,1
312,1
313,0
314,2
315,1
316,1
317,1
318,1
319,0
320,0
321,2
322,1
323,1
324,1
325,2
326,1
327,5
328,0
329,5
330,1
331,2
332,0
333,1
334,1
335,1
336,0
337,0
338,1
339,1
340,1
341,0
342,7
343,1
344,1
345,1
346,1
347,1
348,0
349,4
350,1
351,1
352,2
353,1
354,1
355,2
356,1
357,1
358,1
359,2
