organism,type,count
Streptomyces californicus,all,3
Streptomyces purpeochromogenes,all,1
Streptomyces sp.,all,358
Streptomyces atroolivaceus,all,1
Streptomyces exfoliatus,all,1
Streptomyces griseus,all,9
Streptomyces kanamyceticus,all,1
Streptomyces venezuelae,all,6
Streptomyces virginiae,all,3
Streptomyces bobili,all,1
Streptomyces albovinaceus,all,1
Streptomyces cyaneus,all,1
Streptomyces mutomycini,all,1
Streptomyces subrutilus,all,2
Streptomyces alboviridis,all,1
Streptomyces albidoflavus,all,22
Streptomyces nojiriensis,all,1
Streptomyces spororaveus,all,1
Streptomyces fulvorobeus,all,1
Streptomyces ochraceiscleroticus,all,1
Streptomyces niveus,all,2
Streptomyces hygroscopicus,all,5
Streptomyces lydicus,all,5
Streptomyces tubercidicus,all,1
Streptomyces chattanoogensis,all,1
Streptomyces caniferus,all,1
Streptomyces antimycoticus,all,3
Streptomyces albospinus,all,1
Streptomyces decoyicus,all,1
Streptomyces luteoverticillatus,all,1
Streptomyces cinnamoneus,all,1
Streptomyces libani,all,1
Streptomyces asiaticus,all,1
Streptomyces indonesiensis,all,1
Streptomyces rhizosphaericus,all,2
Streptomyces monomycini,all,1
Streptomyces griseorubiginosus,all,5
Streptomyces pristinaespiralis,all,1
Streptomyces nitrosporeus,all,1
Streptomyces tricolor,all,1
Streptomyces alboflavus,all,2
Streptomyces albus,all,3
Streptomyces angustmyceticus,all,1
Streptomyces avermitilis,all,1
Streptomyces bottropensis,all,1
Streptomyces clavuligerus,all,1
Streptomyces coelicolor,all,1
Streptomyces variegatus,all,1
Streptomyces flavovariabilis,all,1
Streptomyces fulvissimus,all,3
Streptomyces ossamyceticus,all,1
Streptomyces iakyrus,all,1
Streptomyces ipomoeae,all,4
Streptomyces katrae,all,3
Streptomyces lavendulae,all,3
Streptomyces lavenduligriseus,all,1
Streptomyces leeuwenhoekii,all,2
Streptomyces mobaraensis,all,2
Streptomyces neyagawaensis,all,1
Streptomyces nodosus,all,2
Streptomyces novaecaesareae,all,1
Streptomyces pyridomyceticus,all,1
Streptomyces olivaceus,all,3
Streptomyces prunicolor,all,1
Streptomyces purpureus,all,2
Streptomyces resistomycificus,all,1
Streptomyces scopuliridis,all,1
Streptomyces varsoviensis,all,1
Streptomyces vietnamensis,all,1
Streptomyces vitaminophilus,all,1
Streptomyces viridochromogenes,all,3
Streptomyces wedmorensis,all,1
Streptomyces xanthophaeus,all,2
Streptomyces xinghaiensis,all,2
Streptomyces yeochonensis,all,1
Streptomyces zinciresistens,all,1
Streptomyces bingchenggensis,all,1
Streptomyces violaceusniger,all,2
Streptomyces chartreusis,all,4
Streptomyces globisporus,all,3
Streptomyces rimosus,all,7
Streptomyces capuensis,all,1
Streptomyces davaonensis,all,1
Streptomyces lividans,all,1
Streptomyces albulus,all,3
Streptomyces collinus,all,1
Streptomyces fradiae,all,1
Streptomyces griseorubens,all,1
Streptomyces baarnensis,all,1
Streptomyces bikiniensis,all,1
Streptomyces flavochromogenes,all,1
Streptomyces violens,all,1
Streptomyces violaceoruber,all,2
Streptomyces catenulae,all,1
Streptomyces fulvoviolaceus,all,1
Streptomyces caelestis,all,2
Streptomyces cinnamonensis,all,1
Streptomyces roseoverticillatus,all,1
Streptomyces flavovirens,all,1
Streptomyces cellulosae,all,1
Streptomyces griseolus,all,1
Streptomyces pseudovenezuelae,all,1
Streptomyces erythrochromogenes,all,1
Streptomyces peucetius,all,1
Streptomyces seoulensis,all,1
Streptomyces scabiei,all,7
Streptomyces luteus,all,1
Streptomyces lydicamycinicus,all,1
Streptomyces cyaneogriseus,all,1
Streptomyces antioxidans,all,1
Streptomyces malaysiense,all,1
Streptomyces stelliscabiei,all,1
Streptomyces caatingaensis,all,1
Streptomyces europaeiscabiei,all,1
Streptomyces ambofaciens,all,2
Streptomyces aureus,all,1
Streptomyces hirsutus,all,2
Streptomyces prasinopilosus,all,2
Streptomyces luridiscabiei,all,1
Streptomyces prasinus,all,1
Streptomyces anulatus,all,5
Streptomyces roseifaciens,all,1
Streptomyces curacoi,all,1
Streptomyces canus,all,2
Streptomyces corchorusii,all,1
Streptomyces caeruleatus,all,1
Streptomyces lincolnensis,all,1
Streptomyces fodineus,all,1
Streptomyces nanshensis,all,1
Streptomyces monashensis,all,1
Streptomyces amritsarensis,all,1
Streptomyces africanus,all,1
Streptomyces murinus,all,3
Streptomyces diastatochromogenes,all,1
Streptomyces kasugaensis,all,2
Streptomyces fungicidicus,all,1
Streptomyces cavourensis,all,3
Streptomyces noursei,all,2
Streptomyces nigra,all,1
Streptomyces coelicoflavus,all,3
Streptomyces rubrogriseus,all,2
Streptomyces atratus,all,3
Streptomyces inhibens,all,1
Streptomyces rapamycinicus,all,1
Streptomyces chrestomyceticus,all,1
Streptomyces griseofuscus,all,3
Streptomyces aquilus,all,1
Streptomyces cyaneochromogenes,all,1
Streptomyces roseicoloratus,all,1
Streptomyces hawaiiensis,all,1
Streptomyces gardneri,all,2
Streptomyces asterosporus,all,1
Streptomyces capillispiralis,all,1
Streptomyces misionensis,all,2
Streptomyces parvus,all,3
Streptomyces filamentosus,all,1
