	GCF_000299175.2 | Streptomyces sp. SM8 - ST 247:386	GCF_000359525.1 | Streptomyces albidoflavus J1074 - ST 39:387	GCF_000495755.1 | Streptomyces sp. PVA 94-07 - ST 258:388	GCF_000719495.1 | Streptomyces albidoflavus NRRL F-5621 - ST 295:389	GCF_000725635.1 | Streptomyces sp. NRRL B-3253 - ST 324:390	GCF_000797385.1 | Streptomyces sp. CNQ431 - ST 330:391	GCF_000800535.1 | Streptomyces sp. M10 - ST 331:392	GCF_001014595.1 | Streptomyces sp. KE1 - ST 345:393	GCF_001431765.1 | Streptomyces sp. FR-008 - ST 377:394	GCF_001509565.1 | Streptomyces albidoflavus NRRL WC-3066 - ST 382:395	GCF_001865795.1 | Streptomyces albidoflavus OsiLf-2 - ST 411:396	GCF_002289335.1 | Streptomyces albidoflavus 132 - ST 447:397	GCF_002317005.1 | Streptomyces albidoflavus 38 - ST 447:398	GCF_002317025.1 | Streptomyces albidoflavus 138 - ST 447:399	GCF_002844215.1 | Streptomyces sp. EAG2 - ST 472:400	GCF_002910795.1 | Streptomyces sp. SM9 - ST 479:401	GCF_002910815.1 | Streptomyces sp. FM008 - ST 479:402	GCF_003687515.1 | Streptomyces sp. S5 - ST 516:403	GCF_004000395.1 | Streptomyces sp. B29(2018) - ST 548:404	GCF_004078575.1 | Streptomyces albidoflavus BSII#1 - ST 550:405	GCF_004124335.1 | Streptomyces sp. N1 - ST 553:406	GCF_004195735.1 | Streptomyces albidoflavus DSM 40455 - ST 557:407	GCF_004195745.1 | Streptomyces albidoflavus NBRC 100770 - ST 558:408	GCF_004195755.1 | Streptomyces albidoflavus NBRC 13083 - ST 110:409	GCF_004195845.1 | Streptomyces albidoflavus CGMCC 4.1681 - ST 105:410	GCF_004195855.1 | Streptomyces albidoflavus FXJ.2339 - ST 148:411	GCF_004195885.1 | Streptomyces albidoflavus NBRC 12790 - ST 107:412	GCF_004195895.1 | Streptomyces albidoflavus Ma24 - ST 559:413	GCF_004195935.1 | Streptomyces albidoflavus CR33 - ST 144:414	GCF_004195945.1 | Streptomyces albidoflavus CR10 - ST 138:415	GCF_004195955.1 | Streptomyces albidoflavus CR25 - ST 144:416	GCF_004195965.1 | Streptomyces albidoflavus Ma1 - ST 152:417	GCF_004195995.1 | Streptomyces albidoflavus CR47 - ST 146:418	GCF_004196035.1 | Streptomyces albidoflavus CR19 - ST 143:419	GCF_004196145.1 | Streptomyces albidoflavus FXJ8.031 - ST 150:420	GCF_004196155.1 | Streptomyces albidoflavus CGMCC 4.1615 - ST 150:421	GCF_004196225.1 | Streptomyces sp. SCA2-2 - ST 560:422	GCF_007896905.1 | Streptomyces albidoflavus 77 - ST 588:423	GCF_009834105.1 | Streptomyces sp. GF20 - ST 617:424	GCF_009846825.1 | Streptomyces sp. FR-008 - ST 377:425	GCF_010523235.1 | Streptomyces sp. 604F - ST 644:426	GCF_013363465.1 | Streptomyces odorifer KAI-180 - ST 673:427	GCF_013363555.1 | Streptomyces fungicidicus CAI-93 - ST 447:428	GCF_013693715.1 | Streptomyces albidoflavus J1074/R2 - ST 39:429	GCF_015601545.1 | Streptomyces albidoflavus W68 - ST 673:430	GCF_016613285.1 | Streptomyces sp. DEF1AK - ST 738:431	GCF_016613335.1 | Streptomyces sp. DEF147AK - ST 738:432	GCF_016803985.1 | Streptomyces koyangensis SCSIO 5802 - ST 746:433	GCF_017979945.1 | Streptomyces sp. 604F - ST 644:434	GCF_018619165.1 | Streptomyces sp. McG6 - ST 775:435	GCF_018619195.1 | Streptomyces sp. McG5 - ST 775:436	GCF_018619235.1 | Streptomyces sp. McG2 - ST 775:437	GCF_018638335.1 | Streptomyces sp. G11C - ST 778:438	GCF_019067045.1 | Streptomyces sp. NK08203 - ST 786:439	GCF_900091785.1 | Streptomyces sp. BvitLS-983 - ST 635:440	GCF_900091885.1 | Streptomyces sp. ScaeMP-6W - ST 632:441	GCF_900171555.1 | Streptomyces albidoflavus R-53649 - ST 802:442
GCF_000299175.2 | Streptomyces sp. SM8 - ST 247:386	1.0	0.8855632115000001	0.7809191359000001	0.813810117	0.9061183777	0.770310212	0.8069674919000001	0.8059340725	0.9081957132	0.9165572577000001	0.8938406438000001	0.7974559464000001	0.8102874779	0.8097571926	0.7979068778	0.8359266087	0.8388257534	0.8799971058	0.8969262069	0.7626086899000001	0.8957561925	0.8967292918	0.9147052480000001	0.9107284585000001	0.9198222418	0.9116979191000001	0.9061308336	0.9015466443	0.89388235	0.8978819520000001	0.8935773905000001	0.8923719677	0.8972370445000001	0.8967477657	0.8983769689000001	0.8984872525	0.7952364178	0.9290232297000001	0.8982371549	0.9098249163000001	0.7761597243	0.8031253381	0.8339545186	0.8853453033	0.8127482869	0.90768936	0.9081208379000001	0.793636605	0.7740034549	0.8753355219000001	0.8926620921	0.8666967288	0.7707733194	0.9008716468	0.9073684458	0.9170363199	0.9015616194
GCF_000359525.1 | Streptomyces albidoflavus J1074 - ST 39:387	0.9248553967	1.0	0.8077961907000001	0.8319921118	0.9343405369000001	0.7904031616	0.8287196552	0.8300972470000001	0.9335480379000001	0.9394381384	0.9202942156	0.8182578498	0.8318745963	0.8317804670000001	0.8228381783000001	0.8579520814	0.8609336726	0.8995021522000001	0.9322429432	0.7834166880000001	0.9224742456	0.9364564011000001	0.9422697657	0.9387282218	0.9469421772000001	0.9327906182000001	0.9308217946	0.9294928752	0.9282541387000001	0.9241248711000001	0.9289592319000001	0.9176939653	0.9279075849	0.9254010254	0.9238961250000001	0.9235212154	0.8197403871000001	0.94257744	0.9269833925000001	0.9292177953	0.8032414408	0.8293405581000001	0.8579206563	1.0204289931	0.8391396577	0.9386070522000001	0.9392136311	0.8264894911	0.8026461165000001	0.8981418076000001	0.9163923785	0.8900417136000001	0.7919522033	0.9296827417	0.9229112748	0.9232106178	0.9353598818000001
GCF_000495755.1 | Streptomyces sp. PVA 94-07 - ST 258:388	0.7852117933	0.7777289781000001	1.0	0.8023753794	0.7949895225	0.9056566362	0.8001246526	0.7932750918	0.8024121082	0.8000742737000001	0.7982710467	0.7595838477	0.7724096413	0.7720492492000001	0.7688240142	0.7309724297	0.7341123863	0.7706967585000001	0.7911455276	0.9078621909000001	0.7986260913000001	0.7845872638	0.8017927854	0.7965647779	0.8053694061000001	0.8008573983	0.7959360267000001	0.7966666615	0.7949384399	0.7977019621	0.7954391331	0.7973650707000001	0.7973867421	0.7931944574	0.7928852885000001	0.7927200795	0.7544665894	0.8040550515	0.7971314702000001	0.7982174311	0.9230514305	0.7946861232	0.7932570792	0.7777399545	0.8062317579	0.8023410429000001	0.8024917575	0.7609511143000001	0.920261171	0.7702990748	0.7848771536	0.7633011917	0.9016869756	0.7950315987000001	0.7941190088000001	0.7922396505	0.7953134673000001
GCF_000719495.1 | Streptomyces albidoflavus NRRL F-5621 - ST 295:389	0.7920837193	0.7753770501	0.7766848744	1.0	0.7991137689000001	0.7723573803	0.9251225958	0.8287966545000001	0.8070720046000001	0.8087320874	0.7983538114000001	0.7552408326000001	0.7697114913	0.7697010026000001	0.7862233695	0.732787419	0.7362145153	0.7817845856000001	0.7931430829	0.7593490165	0.7997439111	0.7969084073	0.8081233313	0.8025584373	0.8092332316	0.8117374544	0.8024545034	0.7990854356	0.7993676783	0.8111021359	0.8001574674	0.8006767286	0.807579551	0.7998622841	0.7993447938	0.7993810276000001	0.7809347246	0.8065782161	0.7963191304	0.8069593527000001	0.7809898927000001	0.8830105432	0.7913337057000001	0.7753662889	0.894790225	0.8022459543	0.8023730453	0.7766397864	0.771417207	0.781590067	0.7970970686000001	0.7742040811	0.7666388329	0.7985680815	0.8040120144	0.7952500954	0.7985857898000001
GCF_000725635.1 | Streptomyces sp. NRRL B-3253 - ST 324:390	0.9258419212000001	0.9141191884000001	0.8078534030000001	0.8389044807	1.0	0.8007191197	0.8386407882	0.838003436	0.9460392787	0.9548127740000001	0.9241856921	0.8308295417	0.8450326141000001	0.8446423663	0.8313081636	0.8563858342	0.8607087322	0.903638127	0.9251026098	0.7880674572	0.9284615431000001	0.9377013622	0.9572946867000001	0.9610630297	0.94673712	0.9751182398	0.9690334355	0.9276917727	0.9214571041	0.9256684619000001	0.9224117738000001	0.9268768141	0.926276928	0.9263931872000001	0.9347482638	0.9329457454000001	0.8291615866000001	0.9455362038	0.9341081946	0.9456727691000001	0.8006905197	0.8281185426000001	0.8728896378000001	0.9130435404	0.8392052102	0.9674561425	0.967729559	0.826672238	0.7999316173000001	0.9025536129	0.9209330081	0.8938364597	0.799764879	0.9289893571000001	0.9610494446000001	0.9243346984	0.9340165314000001
GCF_000797385.1 | Streptomyces sp. CNQ431 - ST 330:391	0.7820840327	0.7683908137000001	0.9144723717000001	0.8056716140000001	0.7956389951	1.0	0.8063928781	0.7970029459	0.7992048191000001	0.7938578592000001	0.7946326924	0.7678262782	0.7868316442000001	0.7866496231000001	0.7743301594	0.7250484679	0.7286024982	0.7717297152	0.788087178	0.8979223729	0.7945261227	0.7780278457	0.7953403156000001	0.7973725298000001	0.8071782261	0.8061403788	0.7996417551	0.7925460566	0.7905188157	0.798286472	0.7905223680000001	0.8019322944	0.7949393291	0.7883949515	0.7937024095	0.7937068144	0.7638939963	0.7982167043	0.7943611527000001	0.8001073939000001	0.9357097347000001	0.8002449399	0.8034241289	0.7683962133000001	0.7993001635	0.8006305803	0.8008667389	0.7629411206000001	0.9241813027	0.7679442154	0.7823538673	0.7608483748	0.9234188316	0.7922877315	0.7990043259	0.7893474009	0.7904362596000001
GCF_000800535.1 | Streptomyces sp. M10 - ST 331:392	0.8000302199	0.7866901692	0.788909626	0.942327008	0.8137189512	0.7874251318000001	1.0	0.8457277747	0.8160348398	0.8155993012	0.8091890172	0.7644432925	0.7776776152	0.7770762695000001	0.8012086299000001	0.7409762419	0.7448011834	0.7891449472000001	0.8023720548000001	0.7704373243	0.8132209748	0.8015022265	0.8261099469000001	0.8184545138	0.8215612816000001	0.8183891622	0.8170559064	0.8113409024	0.8108158696000001	0.8101377947	0.8115092070000001	0.8124083118000001	0.8118739827	0.8129287658000001	0.8134647599	0.8132091810000001	0.7908313236000001	0.8155954162	0.8105984472000001	0.8162125794	0.7904339415	0.8883959846	0.8014848826000001	0.7865354621	0.9049171734	0.8171612182	0.8172823476000001	0.7917061470000001	0.7898231608	0.7818369460000001	0.7972596452	0.7744995296	0.7848184218	0.8100170816000001	0.8112633407000001	0.8066699976	0.8121245665
GCF_001014595.1 | Streptomyces sp. KE1 - ST 345:393	0.8431231419	0.8315075523000001	0.8253431712	0.8908231205	0.8579962504	0.821227825	0.8924250133	1.0	0.8615376619	0.8569839584000001	0.8525964324	0.800014934	0.8133865882	0.8130294896	0.8572294912	0.7814566375	0.7847229411000001	0.8291408036	0.8487737636	0.8069541269	0.8598051697	0.8417133416	0.8563009468	0.8605618265	0.8569598004000001	0.8605003335	0.8592100052	0.8567930372	0.8543112088	0.8526134162000001	0.8548265787	0.8562451638	0.8561173462	0.8546097427	0.8580899540000001	0.8576265603000001	0.8442998545	0.857531539	0.8571322737	0.8614906637	0.8187612234	0.8861711746000001	0.8389537697	0.8315494261	0.8918772863000001	0.8604370835	0.8602953568	0.8454433316000001	0.8186228641000001	0.8179134984	0.8336369673	0.8101027153	0.8206880043	0.855526867	0.8551804564000001	0.8513473923	0.8528328876
GCF_001431765.1 | Streptomyces sp. FR-008 - ST 377:394	0.8940785731	0.8799918325	0.7856207834000001	0.8163201563	0.9114933513000001	0.7749373074	0.8103163241	0.8107351705	1.0	0.9113576396	0.9007763951000001	0.8074390975	0.82241878	0.8236214477	0.8018924141	0.8263084024	0.8293453142	0.8826696938	0.9080367664000001	0.7647882738	0.9105831871000001	0.8944071746000001	0.9131110077000001	0.9176371663	0.9207896742	0.9244034642000001	0.9087087118	0.9042762424	0.8989360889	0.9039342764	0.8995835096	0.9020850145	0.9062860161	0.9050659883000001	0.9063835633	0.9047626002	0.8004402296	0.9254876426	0.9156271171	1.0005958916	0.7882166665	0.8032729538000001	0.8491089388	0.8800049214000001	0.8162051113000001	0.9146898105	0.9151404837	0.8032375447000001	0.7799801351000001	0.8802290869	0.8980409425	0.8719610043	0.7747208575000001	0.9157442287	0.9141393857000001	0.8972543655	0.8986141007
GCF_001509565.1 | Streptomyces albidoflavus NRRL WC-3066 - ST 382:395	0.9157963169000001	0.8987796085	0.7950397614	0.8302253009	0.9336962401000001	0.7812576386000001	0.8219885814000001	0.8185034067	0.9249790383000001	1.0	0.911989935	0.8160142959000001	0.8291457539	0.8287712686	0.81280586	0.8441204126	0.8483226749	0.8884271448000001	0.9085743995000001	0.775350615	0.9022625458	0.9477166463000001	0.9658177960000001	0.9375683457	0.9299463527	0.9336314953	0.9362594649	0.9114957487	0.9044793927	0.9089199384000001	0.9043096297000001	0.9041903482	0.9086722859	0.9103745301	0.9102822372	0.9100951344	0.8122241352	0.9268528633	0.9099495633	0.9249493927	0.7874200059	0.8211064853000001	0.8536174891	0.8990142562000001	0.8273422673	0.9399964873000001	0.9404512394000001	0.8084455810000001	0.7869329512000001	0.8912266954	0.9093583296000001	0.8833074074	0.7825916902000001	0.9146202819	0.9251164988	0.9086767607	0.9205547137000001
