	GCF_000738715.1 | Streptomyces scabiei NCPPB 4066 - ST 327:97	GCF_001005405.1 | Streptomyces scabiei NRRL B-16523 - ST 327:98	GCF_001485125.1 | Streptomyces scabiei S58 - ST 381:99	GCF_001550215.1 | Streptomyces scabiei 85-08 - ST 392:100	GCF_001550225.1 | Streptomyces scabiei 95-18 - ST 393:101	GCF_001550245.1 | Streptomyces scabiei 84-34 - ST 327:102	GCF_001550295.1 | Streptomyces scabiei 96-15 - ST 394:103	GCF_001572115.1 | Streptomyces scabiei 84-232 - ST 395:104	GCF_001579685.1 | Streptomyces scabiei 96-06 - ST 396:105	GCF_003584815.1 | Streptomyces scabiei ST129 - ST 393:106
GCF_000738715.1 | Streptomyces scabiei NCPPB 4066 - ST 327:97	1.0	0.9867233099	0.8168994963	0.9277059087	0.9090221614	0.9785935438000001	0.8899382243	0.9131178629000001	0.8330968924000001	0.8839754368
GCF_001005405.1 | Streptomyces scabiei NRRL B-16523 - ST 327:98	1.0038628607	1.0	0.8185783803000001	0.9300474422	0.9092051906	0.9785328081	0.8918536203	0.9138928018	0.8361417534000001	0.8880307012
GCF_001485125.1 | Streptomyces scabiei S58 - ST 381:99	0.8176284007	0.8053202340000001	1.0	0.7985542319000001	0.7900782566000001	0.7978057312	0.7431515838	0.7966005911	0.7105391115	0.7794764635
GCF_001550215.1 | Streptomyces scabiei 85-08 - ST 392:100	0.9306348714	0.9170544074	0.8003612879	1.0	0.9073603036000001	0.9253115572	0.8539449746000001	0.9213060439	0.8472439323000001	0.8889773324
GCF_001550225.1 | Streptomyces scabiei 95-18 - ST 393:101	0.8675249178000001	0.8528848378	0.753338662	0.8632135777000001	1.0	0.8679814878000001	0.7991293232000001	0.8445270997000001	0.7896349747	0.8820721394000001
GCF_001550245.1 | Streptomyces scabiei 84-34 - ST 327:102	0.9803443106	0.9635465006	0.7985205518	0.9240495802	0.911127726	1.0	0.8953557983	0.9131232478	0.8381391649000001	0.8792937494
GCF_001550295.1 | Streptomyces scabiei 96-15 - ST 394:103	0.9662618243000001	0.9518084168000001	0.8061670215000001	0.9242635979	0.9091688363	0.9704079025000001	1.0	0.9064849761	0.8344662151000001	0.8776127614
GCF_001572115.1 | Streptomyces scabiei 84-232 - ST 395:104	0.9296482852	0.9145513415000001	0.8102986548000001	0.9350326044	0.90094429	0.9279935274000001	0.8499971777	1.0	0.865249935	0.8797846476000001
GCF_001579685.1 | Streptomyces scabiei 96-06 - ST 396:105	0.924244095	0.9117842408	0.7875748125	0.9369806847000001	0.9179310476	0.9281774618	0.8526385564000001	0.942846323	1.0	0.88783294
GCF_003584815.1 | Streptomyces scabiei ST129 - ST 393:106	0.9015576212	0.8902300971	0.7942714598	0.9038054999999999	0.9426487802	0.8951812786000001	0.8243682572000001	0.8813285460000001	0.816193958	1.0
