	GCF_000590515.1 | Streptomyces sp. PRh5 - ST 261:532	GCF_001509775.1 | Streptomyces violaceusniger NRRL F-8817 - ST 383:533	GCF_001598115.1 | Streptomyces sp. AgN23 - ST 398:534	GCF_002154275.1 | Streptomyces antimycoticus NRRL B-24289 - ST 94:535	GCF_002155885.1 | Streptomyces rhizosphaericus NRRL B-24304 - ST 99:536	GCF_003949695.1 | Streptomyces sp. WAC05858 - ST 531:537	GCF_005405925.1 | Streptomyces antimycoticus NBRC 12839 - ST 67:538	GCF_005938145.1 | Streptomyces sp. DASNCL29 - ST 576:539	GCF_009936315.1 | Streptomyces antimycoticus NBRC 100767 - ST 95:540	GCF_010892295.1 | Streptomyces rhizosphaericus 0250 - ST 662:541	GCF_014076605.1 | Streptomyces sp. GMR22 - ST 687:542	GCF_017942185.1 | Streptomyces rhizosphaericus DSM 41760 - ST 99:543	GCF_018138705.1 | Streptomyces indonesiensis DSM 41759 - ST 98:544	GCF_018138715.1 | Streptomyces asiaticus DSM 41761 - ST 98:545
GCF_000590515.1 | Streptomyces sp. PRh5 - ST 261:532	1.0	0.684025298	0.6885676244000001	0.6615153045000001	0.8140476325	0.6815039586	0.7256723722	0.8400544993	0.7134071526	0.7926176460000001	0.8236557337	0.8042830923000001	0.8428484793000001	0.8442687908000001
GCF_001509775.1 | Streptomyces violaceusniger NRRL F-8817 - ST 383:533	0.7248320486000001	1.0	0.9569183784	0.9312340873	0.7051968955	0.9576563206	0.8322771680000001	0.7287101890000001	0.8302767221	0.6979595356	0.7407721367	0.6981360146000001	0.7245630281000001	0.7275676643
GCF_001598115.1 | Streptomyces sp. AgN23 - ST 398:534	0.7028636566	0.9217946025	1.0	0.8972994931	0.6849468433	0.9192395176	0.8100571346000001	0.711423122	0.8090939473000001	0.6809447211	0.7210814258	0.6839200205	0.7059767253	0.7089158327
GCF_002154275.1 | Streptomyces antimycoticus NRRL B-24289 - ST 94:535	0.6784711018	0.9013326417	0.9015802548	1.0	0.6638455486	0.9056467177	0.7832919612	0.6848030953	0.7777683190000001	0.6547532608000001	0.6961753486000001	0.6534524591	0.6834192932	0.6855725836000001
GCF_002155885.1 | Streptomyces rhizosphaericus NRRL B-24304 - ST 99:536	0.780647893	0.6381908048	0.6434840018	0.6206988827000001	1.0	0.6374231394000001	0.6772374877	0.7619861744	0.6603254026	0.7372388495000001	0.7879250116000001	0.9142321430000001	0.9327864939	0.9380086605
GCF_003949695.1 | Streptomyces sp. WAC05858 - ST 531:537	0.6964432422	0.9235529538	0.9202833045000001	0.9023701178	0.6792658741000001	1.0	0.8011599769000001	0.7016096459000001	0.7974413316000001	0.6790401776	0.7131066159	0.6701176047	0.6999014329000001	0.7030630282
GCF_005405925.1 | Streptomyces antimycoticus NBRC 12839 - ST 67:538	0.7198268977000001	0.7790946805000001	0.7871883255000001	0.7575646362	0.7005241271	0.7776593204000001	1.0	0.7520032532	0.8927589351	0.7117881112000001	0.7452694372	0.6967111468	0.7250859771	0.7265771802000001
GCF_005938145.1 | Streptomyces sp. DASNCL29 - ST 576:539	0.8402484869	0.6878439081000001	0.6971139351	0.6678432386	0.7947709673000001	0.6867180809	0.7582850861	1.0	0.7415384507	0.8234776674000001	0.8418782112000001	0.7910315352	0.8313396884	0.8309105999
GCF_009936315.1 | Streptomyces antimycoticus NBRC 100767 - ST 95:540	0.7188269929000001	0.7894862242	0.7986589841	0.7640920985	0.6938083916000001	0.7862638589000001	0.9068462081	0.7469995087	1.0	0.7045513364	0.7394599302	0.6908815553000001	0.7244070445	0.7262660315
GCF_010892295.1 | Streptomyces rhizosphaericus 0250 - ST 662:541	0.7833239239	0.6509425719	0.6592725944000001	0.6309048498000001	0.7597671157	0.6566830092	0.7091545634	0.8136342141	0.6910403064	1.0	0.8552109472	0.7432360863	0.7828320240000001	0.7850156602
GCF_014076605.1 | Streptomyces sp. GMR22 - ST 687:542	0.7994321391	0.6785085004	0.6856392923	0.6588143660000001	0.7974719025	0.6772874024000001	0.7292252661	0.8169300485000001	0.7123010845000001	0.8399075311	1.0	0.7838479691	0.8257201151	0.8280247460000001
GCF_017942185.1 | Streptomyces rhizosphaericus DSM 41760 - ST 99:543	0.8071850203000001	0.6612093309	0.6724267518	0.6394207023	0.9567870019	0.6581090095000001	0.7049031182000001	0.7937023664	0.6881463888	0.7547676688	0.8105132412	1.0	0.9396268984	0.9545916691
GCF_018138705.1 | Streptomyces indonesiensis DSM 41759 - ST 98:544	0.8007571385000001	0.6496242936000001	0.6570784229000001	0.6330632284000001	0.9241196103	0.6506850795	0.6944697536000001	0.7896407436	0.6830414486	0.752561923	0.8082548101	0.8894931285000001	1.0	1.0453675388
GCF_018138715.1 | Streptomyces asiaticus DSM 41761 - ST 98:545	0.787851041	0.6407248136	0.6480873803	0.6237712603000001	0.9127773433	0.6420077820000001	0.6835301088	0.7752064902	0.6726237407	0.7412488699	0.7961058512	0.8875991198000001	1.0267886902	1.0
