	GCF_000403665.1 | Streptomyces lividans 1326 - ST 254:125	GCF_000717845.1 | Streptomyces violaceoruber NRRL S-12 - ST 276:126	GCF_000972395.1 | Streptomyces sp. WM6391 - ST 254:127	GCF_003013745.1 | Streptomyces sp. 111WW2 - ST 485:128	GCF_003112595.1 | Streptomyces rubrogriseus NBRC 15455 - ST 491:129	GCF_003671755.1 | Streptomyces sp. E5N91 - ST 514:130	GCF_004795155.1 | Streptomyces sp. LRa12 - ST 571:131	GCF_008124905.1 | Streptomyces coelicolor A3(2) R4-mCherry-14 - ST 168:132	GCF_008124915.1 | Streptomyces coelicolor ICSSB 1010 - ST 168:133	GCF_008124975.1 | Streptomyces coelicolor A3(2) R4-mCherry-17 - ST 168:134	GCF_008124985.1 | Streptomyces coelicolor A3(2) R4-mCherry-15 - ST 168:135	GCF_008125035.1 | Streptomyces coelicolor A3(2) R4-mCherry-18 - ST 168:136	GCF_008931305.1 | Streptomyces coelicolor CFB_NBC_0001 - ST 168:137	GCF_009862445.1 | Streptomyces sp. SID7813 - ST 168:138	GCF_010550325.1 | Streptomyces rubrogriseus SID7739 - ST 657:139	GCF_013307045.1 | Streptomyces coelicolor M1154/pAMX4 - ST 168:140	GCF_013317105.1 | Streptomyces coelicolor M1154/pAMX4/pGP1416 - ST 168:141	GCF_018070145.1 | Streptomyces sp. RK76 - ST 762:142
GCF_000403665.1 | Streptomyces lividans 1326 - ST 254:125	1.0	0.9936460085000001	0.9991705629000001	0.9931814236000001	0.9661145999999999	0.9842552306000001	0.9929958982	0.9923475705	0.9923462896	0.9923599409	0.99235043	0.9923439832000001	0.9923097287	0.9922974612000001	0.9666676584	0.9922824108	0.9923406594	0.9937729193
GCF_000717845.1 | Streptomyces violaceoruber NRRL S-12 - ST 276:126	0.9936460085000001	1.0	0.9938761726	0.9963267406	0.9662407162000001	0.9842852362000001	0.993447594	0.9936199480000001	0.9936178282	0.9936293736	0.9936234614	0.9936192807	0.9935963575000001	0.9935738477	0.9670362233	0.9935749657	0.9935991207	0.9938186917
GCF_000972395.1 | Streptomyces sp. WM6391 - ST 254:127	0.9991705629000001	0.9938761726	1.0	0.9934155181000001	0.9664707604	0.9842515201	0.993264032	0.9924307430000001	0.9924373326	0.9924319915	0.9924329351000001	0.992428909	0.9924162221	0.992398804	0.9670156281000001	0.9923999178	0.9924430925000001	0.9941425778
GCF_003013745.1 | Streptomyces sp. 111WW2 - ST 485:128	0.9931814236000001	0.9963267406	0.9934155181000001	1.0	0.9663088746	0.9846179380000001	0.9933420238	0.992841755	0.9928357338	0.9928317317	0.9928400594000001	0.9928314942	0.9928422506000001	0.9928205138	0.9667629291000001	0.9928062129	0.9928388715	0.9938276767
GCF_003112595.1 | Streptomyces rubrogriseus NBRC 15455 - ST 491:129	0.9661145999999999	0.9662407162000001	0.9664707604	0.9663088746	1.0	0.9674046281	0.9664396842	0.9662800796000001	0.9662796012	0.9662707658	0.9662741701	0.9662722090000001	0.9662626763000001	0.9662477216	0.9938112932000001	0.9663225032	0.9662980885	0.9661547326000001
GCF_003671755.1 | Streptomyces sp. E5N91 - ST 514:130	0.9842552306000001	0.9842852362000001	0.9842515201	0.9846179380000001	0.9674046281	1.0	0.984541788	0.9844080441	0.9844050521000001	0.9844114145	0.9844143914000001	0.9843999931	0.9844102059000001	0.9844144962	0.9675779482	0.9842602032000001	0.9843150525000001	0.9843239868
GCF_004795155.1 | Streptomyces sp. LRa12 - ST 571:131	0.9929958982	0.993447594	0.993264032	0.9933420238	0.9664396842	0.984541788	1.0	0.9937423325	0.9937433792	0.9937542374	0.9937488704	0.9937480928	0.9937308453	0.9937127041	0.9668479172000001	0.9936959269000001	0.9937385532	0.9928740836000001
GCF_008124905.1 | Streptomyces coelicolor A3(2) R4-mCherry-14 - ST 168:132	0.9923475705	0.9936199480000001	0.9924307430000001	0.992841755	0.9662800796000001	0.9844080441	0.9937423325	1.0	0.9999762219	0.9999839221000001	0.9999907962000001	0.9999766395	0.9999560822	0.9999493945000001	0.9668673565	0.9999433369	0.9999626284	0.9930133239000001
GCF_008124915.1 | Streptomyces coelicolor ICSSB 1010 - ST 168:133	0.9923462896	0.9936178282	0.9924373326	0.9928357338	0.9662796012	0.9844050521000001	0.9937433792	0.9999762219	1.0	0.9999741235	0.9999737744	0.9999668608000001	0.9999636850000001	0.9999583041000001	0.9668004348	0.9999486297000001	0.999970075	0.9929919175
GCF_008124975.1 | Streptomyces coelicolor A3(2) R4-mCherry-17 - ST 168:134	0.9923599409	0.9936293736	0.9924319915	0.9928317317	0.9662707658	0.9844114145	0.9937542374	0.9999839221000001	0.9999741235	1.0	0.9999965048	0.9999810534	0.9999666848000001	0.9999594435	0.9668373292	0.9999516896	0.9999736253	0.9929924813000001
