	GCF_000717655.1 | Streptomyces katrae NRRL B-16271 - ST 273:510	GCF_002028425.1 | Streptomyces katrae 4 - ST 432:703	GCF_000966975.1 | Streptomyces katrae NRRL ISP-5550 - ST 183:758
GCF_000717655.1 | Streptomyces katrae NRRL B-16271 - ST 273:510	1	511438	499053
GCF_002028425.1 | Streptomyces katrae 4 - ST 432:703	511438	1	404719
GCF_000966975.1 | Streptomyces katrae NRRL ISP-5550 - ST 183:758	499053	404719	1
