	GCF_000331185.2 | Streptomyces rimosus ATCC 10970 - ST 249:652	GCF_000707925.2 | Streptomyces rimosus R6-500 - ST 249:653	GCF_000716515.1 | Streptomyces rimosus NRRL B-16073 - ST 269:654	GCF_000716845.1 | Streptomyces capuensis NRRL B-12337 - ST 249:655	GCF_000717285.1 | Streptomyces rimosus NRRL ISP-5260 - ST 249:656	GCF_000718295.1 | Streptomyces capuensis NRRL B-3501 - ST 249:657	GCF_000718675.1 | Streptomyces rimosus NRRL WC-3930 - ST 285:658	GCF_000718715.1 | Streptomyces rimosus NRRL WC-3874 - ST 249:659	GCF_000718815.1 | Streptomyces sp. NRRL WC-3703 - ST 249:660	GCF_000718835.1 | Streptomyces rimosus NRRL WC-3876 - ST 249:661	GCF_000718865.1 | Streptomyces rimosus NRRL WC-3882 - ST 249:662	GCF_000720565.1 | Streptomyces rimosus NRRL WC-3925 - ST 249:663	GCF_000720605.1 | Streptomyces rimosus NRRL WC-3558 - ST 249:664	GCF_000720715.1 | Streptomyces rimosus NRRL WC-3900 - ST 249:665	GCF_000721045.1 | Streptomyces rimosus NRRL B-2626 - ST 249:666	GCF_000721665.1 | Streptomyces rimosus NRRL WC-3929 - ST 285:667	GCF_000725565.1 | Streptomyces peucetius NRRL WC-3868 - ST 323:668	GCF_001279015.1 | Streptomyces rimosus NRRL WC-3909 - ST 249:669	GCF_001279025.1 | Streptomyces sp. NRRL WC-3701 - ST 249:670	GCF_001279065.1 | Streptomyces rimosus NRRL WC-3869 - ST 323:671	GCF_001279075.1 | Streptomyces rimosus NRRL WC-3875 - ST 249:672	GCF_001279095.1 | Streptomyces rimosus NRRL WC-3899 - ST 249:673	GCF_001279105.1 | Streptomyces rimosus NRRL WC-3873 - ST 249:674	GCF_001279345.1 | Streptomyces rimosus NRRL WC-3896 - ST 352:675	GCF_001279365.1 | Streptomyces sp. NRRL F-5755 - ST 353:676	GCF_001279375.1 | Streptomyces rimosus NRRL WC-3898 - ST 249:677	GCF_001507395.1 | Streptomyces rimosus NRRL WC-3897 - ST 249:678	GCF_003947575.1 | Streptomyces sp. WAC 06783 - ST 528:679	GCF_003947585.1 | Streptomyces sp. WAC 06725 - ST 529:680	GCF_003994375.1 | Streptomyces lydicus WYEC 108 - ST 547:681	GCF_004125265.1 | Streptomyces lydicus ATCC 31975 - ST 554:682	GCF_004125275.1 | Streptomyces lydicus SW_ACT1 - ST 547:683	GCF_006229535.1 | Streptomyces rimosus WT5260 - ST 249:684	GCF_008087005.1 | Streptomyces sp. WAC01526 - ST 594:685	GCF_008704655.1 | Streptomyces rimosus ATCC 10970 - ST 249:686	GCF_009811595.1 | Streptomyces libani NBRC 13452 - ST 92:687	GCF_009811635.1 | Streptomyces tubercidicus NBRC 13090 - ST 59:688
GCF_000331185.2 | Streptomyces rimosus ATCC 10970 - ST 249:652	1.0	0.9275239631000001	0.8956043779	0.9720276805	0.999049139	0.9679652124	0.8780635327	1.0066565456	0.9969267591000001	0.8772554563	0.8670529354000001	0.9771216825000001	0.9994497034000001	0.9726998159	0.9990487242	0.8981256632	0.8807495854	0.9598979292	0.9993918430000001	0.8789989435000001	0.9975792966	0.9965418522	1.0000915606	0.8708901832	0.8436695313	0.9979427391000001	1.0032194474	0.9008556816000001	0.8876255445000001	0.2995321079	0.2933164632	0.2996269867	1.00394851	0.3056899959	0.9737993721	0.3053831695	0.2889681146
GCF_000707925.2 | Streptomyces rimosus R6-500 - ST 249:653	1.0028902943	1.0	0.9047534852	0.9725604236000001	0.9949921299000001	0.9661250649	0.8887425622	1.0078654259	0.9972986248000001	0.9244613927	0.9340629685	0.9737317221	0.9975810505	0.9714227605	1.0019892006	0.9103162282	0.8863473818000001	0.98887059	0.9973966161000001	0.8841602927000001	1.0006993931	1.0061706477	0.9987757817	0.8830213963	0.8588602672000001	0.9963199453	0.9969081173000001	0.9046309401	0.8905622401000001	0.319170043	0.3138659567	0.31927263110000004	1.0027270502	0.3262911164	0.9701647946	0.3254029163	0.3078982429
GCF_000716515.1 | Streptomyces rimosus NRRL B-16073 - ST 269:654	0.9201592834000001	0.8597036671	1.0	0.8954005305	0.9203174887000001	0.8951868202000001	0.8951886313	0.918468884	0.9202919202000001	0.8088322011	0.7963349430000001	0.8964609852000001	0.9205713629000001	0.9002403335	0.9200993039	0.9133643401	0.8982342693	0.8948006289	0.9198796276000001	0.8975064185	0.9163951697	0.9106846517	0.9190626066	0.9025178503	0.8710551354	0.9192256059	0.9194244013	0.9263593322	0.9137897366000001	0.308264633	0.2965995241	0.30821658550000003	0.9208581566	0.3132950281	0.9177776814	0.31385902730000004	0.29591588550000003
GCF_000716845.1 | Streptomyces capuensis NRRL B-12337 - ST 249:655	1.0047478883	0.9297512538	0.9008428019	1.0	1.0064665687	1.0010195253	0.8838404593	1.0118302237	1.0041664201	0.8926387956	0.8634083658	0.977158324	1.0009170583	1.0002347309	1.0052952722	0.9044914206	0.8928726691000001	0.9611105538	0.9984657816	0.8911277288	0.9931680442	0.9936236794000001	0.9997920649	0.8964492608	0.8496294467000001	0.9979181833	1.0001771736	0.9053419183	0.891492044	0.3071267521	0.3002863288	0.3071485103	1.003139392	0.3145790835	0.9732247054000001	0.3129171029	0.2963312737
GCF_000717285.1 | Streptomyces rimosus NRRL ISP-5260 - ST 249:656	1.0046716761	0.9253982306	0.9007995896000001	0.9791702121	1.0	0.9802970202000001	0.8828225887000001	1.0080583571	1.0045775147	0.8827075721000001	0.8683111017	0.9831648231000001	1.0064520872	0.9799122412000001	1.0125518252	0.9029674909000001	0.8849133257	0.9639302518	1.0046762642	0.8832701420000001	0.9952639855000001	0.9982545214	1.0032154596	0.8758464096	0.8478777717	1.0009138762	1.0063490623	0.9052361229	0.8905455937000001	0.2992012446	0.29269701940000004	0.2993555734	1.001346518	0.30667721940000003	0.9716684811	0.3044007666	0.2886800933
GCF_000718295.1 | Streptomyces capuensis NRRL B-3501 - ST 249:657	0.9888840795	0.9128316619	0.890128099	0.9893494454	0.9958777036	1.0	0.8732408152000001	0.9925030858	0.9905610069	0.8823349948	0.8545312633000001	0.9700961368000001	0.9874657358000001	0.9845731155	0.9938838231	0.8934904285	0.8821831921000001	0.9500807425000001	0.9891831298	0.8804553107	0.9817753057	0.984030736	0.9862325639	0.8847285623000001	0.8394206963	0.9866005769	0.9888200957000001	0.8946315442	0.881091971	0.3034658053	0.29690004670000003	0.3034531992	0.9893617337	0.31069555520000003	0.9599513087	0.3089714874	0.2927851656
GCF_000718675.1 | Streptomyces rimosus NRRL WC-3930 - ST 285:658	0.8894784818	0.8326398553000001	0.8826271033	0.866173543	0.8892945557	0.8658803747	1.0	0.8868784117	0.8889240775	0.7855718957000001	0.7712798609	0.8669851918	0.8892107333	0.8705308374	0.8888734479	1.0054225111	0.874849897	0.8663687085	0.8886421485	0.8724056021000001	0.8872766207	0.8802357489	0.8878106471	0.858774798	0.8415422566	0.8878201007000001	0.8882252423	0.8848637329	0.8713452172	0.3006831421	0.2916066885	0.30048051870000003	0.8900466464000001	0.3025190418	0.8866974268000001	0.30215024420000003	0.2907614267
GCF_000718715.1 | Streptomyces rimosus NRRL WC-3874 - ST 249:659	1.0164123809	0.9411587459	0.9026227353	0.9883660133000001	1.012131614	0.9809228583	0.883981554	1.0	1.0120150857	0.8889746827	0.8788804821	0.9901947646	1.0142769705	0.9845093760000001	1.0163909179	0.9048387627000001	0.8865364872	0.9690298499000001	1.0043997032	0.8846699401	0.9973675906	0.9967317627000001	1.0006136321	0.8762278662	0.8495481151000001	1.0028975034	1.0030377981	0.9069032928	0.89203007	0.29913061290000004	0.292576235	0.2991944783	1.0141208666	0.3064930461	0.9832309147	0.3045193934	0.288818118
GCF_000718815.1 | Streptomyces sp. NRRL WC-3703 - ST 249:660	1.002719181	0.9277116275	0.900937936	0.9771096311	1.0047597141	0.9752403506	0.8826148568000001	1.0081251074	1.0	0.8847979612	0.8729549432	0.9812840413	1.0069385424	0.9789433470000001	1.0034135776	0.9031756910000001	0.8848108937	0.9621696754	1.0010154168	0.8832639893	0.9937713942	0.9963355927	0.9982420023	0.8740112436	0.8477698742	1.0015850765	1.0027361811	0.9054020778	0.890950223	0.2993204863	0.2929905057	0.29947484300000005	1.0016828009	0.30651528170000003	0.9717901654000001	0.3044645277	0.2886435915
GCF_000718835.1 | Streptomyces rimosus NRRL WC-3876 - ST 249:661	1.0055973655	0.9800732551	0.9024220067000001	0.9899091473	1.0061844286	0.9900244441	0.8889441601	1.0092501365	1.0083843403	1.0	0.9161105970000001	0.9879140361000001	1.0125395441	0.9860182942000001	1.0062273381	0.9121786174000001	0.8847737418	0.9670412626	1.0010785605	0.8825530291	1.0006023964	1.0006784685	1.0000624029	0.8910905835	0.8562265952	0.9991364622000001	1.0006549337	0.904952238	0.8894884326	0.32250374860000003	0.3162532323	0.32252787780000003	1.0037883934	0.3295770329	0.9722806135000001	0.3277967067	0.3119259152
GCF_000718865.1 | Streptomyces rimosus NRRL WC-3882 - ST 249:662	1.0106406714	1.0069294052	0.90344169	0.9736187783	1.0064430463	0.9749749992000001	0.8874699259000001	1.0145941502	1.0116421549	0.9315389463	1.0	0.986364789	1.0067006086	0.9805683679	1.0060988242	0.9110833499000001	0.8841644019	0.9958873427	1.0039044078	0.8823705305	1.0060576094	1.0059727625	1.0072645625	0.8807517919000001	0.8557202644	1.0021482461	1.0035849628	0.9035930124	0.8884436105	0.32312358420000004	0.31757179290000004	0.32323417530000004	1.0065229378	0.3296792763	0.9736781228	0.3277519705	0.31181537800000003
GCF_000720565.1 | Streptomyces rimosus NRRL WC-3925 - ST 249:663	1.007163353	0.9282443052	0.8993647336	0.9744010223	1.0077209492	0.9787694471	0.8821723444	1.0108419703	1.0056108051	0.8883259962000001	0.8722433484000001	1.0	1.0029297047	0.9762000369	1.0031896384	0.9028761896	0.8844254947	0.9594741815000001	1.001053736	0.8830529338	0.9915371924	0.9907843253	1.0017077386	0.8746846086000001	0.8505590872000001	0.9982635105000001	1.000643742	0.9040305003	0.8896136939	0.3026593074	0.295747017	0.30285190630000003	1.0034353569	0.3103888071	0.9733619289000001	0.3082991841	0.29173674920000003
