	GCF_000331185.2 | Streptomyces rimosus ATCC 10970 - ST 249:652	GCF_000707925.2 | Streptomyces rimosus R6-500 - ST 249:653	GCF_000716515.1 | Streptomyces rimosus NRRL B-16073 - ST 269:654	GCF_000716845.1 | Streptomyces capuensis NRRL B-12337 - ST 249:655	GCF_000717285.1 | Streptomyces rimosus NRRL ISP-5260 - ST 249:656	GCF_000718295.1 | Streptomyces capuensis NRRL B-3501 - ST 249:657	GCF_000718675.1 | Streptomyces rimosus NRRL WC-3930 - ST 285:658	GCF_000718715.1 | Streptomyces rimosus NRRL WC-3874 - ST 249:659	GCF_000718815.1 | Streptomyces sp. NRRL WC-3703 - ST 249:660	GCF_000718835.1 | Streptomyces rimosus NRRL WC-3876 - ST 249:661	GCF_000718865.1 | Streptomyces rimosus NRRL WC-3882 - ST 249:662	GCF_000720565.1 | Streptomyces rimosus NRRL WC-3925 - ST 249:663	GCF_000720605.1 | Streptomyces rimosus NRRL WC-3558 - ST 249:664	GCF_000720715.1 | Streptomyces rimosus NRRL WC-3900 - ST 249:665	GCF_000721045.1 | Streptomyces rimosus NRRL B-2626 - ST 249:666	GCF_000721665.1 | Streptomyces rimosus NRRL WC-3929 - ST 285:667	GCF_000725565.1 | Streptomyces peucetius NRRL WC-3868 - ST 323:668	GCF_001279015.1 | Streptomyces rimosus NRRL WC-3909 - ST 249:669	GCF_001279025.1 | Streptomyces sp. NRRL WC-3701 - ST 249:670	GCF_001279065.1 | Streptomyces rimosus NRRL WC-3869 - ST 323:671	GCF_001279075.1 | Streptomyces rimosus NRRL WC-3875 - ST 249:672	GCF_001279095.1 | Streptomyces rimosus NRRL WC-3899 - ST 249:673	GCF_001279105.1 | Streptomyces rimosus NRRL WC-3873 - ST 249:674	GCF_001279345.1 | Streptomyces rimosus NRRL WC-3896 - ST 352:675	GCF_001279365.1 | Streptomyces sp. NRRL F-5755 - ST 353:676	GCF_001279375.1 | Streptomyces rimosus NRRL WC-3898 - ST 249:677	GCF_001507395.1 | Streptomyces rimosus NRRL WC-3897 - ST 249:678	GCF_003947575.1 | Streptomyces sp. WAC 06783 - ST 528:679	GCF_003947585.1 | Streptomyces sp. WAC 06725 - ST 529:680	GCF_003994375.1 | Streptomyces lydicus WYEC 108 - ST 547:681	GCF_004125265.1 | Streptomyces lydicus ATCC 31975 - ST 554:682	GCF_004125275.1 | Streptomyces lydicus SW_ACT1 - ST 547:683	GCF_006229535.1 | Streptomyces rimosus WT5260 - ST 249:684	GCF_008087005.1 | Streptomyces sp. WAC01526 - ST 594:685	GCF_008704655.1 | Streptomyces rimosus ATCC 10970 - ST 249:686	GCF_009811595.1 | Streptomyces libani NBRC 13452 - ST 92:687	GCF_009811635.1 | Streptomyces tubercidicus NBRC 13090 - ST 59:688
GCF_000331185.2 | Streptomyces rimosus ATCC 10970 - ST 249:652	9643891	8944940	8637111	9374129	9634721	9334951	8467949	9708086	9614253	8460156	8361764	9423255	9638584	9380611	9634717	8661426	8493853	9257151	9638026	8476970	9620546	9610541	9644774	8398770	8136257	9624051	9674939	8687754	8560164	2888655	2828712	2889570	9681970	2948041	9391215	2945082	2786777
GCF_000707925.2 | Streptomyces rimosus R6-500 - ST 249:653	8944940	8919161	8069642	8674423	8874495	8617025	7926838	8989314	8895067	8245420	8331058	8684870	8897586	8664276	8936903	8119257	7905475	8819896	8895941	7885968	8925399	8974198	8908242	7875810	7660313	8886338	8891584	8068549	7943068	2846729	2799421	2847644	8943484	2910243	8653056	2902321	2746194
GCF_000716515.1 | Streptomyces rimosus NRRL B-16073 - ST 269:654	8637111	8069642	9386539	8404712	8638596	8402706	8402723	8621244	8638356	7592135	7474829	8414666	8640979	8450141	8636548	8573330	8431311	8399081	8634486	8424479	8601779	8548177	8626817	8471519	8176193	8628347	8630213	8695308	8577323	2893538	2784043	2893087	8643671	2940756	8614756	2946050	2777626
GCF_000716845.1 | Streptomyces capuensis NRRL B-12337 - ST 249:655	9374129	8674423	8404712	9329832	9390164	9339344	8246083	9440206	9368704	8328170	8055455	9116723	9338388	9332022	9379236	8438753	8330352	8967000	9315518	8314072	9266091	9270342	9327892	8363721	7926900	9310409	9331485	8446688	8317471	2865441	2801621	2865644	9359122	2934970	9080023	2919464	2764721
GCF_000717285.1 | Streptomyces rimosus NRRL ISP-5260 - ST 249:656	9634721	8874495	8638596	9390164	9589920	9400970	8466198	9667199	9633818	8465095	8327034	9428472	9651795	9397280	9710291	8659386	8486248	9244014	9634765	8470490	9544502	9573181	9620756	8399297	8131080	9598684	9650807	8681142	8540261	2869316	2806941	2870796	9602833	2941010	9318223	2919179	2768419
GCF_000718295.1 | Streptomyces capuensis NRRL B-3501 - ST 249:657	9334951	8617025	8402706	9339344	9400970	9439884	8243292	9369114	9350781	8329140	8066676	9157595	9321562	9294256	9382148	8434446	8327707	8968652	9337774	8311396	9267845	9289136	9309921	8351735	7924034	9313395	9334347	8445218	8317406	2864682	2802702	2864563	9339460	2932930	9061829	2916655	2763858
GCF_000718675.1 | Streptomyces rimosus NRRL WC-3930 - ST 285:658	8467949	7926838	8402723	8246083	8466198	8243292	9520128	8443196	8462671	7478745	7342683	8253810	8465400	8287565	8462189	9571751	8328683	8247941	8459987	8305413	8446987	8379957	8452071	8175646	8011590	8452161	8456018	8424016	8295318	2862542	2776133	2860613	8473358	2880020	8441473	2876509	2768086
GCF_000718715.1 | Streptomyces rimosus NRRL WC-3874 - ST 249:659	9708086	8989314	8621244	9440206	9667199	9369114	8443196	9551326	9666086	8490887	8394474	9457673	9687690	9403370	9707881	8642410	8467599	9255520	9593349	8449771	9526183	9520110	9557187	8369138	8114311	9579001	9580341	8662129	8520070	2857094	2794491	2857704	9686199	2927415	9391159	2908564	2758596
GCF_000718815.1 | Streptomyces sp. NRRL WC-3703 - ST 249:660	9614253	8895067	8638356	9368704	9633818	9350781	8462671	9666086	9588181	8483603	8370050	9408729	9654709	9386286	9620911	8659812	8483727	9225457	9597917	8468895	9528460	9553046	9571325	8380178	8128571	9603379	9614416	8681159	8542592	2869939	2809246	2871419	9604316	2938924	9317700	2919261	2767567
GCF_000718835.1 | Streptomyces rimosus NRRL WC-3876 - ST 249:661	8460156	8245420	7592135	8328170	8465095	8329140	7478745	8490887	8483603	8413065	7707298	8311385	8518561	8295436	8465456	7674218	7443659	8135781	8422139	7424976	8418133	8418773	8413590	7496803	7203490	8405800	8418575	7613422	7483324	2713245	2660659	2713448	8444937	2772753	8179860	2757775	2624253
