	GCF_000331185.2 | Streptomyces rimosus ATCC 10970 - ST 249:652	GCF_000707925.2 | Streptomyces rimosus R6-500 - ST 249:653	GCF_000716515.1 | Streptomyces rimosus NRRL B-16073 - ST 269:654	GCF_000716845.1 | Streptomyces capuensis NRRL B-12337 - ST 249:655	GCF_000717285.1 | Streptomyces rimosus NRRL ISP-5260 - ST 249:656	GCF_000718295.1 | Streptomyces capuensis NRRL B-3501 - ST 249:657	GCF_000718675.1 | Streptomyces rimosus NRRL WC-3930 - ST 285:658	GCF_000718715.1 | Streptomyces rimosus NRRL WC-3874 - ST 249:659	GCF_000718815.1 | Streptomyces sp. NRRL WC-3703 - ST 249:660	GCF_000718835.1 | Streptomyces rimosus NRRL WC-3876 - ST 249:661	GCF_000718865.1 | Streptomyces rimosus NRRL WC-3882 - ST 249:662	GCF_000720565.1 | Streptomyces rimosus NRRL WC-3925 - ST 249:663	GCF_000720605.1 | Streptomyces rimosus NRRL WC-3558 - ST 249:664	GCF_000720715.1 | Streptomyces rimosus NRRL WC-3900 - ST 249:665	GCF_000721045.1 | Streptomyces rimosus NRRL B-2626 - ST 249:666	GCF_000721665.1 | Streptomyces rimosus NRRL WC-3929 - ST 285:667	GCF_000725565.1 | Streptomyces peucetius NRRL WC-3868 - ST 323:668	GCF_001279015.1 | Streptomyces rimosus NRRL WC-3909 - ST 249:669	GCF_001279025.1 | Streptomyces sp. NRRL WC-3701 - ST 249:670	GCF_001279065.1 | Streptomyces rimosus NRRL WC-3869 - ST 323:671	GCF_001279075.1 | Streptomyces rimosus NRRL WC-3875 - ST 249:672	GCF_001279095.1 | Streptomyces rimosus NRRL WC-3899 - ST 249:673	GCF_001279105.1 | Streptomyces rimosus NRRL WC-3873 - ST 249:674	GCF_001279345.1 | Streptomyces rimosus NRRL WC-3896 - ST 352:675	GCF_001279365.1 | Streptomyces sp. NRRL F-5755 - ST 353:676	GCF_001279375.1 | Streptomyces rimosus NRRL WC-3898 - ST 249:677	GCF_001507395.1 | Streptomyces rimosus NRRL WC-3897 - ST 249:678	GCF_003947575.1 | Streptomyces sp. WAC 06783 - ST 528:679	GCF_003947585.1 | Streptomyces sp. WAC 06725 - ST 529:680	GCF_003994375.1 | Streptomyces lydicus WYEC 108 - ST 547:681	GCF_004125265.1 | Streptomyces lydicus ATCC 31975 - ST 554:682	GCF_004125275.1 | Streptomyces lydicus SW_ACT1 - ST 547:683	GCF_006229535.1 | Streptomyces rimosus WT5260 - ST 249:684	GCF_008087005.1 | Streptomyces sp. WAC01526 - ST 594:685	GCF_008704655.1 | Streptomyces rimosus ATCC 10970 - ST 249:686	GCF_009811595.1 | Streptomyces libani NBRC 13452 - ST 92:687	GCF_009811635.1 | Streptomyces tubercidicus NBRC 13090 - ST 59:688
GCF_000331185.2 | Streptomyces rimosus ATCC 10970 - ST 249:652	1.0	0.927469006	0.8834287945	0.9719820558000001	0.9989706437	0.9678672229	0.8542819491	1.0064665808	0.9968253478	0.8770537742000001	0.8668538456	0.9769417759000001	0.9993059855	0.9725869983000001	0.9989976038	0.8738221948	0.8613442437000001	0.9597357540000001	0.9992603608	0.8599583923	0.9974148401	0.9963598718000001	0.9998856271000001	0.8585745111	0.8127502685	0.9977665654000001	1.0030879652	0.8885439497000001	0.8758869216	0.2587804031	0.2536703287	0.2588432408	1.0038954194	0.2641508495	0.9737837145	0.2640379283	0.24973602460000002
GCF_000707925.2 | Streptomyces rimosus R6-500 - ST 249:653	1.0028308716	1.0	0.8926527955	0.9724892285000001	0.9948855055	0.9659908595000001	0.8652159099000001	1.0076461228	0.9971625134000001	0.9242161903	0.9338551014	0.9734912286	0.9974109672	0.9712782402000001	1.0018885184	0.8861956859000001	0.8674189198000001	0.9886561079	0.9972442475000001	0.865638259	1.0005342431	1.0059263422	0.9985695964	0.8708148670000001	0.8280202589000001	0.9961247476	0.9967629242	0.8925902335	0.8791888609	0.2757557577	0.2713952579	0.2758237014	1.0026455403	0.28199244300000004	0.9700265529000001	0.28126378700000004	0.2660398215
GCF_000716515.1 | Streptomyces rimosus NRRL B-16073 - ST 269:654	0.9076498803	0.8482054994	1.0	0.8833330368000001	0.9077318062	0.8831150651	0.8718342298	0.9060242545	0.9077699459	0.7979278624	0.7856216226	0.8842963312000001	0.9079662909	0.8880769579000001	0.9076156824	0.8895063452	0.879099421	0.8829194658	0.9073838611	0.8786205437	0.9040295896	0.8983658407	0.9066383254	0.8903629975	0.8392046312	0.9068163463000001	0.9070034227	0.9142764974	0.9024604276	0.2662638487	0.2564271027	0.2662139901	0.9083021974000001	0.2706848605	0.9055124578	0.27108127930000003	0.2555450949
GCF_000716845.1 | Streptomyces capuensis NRRL B-12337 - ST 249:655	1.0047007277	0.9296831926	0.8887019616	1.0	1.0063030074	1.0008596082	0.8602420708	1.0116268975	1.0039837802	0.8924714829	0.863262704	0.9769447081	1.0007567124	1.0000674181	1.0051398568	0.8802964512	0.8734513119	0.9609703583	0.9983555974	0.8720161306	0.9930407107	0.993506957	0.9996574429	0.8838399234000001	0.8188820549	0.9977851691	1.000084889	0.8931693518	0.8799238829	0.2652080981	0.2594829146	0.2652142075	1.0031009133	0.2717537679	0.9731310274	0.2703124772	0.2559623796
GCF_000717285.1 | Streptomyces rimosus NRRL ISP-5260 - ST 249:656	1.004592739	0.9252990640000001	0.8884808215000001	0.9790110866	1.0	0.9801154754	0.8589834952000001	1.0078584597	1.0043781387	0.882533848	0.8681305996	0.9829201912000001	1.0062357142	0.9797825216	1.0123941597	0.8785481005	0.8654967925	0.9637995937	1.0045429993	0.8641940704000001	0.9951173732	0.9980585865	1.0030510161	0.8635108531000001	0.8168362197	1.0007638228	1.0062305004	0.8928889918	0.8787839732	0.2583822389	0.2529337054	0.2584930844	1.0012466215	0.2649365167	0.9715818276	0.262950473	0.2493409747
GCF_000718295.1 | Streptomyces capuensis NRRL B-3501 - ST 249:657	0.9887839723	0.9127048595	0.8781245617000001	0.9891913926	0.9956932733	1.0	0.8499421179000001	0.9922902654	0.9903656655	0.8821585096000001	0.8543384643	0.9698481464	0.9872791869	0.9844100839000001	0.9937291602	0.869632826	0.8630106048	0.9499156981	0.9890503951	0.8616077274	0.9816143927000001	0.9838809460000001	0.9860477099	0.8722905917	0.8090778446	0.9864333079000001	0.9886945645	0.8826234517	0.8696439490000001	0.2620506777	0.2565560128	0.2620277961	0.9892887455	0.2684027685	0.9598094638	0.2669014789	0.2529012009
GCF_000718675.1 | Streptomyces rimosus NRRL WC-3930 - ST 285:658	0.8653877343	0.8105983449	0.8596004171	0.8430468582	0.8652806979000001	0.8427780593	1.0	0.8631283109000001	0.8650330122000001	0.7644464444	0.7507696325000001	0.8437272062000001	0.8652186189000001	0.8473532079	0.8649861641000001	1.0052325977	0.8527839121	0.8434829868	0.8648093807	0.8506985410000001	0.8635428011	0.8566663179	0.8640797687	0.8362800374	0.8115209165	0.8641341797000001	0.8644769272	0.8614886270000001	0.8492707241	0.2595941987	0.25197812470000003	0.259419096	0.8659569493	0.2613734815	0.86295783	0.2609816801	0.2509668988
GCF_000718715.1 | Streptomyces rimosus NRRL WC-3874 - ST 249:659	1.016220575	0.9409539576	0.8903928104000001	0.9881674021	1.0119309089	0.9807125210000001	0.8603090293000001	1.0	1.0118023403	0.8887200583	0.8786399920000001	0.9899156410000001	1.014044228	0.9843108695	1.0161708437	0.8805372155000001	0.8672641893	0.968782345	1.0041861203	0.8657008461	0.9971394548	0.9965018470000001	1.0003757593	0.8639883091	0.8185672858	1.002659526	1.0028229588	0.8945552691	0.8803324271	0.258330414	0.2528257333	0.2583806688	1.0139282232	0.264809305	0.9830273828	0.2631181262	0.2494689219
GCF_000718815.1 | Streptomyces sp. NRRL WC-3703 - ST 249:660	1.0026171805	0.9275850133	0.8886793022	0.9769319123	1.0045603019	0.9750480305	0.8588933605	1.0079131798	1.0	0.8846353651000001	0.8727706538000001	0.9810804573	1.0067562346	0.9788181929	1.0032162513	0.8788042278	0.865509944	0.9620207420000001	1.000855741	0.8642287833000001	0.9935780311	0.9961723710000001	0.9980409214	0.8616404926000001	0.8167794288	1.001394738	1.0025779655	0.8930998487	0.8791103339	0.25849303430000004	0.2532072559	0.2586038999	1.0015585855	0.26480664060000003	0.9716912937000001	0.2630286183	0.24932622780000002
GCF_000718835.1 | Streptomyces rimosus NRRL WC-3876 - ST 249:661	1.0053661775	0.9798133023000001	0.8902559293000001	0.9897236025	1.0059864033	0.9898264188	0.8650388414	1.0089610623	1.0081990333	1.0	0.9158842824000001	0.9876345898000001	1.0123000357	0.9858301344	1.0060483308	0.8875868664000001	0.8656594238	0.9668158988000001	1.0008644887	0.8638437953	1.0003373325	1.0004727171	0.9998274113000001	0.8785018302000001	0.8254078627	0.9988885145	1.0004506087	0.8927444397000001	0.8779125087	0.27866419670000003	0.2733737348	0.2786709719	1.0035742027	0.28489902310000004	0.9719589710000001	0.2833399005	0.2695186594
