	GCF_000010605.1 | Streptomyces griseus NBRC 13350 - ST 12:1	GCF_000177175.2 | Streptomyces sp. XylebKG-1 - ST 240:2	GCF_000239075.1 | Streptomyces sp. W007 - ST 243:3	GCF_000364805.1 | Streptomyces sp. PAMC 26508 - ST 252:4	GCF_000373405.1 | Streptomyces sp. ScaeMP-e10 - ST 253:5	GCF_000385945.1 | Streptomyces fulvissimus DSM 40593 - ST 174:6	GCF_000716025.1 | Streptomyces baarnensis NRRL B-2842 - ST 268:7	GCF_000716935.1 | Streptomyces alboviridis NRRL B-1579 - ST 38:8	GCF_000717795.1 | Streptomyces griseus NRRL WC-3480 - ST 275:9	GCF_000720395.1 | Streptomyces flavovirens NRRL B-2182 - ST 309:10	GCF_000720405.1 | Streptomyces sp. NRRL B-24051 - ST 310:11	GCF_000721595.1 | Streptomyces sp. NRRL S-325 - ST 318:12	GCF_001189025.1 | Streptomyces europaeiscabiei NCPPB 4064 - ST 349:13	GCF_001418625.1 | Streptomyces luridiscabiei NRRL B-24455 - ST 372:14	GCF_001426325.1 | Streptomyces sp. Root1295 - ST 376:15	GCF_001427565.1 | Streptomyces sp. Root63 - ST 376:16	GCF_001434355.1 | Streptomyces anulatus ATCC 11523 - ST 378:17	GCF_001723115.1 | Streptomyces griseus NRRL B-2165 - ST 12:18	GCF_001905485.1 | Streptomyces sp. TSRI0261 - ST 417:19	GCF_001905525.1 | Streptomyces sp. TSRI0395 - ST 419:20	GCF_001905575.1 | Streptomyces sp. CB00072 - ST 420:21	GCF_001905645.1 | Streptomyces sp. CB02115 - ST 421:22	GCF_002188345.1 | Streptomyces sp. CS057 - ST 441:23	GCF_002551015.1 | Streptomyces sp. wa1071 - ST 449:24	GCF_002551045.1 | Streptomyces sp. wa1063 - ST 450:25	GCF_002551055.1 | Streptomyces sp. wa1002 - ST 449:26	GCF_002551145.1 | Streptomyces sp. st115 - ST 453:27	GCF_002551225.1 | Streptomyces sp. rh206 - ST 455:28	GCF_002551305.1 | Streptomyces sp. or20 - ST 456:29	GCF_002551465.1 | Streptomyces sp. b84 - ST 463:30	GCF_002910875.1 | Streptomyces sp. SM13 - ST 480:31	GCF_002910905.1 | Streptomyces sp. SM11 - ST 481:32	GCF_002910935.1 | Streptomyces sp. B226SN101 - ST 482:33	GCF_002910985.1 | Streptomyces sp. B188M101 - ST 482:34	GCF_003116675.1 | Streptomyces sp. CS090A - ST 492:35	GCF_003367645.1 | Streptomyces sp. IB2014 011-12 - ST 503:36	GCF_003610995.1 | Streptomyces griseus ATCC 13273 - ST 509:37	GCF_004524875.1 | Streptomyces sp. S501 - ST 566:38	GCF_005234185.1 | Streptomyces sp. BPSDS2 - ST 574:39	GCF_009862355.1 | Streptomyces sp. SID7834 - ST 623:40	GCF_009865505.1 | Streptomyces sp. SID2119 - ST 637:41	GCF_009866455.1 | Streptomyces griseus CGMCC 4.18 - ST 12:42	GCF_009872615.1 | Streptomyces sp. SID5594 - ST 253:43	GCF_010548045.1 | Streptomyces anulatus SID10689 - ST 645:44	GCF_010548165.1 | Streptomyces cyaneofuscatus SID10855 - ST 646:45	GCF_010548505.1 | Streptomyces sp. SID14515 - ST 652:46	GCF_010548615.1 | Streptomyces anulatus SID505 - ST 653:47	GCF_010548705.1 | Streptomyces anulatus SID7903 - ST 655:48	GCF_010550525.1 | Streptomyces anulatus SID9598 - ST 655:49	GCF_013167895.1 | Streptomyces fulvorobeus NBRC 15897 - ST 51:50	GCF_013364315.1 | Streptomyces fulvissimus NA06532 - ST 681:51	GCF_013409565.1 | Streptomyces fulvorobeus DSM 41455 - ST 51:52	GCF_014495705.1 | Streptomyces sp. CB00271 - ST 417:53	GCF_014655335.1 | Streptomyces griseus JCM 4516 - ST 718:54	GCF_016653995.1 | Streptomyces sp. MBT58 - ST 739:55	GCF_016772455.1 | Streptomyces fulvissimus DF - ST 745:56	GCF_016901035.1 | Streptomyces sp. RHZ10 - ST 748:57	GCF_017358145.1 | Streptomyces sp. CA-256286 - ST 752:58	GCF_018070665.1 | Streptomyces sp. 404i - ST 768:59	GCF_018070745.1 | Streptomyces sp. C3-3 - ST 769:60	GCF_018530825.1 | Streptomyces sp. Tu10 - ST 772:61	GCF_018619185.1 | Streptomyces sp. McG3 - ST 776:62	GCF_019049185.1 | Streptomyces anulatus AC569_RSS891 - ST 782:63	GCF_900091905.1 | Streptomyces sp. OspMP-M43 - ST 793:64	GCF_900105705.1 | Streptomyces griseus DSM 40236 - ST 12:65	GCF_900460065.1 | Streptomyces griseus NCTC13033 - ST 12:66
GCF_000010605.1 | Streptomyces griseus NBRC 13350 - ST 12:1	8545929	7959601	6527111	3353375	5427608	5411637	5980340	5419733	7716100	3340630	3361129	3345065	6552006	5288757	6605336	6617303	6594635	7931214	6368771	6547787	6529127	6624758	6491693	6444918	6457734	6466211	5969817	6431032	6614183	6522627	5766689	5404563	5960907	5922642	5431602	5283697	5062574	3340387	6049579	2879217	4985023	8496871	5427608	6457071	5346844	6055018	6289374	6477258	6280442	3115977	5487601	3116323	6129949	5962827	5282945	5459427	5639363	5482057	6335687	6323168	6575578	6857499	6467234	7564443	8517354	8435699
GCF_000177175.2 | Streptomyces sp. XylebKG-1 - ST 240:2	7959601	8731683	6538757	3353386	5433769	5412760	5937642	5406164	7929682	3327700	3347050	3339497	6554509	5261340	6578459	6593887	6577211	7522774	6367769	6538623	6519980	6588352	6488436	6447738	6464881	6468043	5975211	6444803	6612207	6544713	5791507	5385441	5962780	5929988	5404823	5280514	5048645	3327511	6021696	2889338	4970019	7927690	5433769	6443880	5337558	6047183	6262734	6423963	6217000	3103204	5500370	3104432	6127346	5932278	5292151	5428344	5646857	5473919	6313404	6368132	6547691	6864669	6472716	7543733	8035067	7958494
GCF_000239075.1 | Streptomyces sp. W007 - ST 243:3	6527111	6538757	9057348	3319804	5429176	5422019	6267012	5499173	6415476	3335000	3318723	3326149	7474867	5240869	7485465	7495863	7492455	6162000	7123174	7414839	8005053	7406034	7150187	7840999	7854259	7858828	6331830	7218783	7540402	7864641	5993219	5558844	6278435	6240694	5408077	5305149	5032110	3313200	6345989	2878650	5031400	6537605	5429176	7104909	5360572	6204476	6945641	7082543	6874474	3065252	5444220	3066370	6816822	6258807	5280090	5380997	5729975	5416663	7050395	7083763	7415231	6487477	7253132	6284455	6557699	6495560
GCF_000364805.1 | Streptomyces sp. PAMC 26508 - ST 252:4	3353375	3353386	3319804	7630245	3325090	3376697	3385502	3381090	3296374	7134357	7071146	6986383	3388517	3251313	3408772	3421012	3401304	3166875	3321801	3380482	3358528	3394237	3310249	3274937	3316458	3308333	3369904	3366297	3397545	3359531	3290387	3043745	3378742	3364124	3325839	3320151	3240546	6996440	3336583	6523355	3111134	3339320	3325090	3305875	3348065	3364804	3231731	3301128	3201538	3243563	3401073	3244690	3316483	3390396	3281149	3345856	3190543	3371136	3405455	3406418	3401282	3302769	3364494	3205380	3353404	3336787
GCF_000373405.1 | Streptomyces sp. ScaeMP-e10 - ST 253:5	5427608	5433769	5429176	3325090	8075580	6293513	5409689	6352039	5350030	3316031	3307109	3329544	5473253	6115873	5491023	5505103	5481557	5107866	5332426	5494023	5465041	5510401	5342260	5325919	5335510	5352765	5426288	5365419	5521506	5431085	5191265	4809711	5378013	5347004	7602526	6876904	5874103	3300216	5542903	2866029	6561854	5426073	8074805	5265134	7197182	5535786	5147536	5286478	5107422	3101625	6330486	3101490	5191926	5420087	6156003	6266491	5113626	6299742	5386316	5365670	5465642	5280019	5380183	5158785	5433575	5391777
GCF_000385945.1 | Streptomyces fulvissimus DSM 40593 - ST 174:6	5411637	5412760	5422019	3376697	6293513	7905758	5507258	7363643	5302245	3350030	3354308	3365648	5506110	6798477	5490670	5506829	5536501	5066083	5339774	5502570	5437193	5488798	5317849	5339146	5346455	5363110	5496618	5440748	5494374	5415986	5371162	4906421	5519849	5481333	6255833	6217279	5909848	3369287	5620138	2908327	5936084	5382300	6295986	5271601	6335309	5629376	5165284	5279600	5114541	3217143	7065919	3218680	5256583	5518440	6783179	7008943	5116725	7034482	5476506	5466703	5493946	5348242	5373556	5125019	5414659	5379735
GCF_000716025.1 | Streptomyces baarnensis NRRL B-2842 - ST 268:7	5980340	5937642	6267012	3385502	5409689	5507258	8227069	5535061	5867964	3386588	3383778	3397765	6360105	5318093	6366415	6373663	6377703	5625387	6200964	6357304	6255819	6354206	6132582	6172366	6193941	6198667	7562725	6274976	6364267	6260195	6769439	5581860	7648039	7592437	5391001	5379291	5206643	3359260	7205490	2924930	5081163	5978695	5409972	6091795	5451985	6703439	5946039	6109785	5917184	3144871	5505210	3144080	6023905	7748337	5330882	5497045	5980567	5494499	6342776	6342364	6339782	6037163	6259360	5695543	5993017	5945069
GCF_000716935.1 | Streptomyces alboviridis NRRL B-1579 - ST 38:8	5419733	5406164	5499173	3381090	6352039	7363643	5535061	8571085	5328147	3371093	3365912	3386299	5548618	6854869	5558035	5568728	5547707	5085856	5398023	5549201	5494751	5506439	5390507	5392121	5427171	5407267	5589256	5465861	5556071	5459687	5384405	4978535	5488211	5454061	6295921	6324737	5886324	3367806	5622119	2945563	5983296	5412127	6352791	5312880	6391581	5610801	5263221	5328935	5151206	3223953	7088973	3225518	5284329	5552056	6853117	7064543	5120591	7129103	5500145	5487339	5544109	5377005	5413568	5172009	5416476	5389099
GCF_000717795.1 | Streptomyces griseus NRRL WC-3480 - ST 275:9	7716100	7929682	6415476	3296374	5350030	5302245	5867964	5328147	8329687	3305492	3323178	3306013	6413183	5193837	6468860	6483113	6433808	7316266	6218803	6407814	6386233	6458256	6317437	6307920	6323634	6336635	5875244	6305582	6442984	6408163	5647513	5311237	5810288	5774410	5361542	5258957	5011101	3284939	5921335	2859616	4919710	7737261	5345291	6286944	5277660	5919787	6108267	6292468	6095961	3048730	5371482	3051239	6098162	5839833	5210239	5328525	5533079	5345545	6160038	6223768	6411120	6686853	6329933	7379949	7797059	7717683
GCF_000720395.1 | Streptomyces flavovirens NRRL B-2182 - ST 309:10	3340630	3327700	3335000	7134357	3316031	3350030	3386588	3371093	3305492	7670646	7149168	6987193	3400112	3250978	3418344	3429299	3383615	3166990	3327519	3386248	3374109	3400931	3331671	3289333	3303953	3322027	3365790	3399228	3420311	3357953	3308897	3032971	3393929	3379213	3306862	3324557	3204662	6825365	3351937	6561423	3129207	3335161	3317786	3293430	3327047	3346396	3212121	3293520	3205992	3203391	3371067	3206730	3293358	3387775	3265348	3315633	3178092	3323924	3401620	3411577	3382339	3283298	3363400	3194218	3338496	3313574
