	GCF_004217355.1 | Streptomyces sp. BK022 - ST 561:569	GCF_009863035.1 | Streptomyces sp. SID4982 - ST 629:570	GCF_019090105.1 | Streptomyces sp. BV129 - ST 787:571
GCF_004217355.1 | Streptomyces sp. BK022 - ST 561:569	1	418212	438120
GCF_009863035.1 | Streptomyces sp. SID4982 - ST 629:570	418212	1	193779
GCF_019090105.1 | Streptomyces sp. BV129 - ST 787:571	438120	193779	1
