query,subject,identity,algn_length,mismatches,gap_opens,q_start,q_end,s_start,s_end,evalue,bit_score,q_cov,assembly_accession,name,symbol,attributes,status,product_accession
atpD_119,NC_003155.5,100.0,495,0,0,1,495,3526994,3526500,0.0,893.0,100,GCF_000009765.2,F0F1 ATP synthase subunit beta,atpD,,with_protein,WP_010984313.1
atpD_6,NC_010572.1,100.0,495,0,0,1,495,2564134,2563640,0.0,893.0,100,GCF_000010605.1,F0F1 ATP synthase subunit beta,atpD,,with_protein,WP_003966249.1
atpD_165,NC_013929.1,100.0,495,0,0,1,495,3278324,3277830,0.0,893.0,100,GCF_000091305.1,F0F1 ATP synthase subunit beta,atpD,,with_protein,WP_013000655.1
atpD_50,NC_016582.1,100.0,495,0,0,1,495,4857409,4856915,0.0,893.0,100,GCF_000092385.1,F0F1 ATP synthase subunit beta,atpD,,with_protein,WP_014176371.1
atpD_321,NC_015957.1,100.0,495,0,0,1,495,1562326,1562820,0.0,893.0,100,GCF_000147815.2,F0F1 ATP synthase subunit beta,atpD,,with_protein,WP_014054929.1
atpD_126,NZ_CM001015.1,100.0,495,0,0,1,495,4943786,4944280,0.0,893.0,100,GCF_000148465.1,F0F1 ATP synthase subunit beta,atpD,,with_protein,WP_003952433.1
atpD_578,NZ_ABYX02000001.1,100.0,495,0,0,1,495,5526991,5527485,0.0,893.0,100,GCF_000156695.2,F0F1 ATP synthase subunit beta,atpD,,with_protein,WP_006127593.1
atpD_126,NZ_CM000913.1,100.0,495,0,0,1,495,4953276,4953770,0.0,893.0,100,GCF_000163875.1,F0F1 ATP synthase subunit beta,atpD,,with_protein,WP_003952433.1
atpD_6,NZ_GL877172.1,100.0,495,0,0,1,495,2758944,2758450,0.0,893.0,100,GCF_000177175.2,F0F1 ATP synthase subunit beta,atpD,,with_protein,WP_003966249.1
atpD_205,NC_015953.1,100.0,495,0,0,1,495,5048160,5048654,0.0,893.0,100,GCF_000177195.2,F0F1 ATP synthase subunit beta,atpD,,with_protein,WP_014048353.1
atpD_424,NZ_AEYX01000041.1,100.0,495,0,0,1,495,335526,336020,0.0,893.0,100,GCF_000204605.1,F0F1 ATP synthase subunit beta,atpD,,with_protein,WP_006142459.1
atpD_180,NZ_CP023202.1,100.0,495,0,0,1,495,2203011,2202517,0.0,893.0,100,GCF_000220705.2,F0F1 ATP synthase subunit beta,atpD,,with_protein,WP_019710005.1
