FILE,marker,variant
GCF_000009765.2,atpD,119
GCF_000010605.1,atpD,6
GCF_000091305.1,atpD,165
GCF_000092385.1,atpD,50
GCF_000147815.2,atpD,321
GCF_000148465.1,atpD,126
GCF_000156695.2,atpD,578
GCF_000163875.1,atpD,126
GCF_000177175.2,atpD,6
GCF_000177195.2,atpD,205
GCF_000204605.1,atpD,424
GCF_000220705.2,atpD,180
GCF_000225525.1,atpD,183
GCF_000226455.1,atpD,290
GCF_000239075.1,atpD,481
GCF_000253235.1,atpD,15
GCF_000261345.2,atpD,657
GCF_000262345.1,atpD,193
GCF_000280865.2,atpD,197
GCF_000297155.3,atpD,305
GCF_000297635.1,atpD,335
GCF_000299175.2,atpD,5
GCF_000316095.1,atpD,758
GCF_000317595.1,atpD,140
GCF_000331185.2,atpD,58
GCF_000332625.1,atpD,780
GCF_000340335.1,atpD,121
GCF_000342125.1,atpD,148
GCF_000349325.1,atpD,629
GCF_000359525.1,atpD,36
GCF_000364805.1,atpD,390
GCF_000367365.1,atpD,157
GCF_000373225.1,atpD,5
GCF_000373405.1,atpD,661
GCF_000373565.1,atpD,471
GCF_000373625.1,atpD,858
GCF_000380165.1,atpD,177
GCF_000382745.1,atpD,205
GCF_000383595.1,atpD,121
GCF_000383635.1,atpD,635
GCF_000384175.1,atpD,159
GCF_000385945.1,atpD,133
GCF_000403665.1,atpD,127
GCF_000403765.2,atpD,772
GCF_000404005.1,atpD,194
GCF_000411495.1,atpD,115
GCF_000412265.2,atpD,753
GCF_000414115.1,atpD,543
GCF_000424945.1,atpD,361
GCF_000429085.1,atpD,130
GCF_000444875.1,atpD,597
GCF_000478605.2,atpD,898
GCF_000495755.1,atpD,412
GCF_000497425.1,atpD,834
GCF_000497445.1,atpD,231
GCF_000498935.1,atpD,578
GCF_000504065.1,atpD,772
GCF_000518045.1,atpD,551
GCF_000590515.1,atpD,57
GCF_000612545.2,atpD,692
GCF_000647875.1,atpD,227
GCF_000695235.1,atpD,772
GCF_000696595.1,atpD,144
GCF_000698495.1,atpD,37
GCF_000700005.2,atpD,235
GCF_000707925.2,atpD,58
GCF_000709915.1,atpD,734
GCF_000715745.1,atpD,2
GCF_000715845.1,atpD,90
GCF_000716025.1,atpD,22
GCF_000716215.1,atpD,161
GCF_000716435.1,atpD,550
GCF_000716445.1,atpD,178
GCF_000716455.1,atpD,211
GCF_000716515.1,atpD,58
GCF_000716525.1,atpD,115
GCF_000716535.1,atpD,311
GCF_000716605.1,atpD,711
GCF_000716625.1,atpD,721
GCF_000716675.1,atpD,114
GCF_000716685.1,atpD,400
GCF_000716805.1,atpD,182
GCF_000716845.1,atpD,58
GCF_000716875.1,atpD,152
GCF_000716935.1,atpD,12
GCF_000717025.1,atpD,8
GCF_000717055.1,atpD,139
GCF_000717215.1,atpD,425
GCF_000717285.1,atpD,58
GCF_000717345.1,atpD,54
GCF_000717375.1,atpD,627
GCF_000717595.1,atpD,358
GCF_000717635.1,atpD,340
