	GCF_003330865.1 | Streptomyces atratus SCSIO_ZH16 - ST 499:275	GCF_014648655.1 | Streptomyces atratus JCM 3386 - ST 702:299	GCF_900119365.1 | Streptomyces atratus OK807 - ST 801:753
GCF_003330865.1 | Streptomyces atratus SCSIO_ZH16 - ST 499:275	1	101087	508117
GCF_014648655.1 | Streptomyces atratus JCM 3386 - ST 702:299	101087	1	512576
GCF_900119365.1 | Streptomyces atratus OK807 - ST 801:753	508117	512576	1
