	GCF_000590515.1 | Streptomyces sp. PRh5 - ST 261:532	GCF_001509775.1 | Streptomyces violaceusniger NRRL F-8817 - ST 383:533	GCF_001598115.1 | Streptomyces sp. AgN23 - ST 398:534	GCF_002154275.1 | Streptomyces antimycoticus NRRL B-24289 - ST 94:535	GCF_002155885.1 | Streptomyces rhizosphaericus NRRL B-24304 - ST 99:536	GCF_003949695.1 | Streptomyces sp. WAC05858 - ST 531:537	GCF_005405925.1 | Streptomyces antimycoticus NBRC 12839 - ST 67:538	GCF_005938145.1 | Streptomyces sp. DASNCL29 - ST 576:539	GCF_009936315.1 | Streptomyces antimycoticus NBRC 100767 - ST 95:540	GCF_010892295.1 | Streptomyces rhizosphaericus 0250 - ST 662:541	GCF_014076605.1 | Streptomyces sp. GMR22 - ST 687:542	GCF_017942185.1 | Streptomyces rhizosphaericus DSM 41760 - ST 99:543	GCF_018138705.1 | Streptomyces indonesiensis DSM 41759 - ST 98:544	GCF_018138715.1 | Streptomyces asiaticus DSM 41761 - ST 98:545
GCF_000590515.1 | Streptomyces sp. PRh5 - ST 261:532	1	607244	609738	579413	178092	599106	640192	271226	631542	272934	290734	181941	189436	190838
GCF_001509775.1 | Streptomyces violaceusniger NRRL F-8817 - ST 383:533	607244	1	67314	65064	579037	61372	223891	607688	219540	586902	622344	577055	604276	606923
GCF_001598115.1 | Streptomyces sp. AgN23 - ST 398:534	609738	67314	1	67399	582664	51590	228720	617767	226219	595026	631604	586495	611730	614214
GCF_002154275.1 | Streptomyces antimycoticus NRRL B-24289 - ST 94:535	579413	65064	67399	1	558731	67673	214367	583067	210420	560754	597307	550753	580731	583141
GCF_002155885.1 | Streptomyces rhizosphaericus NRRL B-24304 - ST 99:536	178092	579037	582664	558731	1	575507	612969	252665	599981	258966	277012	7098	31632	29214
GCF_003949695.1 | Streptomyces sp. WAC05858 - ST 531:537	599106	61372	51590	67673	575507	1	221230	601134	215507	587120	615680	569482	599884	604030
GCF_005405925.1 | Streptomyces antimycoticus NBRC 12839 - ST 67:538	640192	223891	228720	214367	612969	221230	1	669815	123116	640966	671418	614394	647241	648176
GCF_005938145.1 | Streptomyces sp. DASNCL29 - ST 576:539	271226	607688	617767	583067	252665	601134	669815	1	654262	242448	251090	257752	274460	273814
GCF_009936315.1 | Streptomyces antimycoticus NBRC 100767 - ST 95:540	631542	219540	226219	210420	599981	215507	123116	654262	1	620824	652261	602995	636847	638923
GCF_010892295.1 | Streptomyces rhizosphaericus 0250 - ST 662:541	272934	586902	595026	560754	258966	587120	640966	242448	620824	1	178062	259066	275745	276699
GCF_014076605.1 | Streptomyces sp. GMR22 - ST 687:542	290734	622344	631604	597307	277012	615680	671418	251090	652261	178062	1	279275	295715	296819
GCF_017942185.1 | Streptomyces rhizosphaericus DSM 41760 - ST 99:543	181941	577055	586495	550753	7098	569482	614394	257752	602995	259066	279275	1	29083	26937
GCF_018138705.1 | Streptomyces indonesiensis DSM 41759 - ST 98:544	189436	604276	611730	580731	31632	599884	647241	274460	636847	275745	295715	29083	1	19116
GCF_018138715.1 | Streptomyces asiaticus DSM 41761 - ST 98:545	190838	606923	614214	583141	29214	604030	648176	273814	638923	276699	296819	26937	19116	1
