	GCF_000715745.1 | Streptomyces californicus NRRL B-3320 - ST 2:603	GCF_000717645.1 | Streptomyces californicus NRRL B-2098 - ST 2:604	GCF_000717665.1 | Streptomyces californicus NRRL 2423 - ST 49:605	GCF_000717965.1 | Streptomyces purpeochromogenes NRRL B-3012 - ST 2:606	GCF_000718205.1 | Streptomyces griseus NRRL B-2931 - ST 280:607	GCF_000718235.1 | Streptomyces griseus NRRL B-2932 - ST 281:608	GCF_000718245.1 | Streptomyces californicus NRRL B-2988 - ST 2:609	GCF_000718615.1 | Streptomyces purpeochromogenes NRRL ISP-5373 - ST 2:610	GCF_000718915.1 | Streptomyces sp. NRRL WC-3540 - ST 280:611	GCF_000719035.1 | Streptomyces griseus NRRL B-1691 - ST 280:612	GCF_000719585.1 | Streptomyces sp. NRRL F-5681 - ST 298:613	GCF_000719655.1 | Streptomyces sp. NRRL B-1381 - ST 300:614	GCF_000719925.1 | Streptomyces sp. NRRL F-2202 - ST 305:615	GCF_000720065.1 | Streptomyces sp. NRRL F-3273 - ST 2:616	GCF_000721205.1 | Streptomyces griseus NRRL B-2930 - ST 280:617	GCF_000721575.1 | Streptomyces griseus NRRL F-2227 - ST 317:618	GCF_001270675.1 | Streptomyces griseus NRRL B-2929 - ST 280:619	GCF_001279425.1 | Streptomyces sp. NRRL F-2295 - ST 354:620	GCF_001279735.1 | Streptomyces sp. MMG1522 - ST 360:621	GCF_002082175.1 | Streptomyces violaceoruber S21 - ST 434:622	GCF_002551425.1 | Streptomyces sp. b94 - ST 461:623	GCF_013401535.1 | Streptomyces sp. CB04723 - ST 684:624	GCF_016906185.1 | Streptomyces californicus FDAARGOS_1209 - ST 2:625	GCF_016906205.1 | Streptomyces californicus FDAARGOS_1212 - ST 2:626	GCF_016906225.1 | Streptomyces californicus FDAARGOS_1211 - ST 2:627	GCF_016906245.1 | Streptomyces californicus FDAARGOS_1213 - ST 2:628	GCF_016906265.1 | Streptomyces californicus FDAARGOS_1210 - ST 128:629	GCF_017311125.1 | Streptomyces sp. M54 - ST 751:630
GCF_000715745.1 | Streptomyces californicus NRRL B-3320 - ST 2:603	8023053	7614260	7242887	7620080	7401280	7395233	7621843	7623279	7401486	7399782	7413627	7400908	7405035	7487920	7399794	7265298	7401032	7376606	7342895	7406108	7294628	6763390	7614778	7671440	7617871	7669939	7237829	7221145
GCF_000717645.1 | Streptomyces californicus NRRL B-2098 - ST 2:604	7614260	7785545	7308186	7946216	7471766	7486621	7960259	7931286	7477199	7476512	7488627	7477250	7493025	7596308	7476448	7361629	7478812	7459716	7435347	7530567	7368853	6836723	7805947	8155748	7965579	8154211	7319449	7285722
GCF_000717665.1 | Streptomyces californicus NRRL 2423 - ST 49:605	7242887	7308186	7896344	7314403	7439162	7433221	7314128	7318937	7450374	7439983	7423614	7385198	7403432	7355763	7439277	7578182	7438531	7460954	7366271	7430255	7450127	6901137	7314842	7327882	7318735	7327162	7588405	7407440
GCF_000717965.1 | Streptomyces purpeochromogenes NRRL B-3012 - ST 2:606	7620080	7946216	7314403	7887122	7484070	7486764	8018138	7945512	7486897	7485504	7493121	7475515	7494574	7663442	7486957	7388669	7486103	7455847	7449326	7533555	7374150	6842834	8011839	8150567	7977359	8143129	7364224	7319443
GCF_000718205.1 | Streptomyces griseus NRRL B-2931 - ST 280:607	7401280	7471766	7439162	7484070	8030720	7663997	7485847	7489415	8066291	8081282	7687869	7470827	7696546	7526078	8135936	7420593	8166644	7489578	7584440	7705168	7502475	6953972	7486277	7497020	7487697	7495670	7434322	7408648
GCF_000718235.1 | Streptomyces griseus NRRL B-2932 - ST 281:608	7395233	7486621	7433221	7486764	7663997	7836951	7473278	7480733	7665448	7663551	7614986	7452438	7571174	7474129	7675423	7424880	7661450	7459316	7509120	7585636	7506133	6953316	7480159	7482198	7484300	7482196	7416617	7401319
GCF_000718245.1 | Streptomyces californicus NRRL B-2988 - ST 2:609	7621843	7960259	7314128	8018138	7485847	7473278	7783343	8010232	7487063	7484598	7499862	7485965	7503578	7598213	7485960	7368994	7486136	7457505	7433922	7541069	7377852	6844085	7909970	8115004	8037118	8113520	7337170	7297147
GCF_000718615.1 | Streptomyces purpeochromogenes NRRL ISP-5373 - ST 2:610	7623279	7931286	7318937	7945512	7489415	7480733	8010232	7996821	7497835	7493589	7510092	7494786	7500399	7736787	7495566	7422377	7496132	7468993	7476094	7551258	7377853	6855829	8100084	8264893	8049113	8257850	7398560	7341442
GCF_000718915.1 | Streptomyces sp. NRRL WC-3540 - ST 280:611	7401486	7477199	7450374	7486897	8066291	7665448	7487063	7497835	8031299	8064849	7689695	7490136	7677579	7518166	8107251	7413971	8145540	7502887	7545427	7706666	7503982	6938515	7481712	7491051	7483653	7489727	7436263	7404459
GCF_000719035.1 | Streptomyces griseus NRRL B-1691 - ST 280:612	7399782	7476512	7439983	7485504	8081282	7663551	7484598	7493589	8064849	8086515	7679833	7488183	7676246	7516646	8044388	7412058	8185179	7501469	7553858	7692540	7503302	6943303	7481881	7491559	7483822	7490311	7454214	7402977
