	GCF_003865155.1 | Streptomyces rimosus NBRC 15454 - ST 520:216	GCF_000718755.1 | Streptomyces rimosus NRRL WC-3560 - ST 287:219	GCF_000719185.1 | Streptomyces rimosus NRRL B-2660 - ST 287:220	GCF_000331185.2 | Streptomyces rimosus ATCC 10970 - ST 249:652	GCF_000707925.2 | Streptomyces rimosus R6-500 - ST 249:653	GCF_000716515.1 | Streptomyces rimosus NRRL B-16073 - ST 269:654	GCF_000717285.1 | Streptomyces rimosus NRRL ISP-5260 - ST 249:656	GCF_000718675.1 | Streptomyces rimosus NRRL WC-3930 - ST 285:658	GCF_000718715.1 | Streptomyces rimosus NRRL WC-3874 - ST 249:659	GCF_000718835.1 | Streptomyces rimosus NRRL WC-3876 - ST 249:661	GCF_000718865.1 | Streptomyces rimosus NRRL WC-3882 - ST 249:662	GCF_000720565.1 | Streptomyces rimosus NRRL WC-3925 - ST 249:663	GCF_000720605.1 | Streptomyces rimosus NRRL WC-3558 - ST 249:664	GCF_000720715.1 | Streptomyces rimosus NRRL WC-3900 - ST 249:665	GCF_000721045.1 | Streptomyces rimosus NRRL B-2626 - ST 249:666	GCF_000721665.1 | Streptomyces rimosus NRRL WC-3929 - ST 285:667	GCF_001279015.1 | Streptomyces rimosus NRRL WC-3909 - ST 249:669	GCF_001279065.1 | Streptomyces rimosus NRRL WC-3869 - ST 323:671	GCF_001279075.1 | Streptomyces rimosus NRRL WC-3875 - ST 249:672	GCF_001279095.1 | Streptomyces rimosus NRRL WC-3899 - ST 249:673	GCF_001279105.1 | Streptomyces rimosus NRRL WC-3873 - ST 249:674	GCF_001279345.1 | Streptomyces rimosus NRRL WC-3896 - ST 352:675	GCF_001279375.1 | Streptomyces rimosus NRRL WC-3898 - ST 249:677	GCF_001507395.1 | Streptomyces rimosus NRRL WC-3897 - ST 249:678	GCF_006229535.1 | Streptomyces rimosus WT5260 - ST 249:684	GCF_008704655.1 | Streptomyces rimosus ATCC 10970 - ST 249:686
GCF_003865155.1 | Streptomyces rimosus NBRC 15454 - ST 520:216	1.0	0.5538082003	0.5854120563	0.5876896548	0.5667640832	0.5820368212	0.5839651295	0.572007557	0.5818738191	0.5268494914	0.5221511781	0.5722927591	0.5840928935	0.5758869446	0.5838044972	0.5841580119	0.5795584066	0.5831602166000001	0.5831687686	0.5796944134	0.5834330545	0.5792614584	0.5835497936	0.5833845248	0.5876952187	0.5870982313
GCF_000718755.1 | Streptomyces rimosus NRRL WC-3560 - ST 287:219	0.6247563709	1.0	1.0057556223	0.8634566745000001	0.8150955919	0.8574062795	0.8625231889	0.8399540173000001	0.8611325501	0.7752066663	0.7503237153000001	0.8441538304	0.8630297423000001	0.8604057309	0.8626702266	0.8583739382000001	0.8479490285	0.8638979036000001	0.8601528029000001	0.8537349882	0.86187355	0.8500298725000001	0.8619272507	0.8623494172	0.8633553173	0.8629085089
GCF_000719185.1 | Streptomyces rimosus NRRL B-2660 - ST 287:220	0.6253531857	0.9523681481	1.0	0.8655905877000001	0.8165119277	0.8592904509	0.8646292776000001	0.8429397028000001	0.8633322683	0.7685790473	0.7548924293	0.8471480489000001	0.8651398704000001	0.8502622360000001	0.8649741121000001	0.8604918135	0.8472819984000001	0.8577931228000001	0.8622845568	0.8562782943	0.8639331146	0.8352989709	0.8640278809	0.8643785488	0.8655363256	0.8647096252
GCF_000331185.2 | Streptomyces rimosus ATCC 10970 - ST 249:652	0.5914378335	0.7702829698	0.8154735469000001	1.0	0.927469006	0.8834287945	0.9989706437	0.8542819491	1.0064665808	0.8770537742000001	0.8668538456	0.9769417759000001	0.9993059855	0.9725869983000001	0.9989976038	0.8738221948	0.9597357540000001	0.8599583923	0.9974148401	0.9963598718000001	0.9998856271000001	0.8585745111	0.9977665654000001	1.0030879652	1.0038954194	0.9737837145
GCF_000707925.2 | Streptomyces rimosus R6-500 - ST 249:653	0.6167251606	0.7862245115000001	0.8317411245	1.0028308716	1.0	0.8926527955	0.9948855055	0.8652159099000001	1.0076461228	0.9242161903	0.9338551014	0.9734912286	0.9974109672	0.9712782402000001	1.0018885184	0.8861956859000001	0.9886561079	0.865638259	1.0005342431	1.0059263422	0.9985695964	0.8708148670000001	0.9961247476	0.9967629242	1.0026455403	0.9700265529000001
GCF_000716515.1 | Streptomyces rimosus NRRL B-16073 - ST 269:654	0.6018085047	0.785856427	0.8317334004	0.9076498803	0.8482054994	1.0	0.9077318062	0.8718342298	0.9060242545	0.7979278624	0.7856216226	0.8842963312000001	0.9079662909	0.8880769579000001	0.9076156824	0.8895063452	0.8829194658	0.8786205437	0.9040295896	0.8983658407	0.9066383254	0.8903629975	0.9068163463000001	0.9070034227	0.9083021974000001	0.9055124578
GCF_000717285.1 | Streptomyces rimosus NRRL ISP-5260 - ST 249:656	0.5909970052	0.7737805946	0.8191521931	1.004592739	0.9252990640000001	0.8884808215000001	1.0	0.8589834952000001	1.0078584597	0.882533848	0.8681305996	0.9829201912000001	1.0062357142	0.9797825216	1.0123941597	0.8785481005	0.9637995937	0.8641940704000001	0.9951173732	0.9980585865	1.0030510161	0.8635108531000001	1.0007638228	1.0062305004	1.0012466215	0.9715818276
GCF_000718675.1 | Streptomyces rimosus NRRL WC-3930 - ST 285:658	0.5831393233000001	0.7590576513	0.8044579863	0.8653877343	0.8105983449	0.8596004171	0.8652806979000001	1.0	0.8631283109000001	0.7644464444	0.7507696325000001	0.8437272062000001	0.8652186189000001	0.8473532079	0.8649861641000001	1.0052325977	0.8434829868	0.8506985410000001	0.8635428011	0.8566663179	0.8640797687	0.8362800374	0.8641341797000001	0.8644769272	0.8659569493	0.86295783
GCF_000718715.1 | Streptomyces rimosus NRRL WC-3874 - ST 249:659	0.5912599989	0.7756546054	0.8212283823000001	1.016220575	0.9409539576	0.8903928104000001	1.0119309089	0.8603090293000001	1.0	0.8887200583	0.8786399920000001	0.9899156410000001	1.014044228	0.9843108695	1.0161708437	0.8805372155000001	0.968782345	0.8657008461	0.9971394548	0.9965018470000001	1.0003757593	0.8639883091	1.002659526	1.0028229588	1.0139282232	0.9830273828
GCF_000718835.1 | Streptomyces rimosus NRRL WC-3876 - ST 249:661	0.6077789723	0.7927299979	0.8300111790000001	1.0053661775	0.9798133023000001	0.8902559293000001	1.0059864033	0.8650388414	1.0089610623	1.0	0.9158842824000001	0.9876345898000001	1.0123000357	0.9858301344	1.0060483308	0.8875868664000001	0.9668158988000001	0.8638437953	1.0003373325	1.0004727171	0.9998274113000001	0.8785018302000001	0.9988885145	1.0004506087	1.0035742027	0.9719589710000001
