	GCF_000590515.1 | Streptomyces sp. PRh5 - ST 261:532	GCF_001509775.1 | Streptomyces violaceusniger NRRL F-8817 - ST 383:533	GCF_001598115.1 | Streptomyces sp. AgN23 - ST 398:534	GCF_002154275.1 | Streptomyces antimycoticus NRRL B-24289 - ST 94:535	GCF_002155885.1 | Streptomyces rhizosphaericus NRRL B-24304 - ST 99:536	GCF_003949695.1 | Streptomyces sp. WAC05858 - ST 531:537	GCF_005405925.1 | Streptomyces antimycoticus NBRC 12839 - ST 67:538	GCF_005938145.1 | Streptomyces sp. DASNCL29 - ST 576:539	GCF_009936315.1 | Streptomyces antimycoticus NBRC 100767 - ST 95:540	GCF_010892295.1 | Streptomyces rhizosphaericus 0250 - ST 662:541	GCF_014076605.1 | Streptomyces sp. GMR22 - ST 687:542	GCF_017942185.1 | Streptomyces rhizosphaericus DSM 41760 - ST 99:543	GCF_018138705.1 | Streptomyces indonesiensis DSM 41759 - ST 98:544	GCF_018138715.1 | Streptomyces asiaticus DSM 41761 - ST 98:545
GCF_000590515.1 | Streptomyces sp. PRh5 - ST 261:532	1.0	0.6292405903	0.6335579115000001	0.6092414708	0.7979804204000001	0.6274534499000001	0.6679151418	0.8155848674	0.6564303132	0.7679939207	0.7974261173	0.7878686287000001	0.8257578273	0.8270516523
GCF_001509775.1 | Streptomyces violaceusniger NRRL F-8817 - ST 383:533	0.6667790613	1.0	0.9504831089	0.9250139195	0.6498405188	0.9517891108000001	0.8108730185	0.6706147549	0.8092885315	0.6418512590000001	0.681275578	0.6429691187000001	0.6667937838	0.6695453649
GCF_001598115.1 | Streptomyces sp. AgN23 - ST 398:534	0.6467118327	0.9155955401	1.0	0.8910926029	0.6312883107	0.9144885055	0.7889939154000001	0.6545318936	0.7882610495	0.6261477507000001	0.6629159242	0.6299086846	0.6496414547	0.6523518062
GCF_002154275.1 | Streptomyces antimycoticus NRRL B-24289 - ST 94:535	0.6248573981000001	0.8953122003	0.8953437534	1.0	0.6121455725	0.8993848627000001	0.7634563537	0.630851283	0.7582979317	0.6028660943	0.6409058940000001	0.6024906958	0.6296836335	0.6316139241000001
GCF_002155885.1 | Streptomyces rhizosphaericus NRRL B-24304 - ST 99:536	0.765239906	0.5880942561	0.5930736560000001	0.5723591484	1.0	0.5876319958	0.624205244	0.7401263546	0.6084168417	0.7148338860000001	0.7639587622	0.9136180452	0.9300497879	0.9354811527
GCF_003949695.1 | Streptomyces sp. WAC05858 - ST 531:537	0.6412078895000001	0.9178946829	0.9155268977000001	0.8961309180000001	0.6262062617	1.0	0.7807633908	0.6461873191	0.7775723849	0.6249098896	0.6563432018	0.6176134750000001	0.6445943515	0.647373701
GCF_005405925.1 | Streptomyces antimycoticus NBRC 12839 - ST 67:538	0.6625349164000001	0.7590582555000001	0.7667197443	0.7383805318000001	0.6456683830000001	0.7578610333	1.0	0.6920602542000001	0.8817410537	0.6544268632	0.6851829827	0.6417278769	0.6671631676	0.6685706958000001
GCF_005938145.1 | Streptomyces sp. DASNCL29 - ST 576:539	0.8157732045	0.6330064831000001	0.6413669867	0.6152275988	0.7719706191	0.6324720851	0.6978413553	1.0	0.6824982139	0.8015992956	0.8192199901	0.7677721389000001	0.8065725716000001	0.8062017777
GCF_009936315.1 | Streptomyces antimycoticus NBRC 100767 - ST 95:540	0.6614172935	0.7695291581	0.7780947702000001	0.744964077	0.6392677137	0.7666734087	0.8956544702	0.6875244702000001	1.0	0.6481159462	0.6801667907000001	0.6360668926	0.6665150994	0.6681853696000001
GCF_010892295.1 | Streptomyces rhizosphaericus 0250 - ST 662:541	0.7589889205	0.5986139425	0.6062196229	0.5809075959000001	0.7366775098	0.6043349427	0.6520055465	0.7920173657	0.6356871656	1.0	0.8393348037	0.7201375644	0.7582463897	0.7603449666000001
GCF_014076605.1 | Streptomyces sp. GMR22 - ST 687:542	0.7739739318000001	0.6240127670000001	0.6303327043	0.6065110048	0.7732152661	0.6233752041	0.6704323536	0.7949432796	0.6551856603	0.8243154802	1.0	0.7593931725	0.7998257451	0.8020337039000001
GCF_017942185.1 | Streptomyces rhizosphaericus DSM 41760 - ST 99:543	0.7907113318000001	0.6089603914	0.6193230758	0.5895532544000001	0.9561443197	0.6065457607	0.6492733517	0.7703644374	0.6335487348000001	0.7313107647	0.7852265310000001	1.0	0.9369936037000001	0.952152682
GCF_018138705.1 | Streptomyces indonesiensis DSM 41759 - ST 98:544	0.7845199832	0.5978298975	0.604645121	0.5832869482	0.9214083321000001	0.5992671355	0.6389926923	0.766115914	0.6284552897	0.728926952	0.7829081476	0.8870003331	1.0	1.0437290464
GCF_018138715.1 | Streptomyces asiaticus DSM 41761 - ST 98:545	0.7717844273000001	0.5896280857	0.5963768245000001	0.5746767343	0.9103178224	0.5911546152	0.6289602989	0.7521541434	0.6188329391	0.7179536355	0.771116718	0.8853312991000001	1.025179318	1.0
