	GCF_000261345.2 | Streptomyces globisporus C-1027 - ST 245:245	GCF_000498935.1 | Streptomyces sp. HCCB10043 - ST 259:246	GCF_000698495.1 | Streptomyces sp. NTK 937 - ST 265:247	GCF_000719355.1 | Streptomyces griseus NRRL F-5144 - ST 292:248	GCF_000721185.1 | Streptomyces griseolus NRRL B-2925 - ST 314:249	GCF_000743295.1 | Streptomyces sp. JS01 - ST 329:250	GCF_001746305.1 | Streptomyces sp. EN23 - ST 408:251	GCF_001751305.1 | Streptomyces nanshensis SCSIO M10372 - ST 410:252	GCF_001905405.1 | Streptomyces sp. TSRI0445 - ST 416:253	GCF_001905785.1 | Streptomyces sp. CB02130 - ST 422:254	GCF_002154385.1 | Streptomyces albovinaceus NRRL B-2566 - ST 24:255	GCF_002217715.1 | Streptomyces sp. SS07 - ST 442:256	GCF_002551105.1 | Streptomyces sp. st170 - ST 451:257	GCF_002551135.1 | Streptomyces sp. st140 - ST 452:258	GCF_002551175.1 | Streptomyces sp. st77 - ST 454:259	GCF_002551335.1 | Streptomyces sp. ms184 - ST 457:260	GCF_002551345.1 | Streptomyces sp. ms115 - ST 458:261	GCF_002551375.1 | Streptomyces sp. gb14 - ST 459:262	GCF_002551415.1 | Streptomyces sp. f51 - ST 460:263	GCF_002551435.1 | Streptomyces sp. f150 - ST 462:264	GCF_002551475.1 | Streptomyces sp. b62 - ST 464:265	GCF_002705695.1 | Streptomyces sp. OspMP-M45 - ST 465:266	GCF_002803175.1 | Streptomyces sp. CB02613 - ST 469:267	GCF_002804165.1 | Streptomyces cavourensis 1AS2a - ST 470:268	GCF_002832675.1 | Streptomyces sp. S063 - ST 471:269	GCF_002910775.2 | Streptomyces sp. SM18 - ST 478:270	GCF_003024215.1 | Streptomyces sp. CS149 - ST 486:271	GCF_003116755.1 | Streptomyces sp. CS131 - ST 494:272	GCF_003116775.1 | Streptomyces sp. CS147 - ST 495:273	GCF_003147545.1 | Streptomyces globisporus TFH56 - ST 338:274	GCF_003330865.1 | Streptomyces atratus SCSIO_ZH16 - ST 499:275	GCF_003352445.1 | Streptomyces cavourensis TJ430 - ST 500:276	GCF_003353555.1 | Streptomyces sp. HB202 - ST 501:277	GCF_003949895.1 | Streptomyces sp. WAC04770 - ST 535:278	GCF_003989035.1 | Streptomyces sp. NP10 - ST 546:279	GCF_004000405.1 | Streptomyces sp. B27 - ST 549:280	GCF_006788935.1 | Streptomyces cavourensis DSM 41795 - ST 583:281	GCF_008180165.1 | Streptomyces parvus C05 - ST 595:282	GCF_008632535.1 | Streptomyces parvus NRRL B-1455 - ST 596:283	GCF_009811575.1 | Streptomyces glebosus NBRC 13786 - ST 614:284	GCF_009862465.1 | Streptomyces sp. SID4941 - ST 624:285	GCF_009863145.1 | Streptomyces sp. SID4937 - ST 631:286	GCF_009863235.1 | Streptomyces sp. SID4925 - ST 465:287	GCF_009864905.1 | Streptomyces sp. SID8378 - ST 633:288	GCF_009865365.1 | Streptomyces sp. SID4912 - ST 260:289	GCF_009872565.1 | Streptomyces sp. SID5614 - ST 642:290	GCF_010548175.1 | Streptomyces halstedii SID11342 - ST 647:291	GCF_010548665.1 | Streptomyces parvus SID7590 - ST 654:292	GCF_013363455.1 | Streptomyces sp. CAI-121 - ST 672:293	GCF_013363475.1 | Streptomyces sp. KAI-26 - ST 674:294	GCF_013363655.1 | Streptomyces sp. CAI 127 - ST 676:295	GCF_013363665.1 | Streptomyces sp. CAI-68 - ST 672:296	GCF_013363675.1 | Streptomyces sp. CAI-24 - ST 677:297	GCF_013363735.1 | Streptomyces sp. CAI-155 - ST 678:298	GCF_014648655.1 | Streptomyces atratus JCM 3386 - ST 702:299	GCF_014648875.1 | Streptomyces parvus JCM 4069 - ST 596:300	GCF_014649215.1 | Streptomyces cavourensis JCM 4298 - ST 583:301	GCF_014649535.1 | Streptomyces gelaticus JCM 4376 - ST 706:302	GCF_014649875.1 | Streptomyces rubiginosohelvolus JCM 4415 - ST 708:303	GCF_014656235.1 | Streptomyces glebosus JCM 4954 - ST 614:304	GCF_016612575.1 | Streptomyces sp. MBT67 - ST 734:305	GCF_016612645.1 | Streptomyces sp. MBT61 - ST 734:306	GCF_016612665.1 | Streptomyces sp. MBT60 - ST 736:307	GCF_016612705.1 | Streptomyces sp. MBT56 - ST 737:308	GCF_016612725.1 | Streptomyces sp. MBT54 - ST 737:309	GCF_016612775.1 | Streptomyces sp. MBT98 - ST 737:310	GCF_016654055.1 | Streptomyces sp. MBT55 - ST 740:311	GCF_016654065.1 | Streptomyces sp. MBT59 - ST 734:312	GCF_900090065.1 | Streptomyces sp. OspMP-M45 - ST 465:313	GCF_900091745.1 | Streptomyces sp. DpondAA-D4 - ST 260:314	GCF_900091765.1 | Streptomyces sp. PalvLS-984 - ST 624:315	GCF_900091775.1 | Streptomyces sp. ScaeMP-e83 - ST 631:316	GCF_900091865.1 | Streptomyces sp. DvalAA-19 - ST 791:317	GCF_900092005.1 | Streptomyces sp. Cmuel-A718b - ST 794:318	GCF_900187925.1 | Streptomyces sp. PgraA7 - ST 633:319
GCF_000261345.2 | Streptomyces globisporus C-1027 - ST 245:245	1.0	0.627040653	0.3470133803	0.8149446034000001	0.3477199943	0.8368768741	0.7043559156	0.5563069218	0.8332908723	0.9456269523	0.7586265685	0.8363661848	0.8543290835	0.8456097237	0.7838868626000001	0.8284580179000001	0.8349189109	0.8134843534	0.8080787564	0.8385632405000001	0.8194394393000001	0.3480235814	0.7109698226000001	0.5752965948000001	0.7121665697	0.3489340856	0.7537522167	0.7682276541	0.7811743642000001	0.8480064299000001	0.34975876840000003	0.5763299214000001	0.8393755896	0.5491498213	0.8167622715	0.5630448074000001	0.5740117136	0.7552898087000001	0.7589958064	0.1680849694	0.3446602272	0.6002622951000001	0.3480235814	0.78302762	0.34735525300000003	0.801479881	0.33928353710000003	0.7328095910000001	0.7675191129000001	0.5733273258	0.7698623734000001	0.7674251975	0.5763954438000001	0.5725419565000001	0.34885687200000004	0.7637775276000001	0.5727351833000001	0.34570306100000003	0.8188860963	0.1669176431	0.8207572101	0.8194522868	0.8260151891	0.8279863852	0.831582665	0.8396196926	0.8478621522	0.8171823857	0.3480235814	0.3468147575	0.3444004502	0.5999210648000001	0.5727260616000001	0.7671359997	0.78302762
GCF_000498935.1 | Streptomyces sp. HCCB10043 - ST 259:246	0.7298106791000001	1.0	0.3601917179	0.7465459984	0.3599321304	0.7411259129000001	0.7542763527	0.5504572463	0.7398004615	0.7314275683	0.7135601424	0.7389071575	0.7444396910000001	0.7428621287	0.7799020954	0.7585272476	0.7386877941000001	0.7364644032000001	0.7345592164	0.7498424307	0.7496139458000001	0.3577782719	0.734961906	0.5625632053	0.754142073	0.3559871779	0.8069966907	0.7769871192000001	0.7760199464	0.7403434121	0.3625923042	0.5637957973000001	0.7437010030000001	0.5477012226	0.7489121923000001	0.5526912540000001	0.5620950207000001	0.8071031575000001	0.7773548183000001	0.1781781114	0.3587648839	0.5875676427000001	0.3577782719	0.7788111102	0.3588955748	0.7301196121	0.35537559220000003	0.7986091433	0.8280920632000001	0.5631209596	0.8280152038	0.827903952	0.565461733	0.560372861	0.3644662389	0.7806074378000001	0.5625739716	0.35996876580000003	0.7456980025000001	0.1782878679	0.7283500508	0.728521863	0.7262069585	0.7321504058	0.7331361206	0.7390945211000001	0.7412371647	0.7245007987000001	0.3577782719	0.3592083957	0.3584629788	0.5875088766000001	0.5663504016	0.7823493357	0.7788111102
GCF_000698495.1 | Streptomyces sp. NTK 937 - ST 265:247	0.36280234110000004	0.32355123890000004	1.0	0.3645443481	0.8849114846	0.3681417289	0.3590089862	0.3438845937	0.36280234110000004	0.3647090255	0.3424562258	0.36412916240000004	0.36861668740000003	0.36292524470000004	0.3633138349	0.3635815363	0.3619532991	0.3628478759	0.36068437010000004	0.36235720180000003	0.3647401879	0.8908970900000001	0.35632552440000004	0.3659709698	0.3602650204	0.854191502	0.3630834746	0.3681872637	0.3627159728	0.3627769545	0.34214272100000004	0.3668411002	0.3708023561	0.3553166406	0.36259656160000003	0.3579846555	0.3674879894	0.3672263324	0.3647189652	0.1557914916	0.8643027721000001	0.37817871950000004	0.8908970900000001	0.36889352270000003	0.8888370112	0.3597147079	0.8249710774	0.3488133627	0.3641098202	0.3648617483	0.36283135440000003	0.36378825610000004	0.36350363020000004	0.36377979390000004	0.3410156348	0.3665480121	0.36370484280000004	0.3415376056	0.3644070722	0.15605825280000002	0.3630159112	0.3617324756	0.3551342329	0.3664882393	0.36723680940000003	0.3711259351	0.3698379325	0.360413042	0.8908970900000001	0.8876989107000001	0.8629087904	0.3778560809	0.3667020781	0.363789062	0.36889352270000003
GCF_000719355.1 | Streptomyces griseus NRRL F-5144 - ST 292:248	0.808070048	0.6360085847	0.345738251	1.0	0.34763269	0.8608279658	0.7122982612000001	0.5564505516	0.8092922421000001	0.8187246913	0.7375992332	0.8611366354000001	0.8175739638	0.8692307095	0.7956824981	0.8320978693000001	0.8607703848	0.8627406219	0.8522518423000001	0.86764787	0.9273193248	0.3470963718	0.707883636	0.5731570558	0.7217425578000001	0.3453439743	0.7631314208000001	0.7671483297	0.785034097	0.8091187349000001	0.3492305617	0.5721174137	0.814962438	0.5489521603	0.9228932343	0.5577444672	0.5704868024	0.7679106405	0.7597721068000001	0.165474176	0.34364622770000003	0.5998965326	0.3470963718	0.8032405087000001	0.3451784927	0.842733786	0.3398821909	0.7408616023	0.7777180029	0.5723386927	0.7824992608	0.7776739254	0.5729496624	0.5729778159000001	0.3506154347	0.7645520908	0.5708962387000001	0.3444583485	0.9091423405	0.1655349418	0.8490575003	0.8489865433	0.8476626907	0.7989680524	0.8021454513	0.8097680494	0.8134631674	0.8459299115000001	0.3470963718	0.34505441340000004	0.3434297895	0.5996040417	0.5726309288	0.7680607077	0.8032405087000001
GCF_000721185.1 | Streptomyces griseolus NRRL B-2925 - ST 314:249	0.3590711769	0.31934269260000003	0.8740310332000001	0.362035009	1.0	0.3622919895	0.35301840560000003	0.3381406053	0.35968211910000003	0.3588616921	0.3380292958	0.360534652	0.35889817620000003	0.36004085680000003	0.3590714423	0.3623061851	0.3618150433	0.361846486	0.3582831213	0.36194983540000003	0.3648042153	0.9138656530000001	0.35145781670000004	0.36244018110000004	0.3533518036	0.8552603177	0.3573008378	0.3589870646	0.3584508153	0.35956298200000003	0.3367221052	0.3616435019	0.3607562097	0.3595952207	0.360200856	0.3539400592	0.36150632190000004	0.36202598750000003	0.3590890873	0.1557703383	0.8699850177	0.3762185509	0.9138656530000001	0.3590889546	0.9151075703	0.36070553	0.8261870353	0.3454814628	0.3641884971	0.36355778720000004	0.3594327008	0.3639581832	0.3626829659	0.36166194300000004	0.33870909320000003	0.3610886789	0.3614663884	0.33842916100000003	0.3624367317	0.1557684809	0.3589679602	0.3569642558	0.352937212	0.3563205444	0.3570390813	0.36029199980000004	0.3617753752	0.3556314601	0.9138656530000001	0.9132190228	0.8682938821	0.3760630625	0.36716254470000004	0.3590909447	0.3590889546
GCF_000743295.1 | Streptomyces sp. JS01 - ST 329:250	0.8351841013	0.6354745092	0.3514081577	0.8663953201	0.3501293373	1.0	0.7104639795000001	0.5749849187	0.8203104736	0.8410993189	0.7454778107000001	0.9253841494	0.8237908807000001	0.8876345861	0.7809742447	0.8203048321	0.9212972834	0.8532586265000001	0.8512474397	0.8876015065	0.8622501162	0.3482166199	0.7064700697	0.5751578812	0.7155646446	0.3476383685	0.7569451398	0.7604061864	0.7776225659	0.8166703101	0.3525260678	0.5757919064	0.8243706707	0.550961327	0.8630323584	0.5627338088	0.5724012501	0.7678838368	0.7692845901	0.1669681224	0.3439485856	0.6012810001000001	0.3482166199	0.7851757352000001	0.34674522	0.8416616716	0.3414859524	0.7401898229	0.7798574886	0.5739480407	0.7775520474000001	0.7790715282	0.5753289206000001	0.5734777466000001	0.3509600449	0.7741448514	0.5724963859000001	0.3478749259	0.8653104896	0.167317253	0.9005080535000001	0.8990233192	0.9016567353	0.8197897908	0.8233598205	0.8312764805	0.8343545476	0.8958458851000001	0.3482166199	0.3465707188	0.34383049920000003	0.6009764885000001	0.5754800865	0.7669455565000001	0.7851757352000001
GCF_001746305.1 | Streptomyces sp. EN23 - ST 408:251	0.7370722854	0.6781626889	0.3593348793	0.7517247999000001	0.3577374303	0.7449709328	1.0	0.5572076182	0.7509326631000001	0.7377664135	0.6933751576	0.7430930361	0.7543979256000001	0.7506164537000001	0.7813390473	0.7524482365	0.7438441679000001	0.7488559256	0.7446822842	0.7518554783	0.7561762002	0.356678559	0.7297064348000001	0.5747790198	0.9248056193	0.35667358460000004	0.8017375115	0.7742254113	0.7741158405	0.7502137976000001	0.34781474700000004	0.5752298064	0.7554590824	0.5497686307	0.754353425	0.5653075264	0.5718409074	0.7856890777000001	0.7704085810000001	0.1637011504	0.35403393520000004	0.5925902672000001	0.356678559	0.7776964548	0.3573456641	0.7411874443	0.3510739087	0.7495328450000001	0.7981954822	0.5744898334	0.8007454583	0.7980049768	0.5754255551	0.5724493954000001	0.35103962580000003	0.7757475724	0.5715826428	0.3474903366	0.7537138808	0.1641101253	0.7316016746	0.7306746916	0.7275150176	0.726926696	0.7296291302	0.7371033417	0.7423142092	0.7289558408	0.356678559	0.3571578475	0.3537887116	0.5923689744	0.5730002074	0.7724452546	0.7776964548
GCF_001751305.1 | Streptomyces nanshensis SCSIO M10372 - ST 410:252	0.4215569648	0.35838587380000003	0.24924741620000002	0.42525307370000004	0.24813512740000002	0.43659384360000003	0.4034975811	1.0	0.417355872	0.4257443305	0.3842963126	0.4256476563	0.42091217810000003	0.4244216561	0.42047748490000003	0.4260604445	0.4242245108	0.4280360835	0.4222506241	0.4300930146	0.4258978604	0.24659885450000002	0.3986407977	0.6726625117	0.40514698130000004	0.2502703324	0.42084422380000003	0.4256237068	0.4214934889	0.42041410630000003	0.2456787459	0.67753458	0.4232142508	0.6335379847	0.4264779057	0.6707400289000001	0.6743715909	0.4378144893	0.4276457846	0.1183943554	0.2440237965	0.5082521119	0.24659885450000002	0.4238834738	0.2483349986	0.42054553650000004	0.24515312250000001	0.4103343847	0.4325540692	0.6739816814	0.4305952726	0.4323057148	0.6749704258	0.6717463947	0.24364712730000002	0.43204227030000003	0.6732689403000001	0.245705324	0.4287028727	0.1179287031	0.4185542232	0.417205068	0.41652649880000003	0.4224938186	0.4239731384	0.4271497573	0.4261420285	0.41508329800000004	0.24659885450000002	0.2480013606	0.24388818	0.5080367611000001	0.6852337603	0.42703331990000004	0.4238834738
GCF_001905405.1 | Streptomyces sp. TSRI0445 - ST 416:253	0.8347647627	0.6367479655	0.34762716320000003	0.8176208156	0.3489277021	0.8234269721	0.7188703369	0.5517371236	1.0	0.8338644886000001	0.8704144581000001	0.8213455951	0.9249813639000001	0.8322077011000001	0.7901443733	0.8437202697	0.8205127611	0.804895612	0.8017417569	0.8247127102	0.8223432970000001	0.34832099850000003	0.7063571062	0.5715656764	0.7228881719	0.3489477797	0.7682887559	0.7686325203000001	0.7826415316	0.9212752463	0.3495897479	0.5731505191	0.9660969264	0.5498745408	0.8227850040000001	0.5568445541	0.5700197018000001	0.7671512831	0.7590274517000001	0.1650378077	0.34395502310000003	0.5995023589	0.34832099850000003	0.7898420511	0.3485655333	0.79613303	0.34066911920000004	0.7316707028	0.7726815014	0.5736561913	0.7753262094000001	0.7724636081	0.5741639227	0.5720018492	0.3507016089	0.7637140251000001	0.5704005325	0.3415664331	0.8151479255	0.16511798930000002	0.8022026406	0.8024259394000001	0.8037482291	0.8437972338	0.8467678165	0.8548422262	0.8572732879	0.7994958980000001	0.34832099850000003	0.3483764693	0.34365681940000004	0.5992282225000001	0.5688626662	0.7659481720000001	0.7898420511
GCF_001905785.1 | Streptomyces sp. CB02130 - ST 422:254	0.9048606697	0.6013380426	0.3337986076	0.7900941326	0.3325355564	0.8064705253000001	0.6746256271000001	0.5376119799	0.7965074924000001	1.0	0.7261108864	0.8001402707	0.8110234846000001	0.8157700691	0.7525600945	0.793002937	0.7991802583000001	0.780514785	0.7755020426	0.8041526775000001	0.7888784120000001	0.33374377790000004	0.682152916	0.5511056309	0.6774467776	0.3334511886	0.7201640713	0.7368848096	0.7482163734	0.8009216562	0.3336889481	0.5531290454000001	0.8050900695000001	0.5269865643	0.7841594882	0.5395589278	0.5498440548	0.7271735509	0.7317380662	0.15957510630000002	0.32826596610000003	0.5759120364	0.33374377790000004	0.7545264664	0.3303101569	0.7668838138	0.32347819780000003	0.7006252559	0.7334236508	0.5506010988	0.7351697202	0.7333604614	0.5540577089000001	0.5490308288	0.3326296029	0.7362538986	0.5495485151	0.3307293709	0.7817187037000001	0.1598581065	0.7875733164000001	0.7867764409	0.7901638377	0.7876427756000001	0.7901177364	0.7986249534000001	0.8003995442	0.7836258201	0.33374377790000004	0.3298957374	0.3281076237	0.5756281756	0.5483738553	0.7377797885	0.7545264664
