	GCF_000980885.2 | Streptomyces malaysiense MUSC 136 - ST 343:576	GCF_002154555.1 | Streptomyces murinus NRRL B-2286 - ST 438:577	GCF_003933295.1 | Streptomyces griseofuscus 64 - ST 521:578	GCF_003933485.1 | Streptomyces griseofuscus 199 - ST 522:579	GCF_004104485.1 | Streptomyces sp. endophyte_N2 - ST 551:580	GCF_004794665.1 | Streptomyces sp. S816 - ST 569:581	GCF_009862025.1 | Streptomyces sp. SID4946 - ST 622:582	GCF_009862685.1 | Streptomyces sp. SID685 - ST 627:583	GCF_009862765.1 | Streptomyces sp. SID6137 - ST 628:584	GCF_010119355.1 | Streptomyces sp. TR1341 - ST 643:585	GCF_014138855.1 | Streptomyces murinus DSM 41827 - ST 689:586	GCF_014138905.1 | Streptomyces murinus DSM 40710 - ST 690:587	GCF_014673495.1 | Streptomyces griseofuscus DSM 40191 - ST 721:588	GCF_016457305.1 | Streptomyces sp. CRPSP2-6A1 - ST 731:589	GCF_016467295.1 | Streptomyces costaricanus Am1 - ST 732:590	GCF_900091975.1 | Streptomyces sp. LamerLS-31b - ST 622:591	GCF_900091985.1 | Streptomyces sp. DconLS - ST 622:592
GCF_000980885.2 | Streptomyces malaysiense MUSC 136 - ST 343:576	1.0	0.6896561813000001	0.7261274999999999	0.7255570097	0.7329706206000001	0.7296006719	0.7227171159	0.7054335086	0.6915918047	0.7338009269	0.7355272156	0.7243989509000001	0.7244292146	0.7259814555	0.7355357548	0.7225749643	0.7209113378
GCF_002154555.1 | Streptomyces murinus NRRL B-2286 - ST 438:577	0.6904156682	1.0	0.8335315842000001	0.8333402476	0.8624880352000001	0.935568955	0.8301145531	0.8064540542	0.9015185744	0.8568431012000001	0.8597551394	0.8238575178	0.8256864045000001	0.8368218958	0.8574836138	0.8303193411	0.8282376436000001
GCF_003933295.1 | Streptomyces griseofuscus 64 - ST 521:578	0.6933671352	0.795049966	1.0	0.9667374096	0.8438828867	0.8395357847	0.894965801	0.8824013778	0.7982893381	0.8379981771	0.8377366531	0.9073080308	0.9153968084	0.907418468	0.8369115515000001	0.8951006999000001	0.892757656
GCF_003933485.1 | Streptomyces griseofuscus 199 - ST 522:579	0.6858780522	0.7869003082	0.9570475599	1.0	0.8348401564	0.8299296713000001	0.8939086647000001	0.8815882925	0.7868102087000001	0.8297590876000001	0.8302510145	0.8985418473000001	0.9060197542	0.9049230088	0.8271666183	0.8939873683	0.8917605204
GCF_004104485.1 | Streptomyces sp. endophyte_N2 - ST 551:580	0.6925010974	0.8139710750000001	0.8349600769000001	0.8343761197	1.0	0.8614149276	0.8309848494000001	0.8094401272	0.8142726636000001	0.9468525395	0.9444487287000001	0.8294512796	0.8280517755	0.8430960884	0.9432276626	0.8299403229000001	0.8290123032000001
GCF_004794665.1 | Streptomyces sp. S816 - ST 569:581	0.6768099566	0.8669205751	0.8155871191	0.8144181463	0.8457850581	1.0	0.8107453468	0.7897258535	0.8683333605	0.8392748059	0.842527311	0.8108189682	0.8127107587	0.8213461301	0.8432814644000001	0.8102869604	0.8086752108
GCF_009862025.1 | Streptomyces sp. SID4946 - ST 622:582	0.6692779277	0.7678885371	0.8679490546	0.8757012017	0.8145117794000001	0.8093588378000001	1.0	0.8661320179	0.7648285892000001	0.8143129229	0.8185367046	0.8667302155000001	0.8700373966	0.9262984341	0.8132475870000001	0.9876187993000001	0.9964448878000001
GCF_009862685.1 | Streptomyces sp. SID685 - ST 627:583	0.6375643115	0.7280639671	0.8351869952000001	0.8428656679000001	0.7743169129	0.7694187330000001	0.8453057918	1.0	0.7217014859	0.7716438990000001	0.7753308695000001	0.8227166002	0.8296374725000001	0.8382431653	0.7689957403000001	0.8425568503	0.8425355134
GCF_009862765.1 | Streptomyces sp. SID6137 - ST 628:584	0.6778268565000001	0.8826034232000001	0.8193678038000001	0.8157621605	0.8447046606	0.9174320474000001	0.8094590538	0.7826338353000001	1.0	0.8382489393	0.8377280804	0.805463997	0.8069814048	0.8170289848000001	0.8375035892	0.8085790582	0.805744611
GCF_010119355.1 | Streptomyces sp. TR1341 - ST 643:585	0.6872997482000001	0.8016618704	0.8219788342000001	0.8221377360000001	0.9386774361	0.8474041788000001	0.8236090183	0.7996813025	0.8010728399	1.0	0.9335883446000001	0.8183124489	0.8200262594000001	0.8270495772	0.9395121703	0.8234583498	0.8217686510000001
GCF_014138855.1 | Streptomyces murinus DSM 41827 - ST 689:586	0.6839206727	0.7985530254000001	0.8157632446	0.8166595323	0.9295044472	0.8445190650000001	0.8218772908	0.7976753033	0.794769374	0.9268180361	1.0	0.8139226787	0.8159765741	0.8250829557	0.9230914828000001	0.8195474798	0.8195363871
GCF_014138905.1 | Streptomyces murinus DSM 40710 - ST 690:587	0.6765827453000001	0.7686297834	0.8874573531000001	0.8877814161	0.8199740116	0.816367095	0.8741558733	0.8502085181	0.7675740862	0.8160078460000001	0.8175593139	1.0	0.9588544331000001	0.8844198632	0.8181599389	0.8731092071000001	0.8722269769000001
GCF_014673495.1 | Streptomyces griseofuscus DSM 40191 - ST 721:588	0.6327820064	0.7204358125	0.8373696015000001	0.83718313	0.7655644516	0.7652664262000001	0.8206499038	0.8018231872	0.7192051003000001	0.7647473771000001	0.7665294967	0.8967424736	1.0	0.8348686889	0.7667157489	0.8195579483000001	0.8190437256
GCF_016457305.1 | Streptomyces sp. CRPSP2-6A1 - ST 731:589	0.6695768547000001	0.7709566084	0.8764601032	0.882899301	0.8230345778	0.8166192387000001	0.9225452419	0.8554152986	0.7688532166000001	0.8144014176000001	0.8183998425	0.8733539491000001	0.88152557	1.0	0.8165197501	0.9209118442	0.9202910535000001
GCF_016467295.1 | Streptomyces costaricanus Am1 - ST 732:590	0.6859269136	0.7987702453000001	0.8173409324	0.816002878	0.9310150149	0.8477447237	0.8189524296	0.793469203	0.7968779277	0.93542406	0.9257885691000001	0.8169004963000001	0.8185595386000001	0.8255926975000001	1.0	0.8175806486	0.8166537538
GCF_900091975.1 | Streptomyces sp. LamerLS-31b - ST 622:591	0.6756268843000001	0.7755167123000001	0.8764871253000001	0.8842601046	0.8213664874000001	0.8167353417000001	0.9971837627000001	0.8716764496	0.7713963288	0.8220490301000001	0.8241213158	0.8740765624	0.8772947167	0.9336135911000001	0.8197483692	1.0	0.9954789911
GCF_900091985.1 | Streptomyces sp. DconLS - ST 622:592	0.6699875534	0.7688857975000001	0.8688965927000001	0.8767136269	0.8154774499	0.8101724962	1.0	0.866373542	0.7640351773	0.8153921384	0.8191173699000001	0.8679031977	0.8714325978	0.9273318438	0.8138582813	0.9894479783000001	1.0
