	GCF_001905505.1 | Streptomyces sp. CB02058 - ST 418:468	GCF_002941025.1 | Streptomyces sp. QL37 - ST 484:469	GCF_004125315.1 | Streptomyces sp. M3 - ST 555:470	GCF_008042065.1 | Streptomyces sp. gb1(2016) - ST 591:471
GCF_001905505.1 | Streptomyces sp. CB02058 - ST 418:468	8308206	5518716	5476497	5387505
GCF_002941025.1 | Streptomyces sp. QL37 - ST 484:469	5518716	8783195	6133064	6009303
GCF_004125315.1 | Streptomyces sp. M3 - ST 555:470	5476497	6133064	8304843	7192777
GCF_008042065.1 | Streptomyces sp. gb1(2016) - ST 591:471	5387505	6009303	7192777	7874883
