	GCF_001425805.1 | Streptomyces sp. Root369 - ST 375:344	GCF_001514045.1 | Streptomyces canus DSM 40275 - ST 387:345	GCF_001514145.1 | Streptomyces canus DSM 40017 - ST 389:346	GCF_001746295.1 | Streptomyces sp. LUP47b - ST 407:347
GCF_001425805.1 | Streptomyces sp. Root369 - ST 375:344	1	262818	220160	408336
GCF_001514045.1 | Streptomyces canus DSM 40275 - ST 387:345	262818	1	280376	397897
GCF_001514145.1 | Streptomyces canus DSM 40017 - ST 389:346	220160	280376	1	428826
GCF_001746295.1 | Streptomyces sp. LUP47b - ST 407:347	408336	397897	428826	1
