run_id,genome1,genome2,coverage,identity,comparision_type_species,comparision_type_genus,genome1_ST,genome2_ST,organism,connected_components_count,ST_count_per_species,cluster_id
117.0,GCF_014650615.1 | Streptomyces albaduncus JCM 4715 - ST 692:351,GCF_014203495.1 | Streptomyces albaduncus CECT 3226 - ST 692:350,1.0118138725,0.9991710347,intra,intra,692,692,Streptomyces albaduncus,1,1,0
117.0,GCF_014203495.1 | Streptomyces albaduncus CECT 3226 - ST 692:350,GCF_014650615.1 | Streptomyces albaduncus JCM 4715 - ST 692:351,1.0122896613,0.9991710347,intra,intra,692,692,Streptomyces albaduncus,1,1,0
118.0,GCF_000719495.1 | Streptomyces albidoflavus NRRL F-5621 - ST 295:389,GCF_000359525.1 | Streptomyces albidoflavus J1074 - ST 39:387,0.8067736882000001,0.9610837108,intra,intra,295,39,Streptomyces albidoflavus,1,22,1
118.0,GCF_001509565.1 | Streptomyces albidoflavus NRRL WC-3066 - ST 382:395,GCF_000359525.1 | Streptomyces albidoflavus J1074 - ST 39:387,0.9070016451,0.9909349266,intra,intra,382,39,Streptomyces albidoflavus,1,22,1
118.0,GCF_001865795.1 | Streptomyces albidoflavus OsiLf-2 - ST 411:396,GCF_000359525.1 | Streptomyces albidoflavus J1074 - ST 39:387,0.9165658215,0.9881187149,intra,intra,411,39,Streptomyces albidoflavus,1,22,1
118.0,GCF_002289335.1 | Streptomyces albidoflavus 132 - ST 447:397,GCF_000359525.1 | Streptomyces albidoflavus J1074 - ST 39:387,0.8411170737,0.9791499415,intra,intra,447,39,Streptomyces albidoflavus,1,22,1
118.0,GCF_002317005.1 | Streptomyces albidoflavus 38 - ST 447:398,GCF_000359525.1 | Streptomyces albidoflavus J1074 - ST 39:387,0.8322769145000001,0.9789267536,intra,intra,447,39,Streptomyces albidoflavus,1,22,1
118.0,GCF_002317025.1 | Streptomyces albidoflavus 138 - ST 447:399,GCF_000359525.1 | Streptomyces albidoflavus J1074 - ST 39:387,0.833134161,0.97886077,intra,intra,447,39,Streptomyces albidoflavus,1,22,1
118.0,GCF_004078575.1 | Streptomyces albidoflavus BSII#1 - ST 550:405,GCF_000359525.1 | Streptomyces albidoflavus J1074 - ST 39:387,0.7958711263,0.9616482645,intra,intra,550,39,Streptomyces albidoflavus,1,22,1
118.0,GCF_004195735.1 | Streptomyces albidoflavus DSM 40455 - ST 557:407,GCF_000359525.1 | Streptomyces albidoflavus J1074 - ST 39:387,0.9278281137,0.9908454865,intra,intra,557,39,Streptomyces albidoflavus,1,22,1
118.0,GCF_004195745.1 | Streptomyces albidoflavus NBRC 100770 - ST 558:408,GCF_000359525.1 | Streptomyces albidoflavus J1074 - ST 39:387,0.909075718,0.9908007858,intra,intra,558,39,Streptomyces albidoflavus,1,22,1
118.0,GCF_004195755.1 | Streptomyces albidoflavus NBRC 13083 - ST 110:409,GCF_000359525.1 | Streptomyces albidoflavus J1074 - ST 39:387,0.9200346931,0.9912430371,intra,intra,110,39,Streptomyces albidoflavus,1,22,1
118.0,GCF_004195845.1 | Streptomyces albidoflavus CGMCC 4.1681 - ST 105:410,GCF_000359525.1 | Streptomyces albidoflavus J1074 - ST 39:387,0.9049359605,0.9906197147,intra,intra,105,39,Streptomyces albidoflavus,1,22,1
118.0,GCF_004195855.1 | Streptomyces albidoflavus FXJ.2339 - ST 148:411,GCF_000359525.1 | Streptomyces albidoflavus J1074 - ST 39:387,0.9037456678,0.9917860717,intra,intra,148,39,Streptomyces albidoflavus,1,22,1
118.0,GCF_004195885.1 | Streptomyces albidoflavus NBRC 12790 - ST 107:412,GCF_000359525.1 | Streptomyces albidoflavus J1074 - ST 39:387,0.9238107798,0.9914316326,intra,intra,107,39,Streptomyces albidoflavus,1,22,1
118.0,GCF_004195895.1 | Streptomyces albidoflavus Ma24 - ST 559:413,GCF_000359525.1 | Streptomyces albidoflavus J1074 - ST 39:387,0.923463896,0.9889699976,intra,intra,559,39,Streptomyces albidoflavus,1,22,1
118.0,GCF_004195935.1 | Streptomyces albidoflavus CR33 - ST 144:414,GCF_000359525.1 | Streptomyces albidoflavus J1074 - ST 39:387,0.8990974353000001,0.9869007149,intra,intra,144,39,Streptomyces albidoflavus,1,22,1
118.0,GCF_004195945.1 | Streptomyces albidoflavus CR10 - ST 138:415,GCF_000359525.1 | Streptomyces albidoflavus J1074 - ST 39:387,0.8954000789000001,0.9866479903,intra,intra,138,39,Streptomyces albidoflavus,1,22,1
118.0,GCF_004195955.1 | Streptomyces albidoflavus CR25 - ST 144:416,GCF_000359525.1 | Streptomyces albidoflavus J1074 - ST 39:387,0.8983429089,0.9868947429,intra,intra,144,39,Streptomyces albidoflavus,1,22,1
118.0,GCF_004195965.1 | Streptomyces albidoflavus Ma1 - ST 152:417,GCF_000359525.1 | Streptomyces albidoflavus J1074 - ST 39:387,0.8754347383000001,0.986756627,intra,intra,152,39,Streptomyces albidoflavus,1,22,1
