	GCF_000411495.1 | Streptomyces sp. HPH0547 - ST 256:376	GCF_000719425.1 | Streptomyces sp. NRRL F-5639 - ST 294:377	GCF_000719735.1 | Streptomyces sp. NRRL F-5917 - ST 301:378	GCF_000720885.1 | Streptomyces albus NRRL B-2362 - ST 256:379	GCF_000813365.1 | Streptomyces albus NBRC 13014 - ST 156:380	GCF_001418125.1 | Streptomyces albus NRRL B-1685 - ST 156:381	GCF_001418545.1 | Streptomyces albus NRRL B-1335 - ST 156:382	GCF_001661615.1 | Streptomyces albus NRRL B-12378 - ST 156:383	GCF_004768505.1 | Streptomyces albus DSM 40763 - ST 256:384	GCF_011006355.1 | Streptomyces albus CAS922 - ST 256:385
GCF_000411495.1 | Streptomyces sp. HPH0547 - ST 256:376	7887973	7423896	7504476	7641421	7438125	7141003	6724943	6930312	7626456	7590268
GCF_000719425.1 | Streptomyces sp. NRRL F-5639 - ST 294:377	7423896	7940770	7454200	7471163	7295401	7052017	6639907	6839054	7508858	7558238
GCF_000719735.1 | Streptomyces sp. NRRL F-5917 - ST 301:378	7504476	7454200	8011469	7479960	7348351	7116431	6750778	6949363	7507506	7612547
GCF_000720885.1 | Streptomyces albus NRRL B-2362 - ST 256:379	7641421	7471163	7479960	7845903	7374361	7125431	6719705	6919613	7630574	7561968
GCF_000813365.1 | Streptomyces albus NBRC 13014 - ST 156:380	7438125	7295401	7348351	7374361	7594511	7183719	6827139	7017755	7471077	7467750
GCF_001418125.1 | Streptomyces albus NRRL B-1685 - ST 156:381	7141003	7052017	7116431	7125431	7183719	7375232	6729782	6882349	7245529	7229299
GCF_001418545.1 | Streptomyces albus NRRL B-1335 - ST 156:382	6724943	6639907	6750778	6719705	6827139	6729782	6963283	6701690	6819998	6796567
GCF_001661615.1 | Streptomyces albus NRRL B-12378 - ST 156:383	6930312	6839054	6949363	6919613	7017755	6882349	6701690	7195882	7023756	6999440
GCF_004768505.1 | Streptomyces albus DSM 40763 - ST 256:384	7626456	7508858	7507506	7630574	7471077	7245529	6819998	7023756	8106237	7689616
GCF_011006355.1 | Streptomyces albus CAS922 - ST 256:385	7590268	7558238	7612547	7561968	7467750	7229299	6796567	6999440	7689616	8069210
