	GCF_003865155.1 | Streptomyces rimosus NBRC 15454 - ST 520:216	GCF_000718755.1 | Streptomyces rimosus NRRL WC-3560 - ST 287:219	GCF_000719185.1 | Streptomyces rimosus NRRL B-2660 - ST 287:220	GCF_000331185.2 | Streptomyces rimosus ATCC 10970 - ST 249:652	GCF_000707925.2 | Streptomyces rimosus R6-500 - ST 249:653	GCF_000716515.1 | Streptomyces rimosus NRRL B-16073 - ST 269:654	GCF_000717285.1 | Streptomyces rimosus NRRL ISP-5260 - ST 249:656	GCF_000718675.1 | Streptomyces rimosus NRRL WC-3930 - ST 285:658	GCF_000718715.1 | Streptomyces rimosus NRRL WC-3874 - ST 249:659	GCF_000718835.1 | Streptomyces rimosus NRRL WC-3876 - ST 249:661	GCF_000718865.1 | Streptomyces rimosus NRRL WC-3882 - ST 249:662	GCF_000720565.1 | Streptomyces rimosus NRRL WC-3925 - ST 249:663	GCF_000720605.1 | Streptomyces rimosus NRRL WC-3558 - ST 249:664	GCF_000720715.1 | Streptomyces rimosus NRRL WC-3900 - ST 249:665	GCF_000721045.1 | Streptomyces rimosus NRRL B-2626 - ST 249:666	GCF_000721665.1 | Streptomyces rimosus NRRL WC-3929 - ST 285:667	GCF_001279015.1 | Streptomyces rimosus NRRL WC-3909 - ST 249:669	GCF_001279065.1 | Streptomyces rimosus NRRL WC-3869 - ST 323:671	GCF_001279075.1 | Streptomyces rimosus NRRL WC-3875 - ST 249:672	GCF_001279095.1 | Streptomyces rimosus NRRL WC-3899 - ST 249:673	GCF_001279105.1 | Streptomyces rimosus NRRL WC-3873 - ST 249:674	GCF_001279345.1 | Streptomyces rimosus NRRL WC-3896 - ST 352:675	GCF_001279375.1 | Streptomyces rimosus NRRL WC-3898 - ST 249:677	GCF_001507395.1 | Streptomyces rimosus NRRL WC-3897 - ST 249:678	GCF_006229535.1 | Streptomyces rimosus WT5260 - ST 249:684	GCF_008704655.1 | Streptomyces rimosus ATCC 10970 - ST 249:686
GCF_003865155.1 | Streptomyces rimosus NBRC 15454 - ST 520:216	1	605394	642310	642256	614555	638123	640232	626290	636679	565949	566573	625947	640296	629285	640365	639713	635211	639124	639049	633311	639105	628427	638946	639193	642292	641365
GCF_000718755.1 | Streptomyces rimosus NRRL WC-3560 - ST 287:219	605394	1	1842	287328	266110	289285	286537	277044	285265	255218	245354	278900	286966	284653	285984	283802	277433	286345	283345	281828	283994	284826	283944	284755	287262	286888
GCF_000719185.1 | Streptomyces rimosus NRRL B-2660 - ST 287:220	642310	1842	1	304517	281900	306757	303999	294359	303296	267242	261265	296139	304484	295950	303770	301464	292957	300005	300547	299248	301352	293724	301423	301767	304449	304084
GCF_000331185.2 | Streptomyces rimosus ATCC 10970 - ST 249:652	642256	287328	304517	1	530	117420	757	229347	1832	1945	1920	1735	1386	1088	493	234380	1564	183625	1586	1755	1986	118771	1699	1268	512	151
GCF_000707925.2 | Streptomyces rimosus R6-500 - ST 249:653	614555	266110	281900	530	1	107928	951	209838	1956	2187	1854	2145	1517	1289	898	215135	1913	165201	1473	2179	1839	108872	1741	1295	727	1233
GCF_000716515.1 | Streptomyces rimosus NRRL B-16073 - ST 269:654	638123	289285	306757	117420	107928	1	118136	219217	116812	102354	100561	114184	118318	114172	117178	223944	111523	177273	116070	115631	116621	114092	116480	116590	117857	115128
GCF_000717285.1 | Streptomyces rimosus NRRL ISP-5260 - ST 249:656	640232	286537	303999	757	951	118136	1	228615	1917	1666	1731	2346	2075	1244	1512	234180	1253	182938	1406	1879	1577	118297	1439	1137	958	831
GCF_000718675.1 | Streptomyces rimosus NRRL WC-3930 - ST 285:658	626290	277044	294359	229347	209838	219217	228615	1	226104	201117	195260	221419	228408	220654	227410	1808	217875	206654	225949	224384	225921	214153	225493	226087	229337	226004
GCF_000718715.1 | Streptomyces rimosus NRRL WC-3874 - ST 249:659	636679	285265	303296	1832	1956	116812	1917	226104	1	2432	2297	2666	2223	1896	2102	232112	2364	181180	2179	2196	2272	116904	2273	2052	1840	1944
GCF_000718835.1 | Streptomyces rimosus NRRL WC-3876 - ST 249:661	565949	255218	267242	1945	2187	102354	1666	201117	2432	1	1904	2351	2015	1583	1506	206892	1896	157402	2230	1731	1977	105910	2086	1719	1802	2706
GCF_000718865.1 | Streptomyces rimosus NRRL WC-3882 - ST 249:662	566573	245354	261265	1920	1854	100561	1731	195260	2297	1904	1	2523	1831	1602	1775	201097	2417	153288	1638	1874	2341	102447	2016	1730	1752	3181
GCF_000720565.1 | Streptomyces rimosus NRRL WC-3925 - ST 249:663	625947	278900	296139	1735	2145	114184	2346	221419	2666	2351	2523	1	2084	2371	2040	227187	2042	177208	1696	1792	2244	115711	2366	1948	1553	1793
GCF_000720605.1 | Streptomyces rimosus NRRL WC-3558 - ST 249:664	640296	286966	304484	1386	1517	118318	2075	228408	2223	2015	1831	2084	1	1702	2117	234029	1265	183099	1812	1545	1936	118925	1807	1569	1065	1360
GCF_000720715.1 | Streptomyces rimosus NRRL WC-3900 - ST 249:665	629285	284653	295950	1088	1289	114172	1244	220654	1896	1583	1602	2371	1702	1	1521	226497	1933	179688	1583	2040	1729	117981	1561	1276	1423	1314
GCF_000721045.1 | Streptomyces rimosus NRRL B-2626 - ST 249:666	640365	285984	303770	493	898	117178	1512	227410	2102	1506	1775	2040	2117	1521	1	233548	1424	182507	1309	1438	1743	118283	1342	1096	459	616
GCF_000721665.1 | Streptomyces rimosus NRRL WC-3929 - ST 285:667	639713	283802	301464	234380	215135	223944	234180	1808	232112	206892	201097	227187	234029	226497	233548	1	223406	210453	231493	230476	231666	218554	231288	231919	234597	231096
