	GCF_000010605.1 | Streptomyces griseus NBRC 13350 - ST 12:1	GCF_000177175.2 | Streptomyces sp. XylebKG-1 - ST 240:2	GCF_000239075.1 | Streptomyces sp. W007 - ST 243:3	GCF_000364805.1 | Streptomyces sp. PAMC 26508 - ST 252:4	GCF_000373405.1 | Streptomyces sp. ScaeMP-e10 - ST 253:5	GCF_000385945.1 | Streptomyces fulvissimus DSM 40593 - ST 174:6	GCF_000716025.1 | Streptomyces baarnensis NRRL B-2842 - ST 268:7	GCF_000716935.1 | Streptomyces alboviridis NRRL B-1579 - ST 38:8	GCF_000717795.1 | Streptomyces griseus NRRL WC-3480 - ST 275:9	GCF_000720395.1 | Streptomyces flavovirens NRRL B-2182 - ST 309:10	GCF_000720405.1 | Streptomyces sp. NRRL B-24051 - ST 310:11	GCF_000721595.1 | Streptomyces sp. NRRL S-325 - ST 318:12	GCF_001189025.1 | Streptomyces europaeiscabiei NCPPB 4064 - ST 349:13	GCF_001418625.1 | Streptomyces luridiscabiei NRRL B-24455 - ST 372:14	GCF_001426325.1 | Streptomyces sp. Root1295 - ST 376:15	GCF_001427565.1 | Streptomyces sp. Root63 - ST 376:16	GCF_001434355.1 | Streptomyces anulatus ATCC 11523 - ST 378:17	GCF_001723115.1 | Streptomyces griseus NRRL B-2165 - ST 12:18	GCF_001905485.1 | Streptomyces sp. TSRI0261 - ST 417:19	GCF_001905525.1 | Streptomyces sp. TSRI0395 - ST 419:20	GCF_001905575.1 | Streptomyces sp. CB00072 - ST 420:21	GCF_001905645.1 | Streptomyces sp. CB02115 - ST 421:22	GCF_002188345.1 | Streptomyces sp. CS057 - ST 441:23	GCF_002551015.1 | Streptomyces sp. wa1071 - ST 449:24	GCF_002551045.1 | Streptomyces sp. wa1063 - ST 450:25	GCF_002551055.1 | Streptomyces sp. wa1002 - ST 449:26	GCF_002551145.1 | Streptomyces sp. st115 - ST 453:27	GCF_002551225.1 | Streptomyces sp. rh206 - ST 455:28	GCF_002551305.1 | Streptomyces sp. or20 - ST 456:29	GCF_002551465.1 | Streptomyces sp. b84 - ST 463:30	GCF_002910875.1 | Streptomyces sp. SM13 - ST 480:31	GCF_002910905.1 | Streptomyces sp. SM11 - ST 481:32	GCF_002910935.1 | Streptomyces sp. B226SN101 - ST 482:33	GCF_002910985.1 | Streptomyces sp. B188M101 - ST 482:34	GCF_003116675.1 | Streptomyces sp. CS090A - ST 492:35	GCF_003367645.1 | Streptomyces sp. IB2014 011-12 - ST 503:36	GCF_003610995.1 | Streptomyces griseus ATCC 13273 - ST 509:37	GCF_004524875.1 | Streptomyces sp. S501 - ST 566:38	GCF_005234185.1 | Streptomyces sp. BPSDS2 - ST 574:39	GCF_009862355.1 | Streptomyces sp. SID7834 - ST 623:40	GCF_009865505.1 | Streptomyces sp. SID2119 - ST 637:41	GCF_009866455.1 | Streptomyces griseus CGMCC 4.18 - ST 12:42	GCF_009872615.1 | Streptomyces sp. SID5594 - ST 253:43	GCF_010548045.1 | Streptomyces anulatus SID10689 - ST 645:44	GCF_010548165.1 | Streptomyces cyaneofuscatus SID10855 - ST 646:45	GCF_010548505.1 | Streptomyces sp. SID14515 - ST 652:46	GCF_010548615.1 | Streptomyces anulatus SID505 - ST 653:47	GCF_010548705.1 | Streptomyces anulatus SID7903 - ST 655:48	GCF_010550525.1 | Streptomyces anulatus SID9598 - ST 655:49	GCF_013167895.1 | Streptomyces fulvorobeus NBRC 15897 - ST 51:50	GCF_013364315.1 | Streptomyces fulvissimus NA06532 - ST 681:51	GCF_013409565.1 | Streptomyces fulvorobeus DSM 41455 - ST 51:52	GCF_014495705.1 | Streptomyces sp. CB00271 - ST 417:53	GCF_014655335.1 | Streptomyces griseus JCM 4516 - ST 718:54	GCF_016653995.1 | Streptomyces sp. MBT58 - ST 739:55	GCF_016772455.1 | Streptomyces fulvissimus DF - ST 745:56	GCF_016901035.1 | Streptomyces sp. RHZ10 - ST 748:57	GCF_017358145.1 | Streptomyces sp. CA-256286 - ST 752:58	GCF_018070665.1 | Streptomyces sp. 404i - ST 768:59	GCF_018070745.1 | Streptomyces sp. C3-3 - ST 769:60	GCF_018530825.1 | Streptomyces sp. Tu10 - ST 772:61	GCF_018619185.1 | Streptomyces sp. McG3 - ST 776:62	GCF_019049185.1 | Streptomyces anulatus AC569_RSS891 - ST 782:63	GCF_900091905.1 | Streptomyces sp. OspMP-M43 - ST 793:64	GCF_900105705.1 | Streptomyces griseus DSM 40236 - ST 12:65	GCF_900460065.1 | Streptomyces griseus NCTC13033 - ST 12:66
GCF_000010605.1 | Streptomyces griseus NBRC 13350 - ST 12:1	1.0	0.9230944933	0.7098672362	0.33975100890000004	0.5652411809	0.5653041349	0.6408802367	0.5660292755	0.8948126061	0.3383641498	0.3403360828	0.3388839294	0.7138182402000001	0.5525756182	0.7189207867	0.7205189746	0.7184526106	0.9276103277000001	0.6938738901	0.7131989980000001	0.7099918569	0.720957897	0.706753941	0.7021400482	0.7033911702	0.7040456339000001	0.6400372622	0.7001980709000001	0.7198687235	0.7097082131	0.6183075006000001	0.5805241303	0.6397888398	0.6358670895	0.5656765929	0.5510417884000001	0.527698393	0.3386074235	0.6486631237	0.2916946771	0.5210576872	0.9941395488	0.5652411809	0.7035229289	0.5574268169000001	0.6503167766	0.6861039917	0.7053734006	0.6849963298	0.3167821778	0.5727438176	0.3168274625	0.6686490141	0.6390253184	0.5518498925	0.5697840457000001	0.6041262454	0.5721586266	0.6898729208000001	0.6885022096	0.7161488236	0.7531123884	0.7032541459	0.8778778761	0.9966030609000001	0.9870497403
GCF_000177175.2 | Streptomyces sp. XylebKG-1 - ST 240:2	0.9034569853000001	1.0	0.6957000157000001	0.33274558870000004	0.5537283019	0.5533862143	0.6229122152000001	0.5525677009000001	0.902661377	0.32991726800000004	0.33164625880000004	0.3310041146	0.6986508786000001	0.5378391543000001	0.7006582809	0.7026038394	0.7012973329000001	0.8538514282	0.6787560886	0.6969355163000001	0.6937444935	0.7016743508000001	0.6910476480000001	0.6872373860000001	0.6888827732	0.6889946646	0.6268424999000001	0.6865485153	0.7040761787	0.6965440683	0.6075294992	0.5660963642	0.6261929115	0.6229204610000001	0.5507841959	0.5389262299	0.5149955627	0.3300900869	0.6315950774	0.286394616	0.5084388657	0.8998473719000001	0.5537283019	0.6869367566	0.5444091362	0.6354757725	0.6684127218	0.6846006663	0.6636144487	0.3087683096	0.5618788497	0.30889360050000003	0.6539168909	0.6221918501	0.5410785069	0.5544396195	0.5919109752	0.5591679176000001	0.6724726493000001	0.6782018999	0.6979297118000001	0.7376208	0.6885957724	0.8577220451	0.9119196150000001	0.9032799290000001
GCF_000239075.1 | Streptomyces sp. W007 - ST 243:3	0.6697849083	0.6706855031	1.0	0.31732356980000004	0.5343080557000001	0.5360894823	0.6372102518	0.5438364519000001	0.6582718253000001	0.31881352020000003	0.3173091064	0.31810591800000004	0.8002330263	0.5185811564	0.8007909158000001	0.8024005482000001	0.8021872407	0.6334252587	0.7573758897	0.7939243364	0.8705356137	0.7924614357	0.7554110762	0.8541006705	0.8548091561000001	0.8559290203000001	0.6439912654000001	0.7720109683	0.8018980832	0.8554264449000001	0.6098527958000001	0.5691904518	0.6392490385	0.635560652	0.5321829304	0.5230883256000001	0.4955452744	0.3167803644	0.6455781538	0.2753085119	0.4970215343	0.6707934817	0.5343080557000001	0.7510562695	0.528356424	0.6334888535000001	0.7346863563	0.748560285	0.7272672972	0.29409370160000003	0.5378599784	0.294215702	0.725014099	0.6362460623	0.5223196680000001	0.5315870606	0.5813137576	0.5352211265	0.7521749192	0.7556261502	0.7943277657000001	0.6751464115	0.7673173207	0.6460175760000001	0.6729149636	0.6665477577000001
GCF_000364805.1 | Streptomyces sp. PAMC 26508 - ST 252:4	0.3805235612	0.3807779436	0.3766733571	1.0	0.37703048850000004	0.3832254403	0.3842361549	0.3835631752	0.3740380551	0.9287520912	0.9207923206	0.9078097754000001	0.3847691653	0.3691572158	0.3868987169	0.3883395618	0.3862695103	0.3598449329	0.377147916	0.3837204441	0.3809563127	0.3851546051	0.3756895093	0.3721394267	0.3767989101	0.3757074642	0.38283488930000004	0.3824038416	0.3853956197	0.3811501466	0.3738782962	0.3456841818	0.38406224180000004	0.3824649143	0.37700978150000003	0.3762859515	0.3677406165	0.9114243383	0.3788223052	0.8492049731	0.3536625626	0.3787209978	0.37703048850000004	0.3755272603	0.3793914874	0.3821026717	0.3673731315	0.3749395989	0.36401976610000003	0.3689044061	0.3858847259	0.3690430648	0.3769341614	0.3847601224	0.3727437323	0.37966565950000003	0.3622685772	0.38258719080000003	0.3864727804	0.3865683212	0.386131638	0.3748603092	0.3816404323	0.3641997079	0.38048856880000004	0.3787873129
GCF_000373405.1 | Streptomyces sp. ScaeMP-e10 - ST 253:5	0.5981627326	0.5987161294000001	0.5992651921000001	0.35623880890000004	1.0	0.7194615124	0.5990252093	0.7263292544000001	0.5897168996000001	0.3551692882	0.3541583391	0.3567013143	0.6048862125000001	0.6997346321	0.6067737550000001	0.6083884996000001	0.605719713	0.5641446187	0.5894013805	0.606957395	0.6031154419	0.6085587661	0.5897476095	0.5889344171	0.5900300660000001	0.5915551576	0.6011522392	0.5933374445	0.6097060521000001	0.5996073347	0.5752927963000001	0.5319215462	0.5962356883000001	0.5929278145	0.9286315039	0.8182061227	0.6750344867	0.3534152346	0.6138058195	0.3071729832	0.781716112	0.5980075734	0.9999040317000001	0.5817637866	0.8566868262	0.6132625768000001	0.5694421949	0.5840649217	0.5654897853	0.33343611230000003	0.7229272696	0.3334440375	0.574426357	0.6001713809	0.7042725105000001	0.7158720488	0.5673827762	0.7198401849	0.5952003447	0.5930330701000001	0.6040148200000001	0.5837559655	0.5939261329000001	0.5701002281	0.5988122215	0.5942578737
GCF_000385945.1 | Streptomyces fulvissimus DSM 40593 - ST 174:6	0.6110797978	0.6111992044	0.6141788049	0.36987016300000003	0.7349161206	1.0	0.6241739249	0.9218711223	0.5986661874	0.3668106208	0.3671607454	0.3685668092	0.6241994759	0.8383330226	0.6221952405	0.6242338812	0.6277585274	0.5731378319	0.6051441241000001	0.6235171884	0.6156357177	0.6218519464000001	0.6019559415	0.6056741175	0.6065832018	0.6080100099	0.6233413671	0.6168994801000001	0.6222314166	0.6135353498	0.6090877054	0.556380552	0.6264778153	0.6222568412	0.7306100187	0.7277548845	0.6894629206	0.3690923755	0.6372698228	0.3184422038	0.6955974367000001	0.6075556575000001	0.7351962962	0.5971896686	0.7413681269	0.6391311244	0.5858226371	0.5980654859	0.5804628728	0.3535858295	0.8707547082	0.3537582355	0.5961776214	0.6253173952000001	0.8359305964	0.8634061402000001	0.5799941005	0.8668894241	0.6207292204	0.6195615904	0.6226766617	0.6062065143	0.6082590689	0.5800750542	0.6114520581	0.6076034708
GCF_000716025.1 | Streptomyces baarnensis NRRL B-2842 - ST 268:7	0.6657191036	0.6611190449000001	0.701517758	0.3563621504	0.5879950685	0.5997965983	1.0	0.6029262669000001	0.6535140279	0.35649075020000004	0.3562500813	0.3578621986	0.7124350118	0.579352744	0.713071569	0.7140900362	0.7142881626	0.6276028559	0.6944668873000001	0.712068174	0.7001217566	0.711066116	0.6860967132	0.6919009674000001	0.6942938001000001	0.6944736941	0.9087944929	0.7029447547000001	0.7124607804	0.7007369210000001	0.7889837803	0.626873313	0.9214942770000001	0.9147515354	0.5861482382000001	0.5853157425000001	0.5658295804	0.3536968026	0.8445505927	0.3080280474	0.5541623633	0.665476733	0.5880706726	0.6820015731	0.5929974575	0.7726524477000001	0.6665152559	0.683716157	0.6632470203	0.3322206244	0.5989149963	0.33213298690000004	0.6752205433	0.9330816358	0.58066755	0.5978629813	0.6704854426	0.5977481166	0.710245046	0.7100784009000001	0.7102338634	0.675844824	0.70025534	0.6355234167	0.6671300557000001	0.6618064100000001
GCF_000716935.1 | Streptomyces alboviridis NRRL B-1579 - ST 38:8	0.5643679884	0.5629212638000001	0.5746899022	0.3414598035	0.6843392639	0.85031125	0.5787267306	1.0	0.5550868997	0.3405559506	0.3400199625	0.3422467517	0.5802378579	0.7790499103	0.5810439402	0.5823154245000001	0.5801117361	0.5307832089	0.5644047399000001	0.5801145363	0.5739562727	0.575651624	0.5629640821	0.5642366165	0.5678717455	0.5654779996	0.5849821814	0.5718523384	0.5805403867	0.570628806	0.5631140048000001	0.5207374562	0.5743731395	0.5709580526	0.6781266316	0.6830517957000001	0.6333977554	0.340140484	0.5880504044	0.2978946073	0.6463329905	0.56365851	0.6843858158	0.5552557232	0.6897250465	0.5875093993	0.5506694893	0.5569369572	0.5392853997	0.326552006	0.8054622023	0.3267112623	0.5527855575	0.5804162484000001	0.7786629114	0.8027227591	0.5353850767	0.8101743245	0.5752321906	0.5737468477000001	0.5798521424	0.5624027763	0.5653064927	0.5400339630000001	0.5641064113	0.5612943986
GCF_000717795.1 | Streptomyces griseus NRRL WC-3480 - ST 275:9	0.9180422986000001	0.9462243899	0.7157768353	0.3426301613	0.5717268848	0.5681978206	0.6454630288000001	0.5711735627	1.0	0.3436202345	0.3453303828	0.3436974282	0.7168646313	0.5568008738	0.7223659184	0.7241539808	0.7190631533	0.8703539521	0.6953542192000001	0.7161755298	0.7127082926	0.7213207411	0.7057495678	0.7051347788	0.7067725354000001	0.7078873432	0.6463588608	0.7045953828	0.7196425268000001	0.7153783810000001	0.6212342673	0.5853327982000001	0.6399473354	0.6361357876	0.5729809535	0.5626972538	0.535636333	0.34153636270000004	0.6515332449	0.2972425014	0.5277534438	0.9204578755	0.5712778884	0.7029703517	0.5644746315	0.6524973868	0.6838464639	0.7032242628	0.6824045129	0.31779633500000004	0.5751813964	0.3180554083	0.6821048618000001	0.6423654334000001	0.5585730892	0.5704700549	0.6082725557	0.5722539154	0.6883243032	0.6952078752	0.7166554998	0.7535966237	0.7062292977	0.8796969202	0.9274733853	0.9180575453
GCF_000720395.1 | Streptomyces flavovirens NRRL B-2182 - ST 309:10	0.37697424700000004	0.3755528543	0.3764487372	0.9238603893	0.37391870250000003	0.3780536867	0.38235032620000003	0.3805330086	0.37314314860000003	1.0	0.926182358	0.9034031814000001	0.3843027041	0.3671051956	0.3862116698	0.3874411621	0.3821413477	0.3579529025	0.3758221928	0.3823799195	0.3810486105	0.3839161656	0.3760670223	0.371877675	0.3733137991	0.3753578251	0.3803494517	0.3844476723	0.38614322710000004	0.37897707700000005	0.3738567782	0.3426779179	0.38340317100000004	0.38180617380000004	0.37282049	0.3747834276	0.3613992876	0.8836367889000001	0.3784999334	0.8496303962	0.3538714992	0.3763480938	0.3741259863	0.3720049133	0.3750806647	0.3780027132	0.36329404330000004	0.37192213020000003	0.3625341334	0.3621246503	0.3802932634	0.36249489290000003	0.37202746680000004	0.3825570884	0.3688062257	0.3740169994	0.3590253024	0.37502943040000003	0.3841427436	0.3853024895	0.3820277979	0.3707589947	0.3794762527	0.3611191287	0.376742715	0.3740538932
