	GCF_000715745.1 | Streptomyces californicus NRRL B-3320 - ST 2:603	GCF_000717645.1 | Streptomyces californicus NRRL B-2098 - ST 2:604	GCF_000717665.1 | Streptomyces californicus NRRL 2423 - ST 49:605	GCF_000717965.1 | Streptomyces purpeochromogenes NRRL B-3012 - ST 2:606	GCF_000718205.1 | Streptomyces griseus NRRL B-2931 - ST 280:607	GCF_000718235.1 | Streptomyces griseus NRRL B-2932 - ST 281:608	GCF_000718245.1 | Streptomyces californicus NRRL B-2988 - ST 2:609	GCF_000718615.1 | Streptomyces purpeochromogenes NRRL ISP-5373 - ST 2:610	GCF_000718915.1 | Streptomyces sp. NRRL WC-3540 - ST 280:611	GCF_000719035.1 | Streptomyces griseus NRRL B-1691 - ST 280:612	GCF_000719585.1 | Streptomyces sp. NRRL F-5681 - ST 298:613	GCF_000719655.1 | Streptomyces sp. NRRL B-1381 - ST 300:614	GCF_000719925.1 | Streptomyces sp. NRRL F-2202 - ST 305:615	GCF_000720065.1 | Streptomyces sp. NRRL F-3273 - ST 2:616	GCF_000721205.1 | Streptomyces griseus NRRL B-2930 - ST 280:617	GCF_000721575.1 | Streptomyces griseus NRRL F-2227 - ST 317:618	GCF_001270675.1 | Streptomyces griseus NRRL B-2929 - ST 280:619	GCF_001279425.1 | Streptomyces sp. NRRL F-2295 - ST 354:620	GCF_001279735.1 | Streptomyces sp. MMG1522 - ST 360:621	GCF_002082175.1 | Streptomyces violaceoruber S21 - ST 434:622	GCF_002551425.1 | Streptomyces sp. b94 - ST 461:623	GCF_013401535.1 | Streptomyces sp. CB04723 - ST 684:624	GCF_016906185.1 | Streptomyces californicus FDAARGOS_1209 - ST 2:625	GCF_016906205.1 | Streptomyces californicus FDAARGOS_1212 - ST 2:626	GCF_016906225.1 | Streptomyces californicus FDAARGOS_1211 - ST 2:627	GCF_016906245.1 | Streptomyces californicus FDAARGOS_1213 - ST 2:628	GCF_016906265.1 | Streptomyces californicus FDAARGOS_1210 - ST 128:629	GCF_017311125.1 | Streptomyces sp. M54 - ST 751:630
GCF_000715745.1 | Streptomyces californicus NRRL B-3320 - ST 2:603	1.0	0.9490477004000001	0.9027594608	0.9497731101	0.9225016961	0.9217479929	0.9499928518	0.9501718361	0.9225273721	0.9223149841	0.9240406364	0.9224553297	0.9229697224000001	0.9333005777000001	0.9223164798000001	0.9055527865	0.9224707851	0.9194263082	0.9152245411000001	0.923103462	0.9092085021	0.8429945558	0.9491122644000001	0.9561746632	0.9494977785000001	0.9559875773000001	0.9021290274	0.9000495198
GCF_000717645.1 | Streptomyces californicus NRRL B-2098 - ST 2:604	0.9779996134000001	1.0	0.9386865017	1.0206370909	0.9596972338	0.9616052569	1.0224408182	1.0187194345	0.9603950655000001	0.9603068250000001	0.9618629139	0.9604016161000001	0.9624278069000001	0.9756938018	0.9602986047000001	0.9455508895	0.9606022443000001	0.9581494937	0.9550194623	0.96724982	0.9464787629	0.8781303043	1.0026204973	1.0475500431	1.0231241358	1.0473526259	0.9401331570000001	0.9358011546
GCF_000717665.1 | Streptomyces californicus NRRL 2423 - ST 49:605	0.9172456266000001	0.9255151498	1.0	0.9263024762000001	0.9421020665000001	0.941349693	0.9262676499	0.9268766660000001	0.9435219641	0.9422060386000001	0.940133054	0.9352680177	0.9375771876000001	0.9315403432	0.9421166302	0.9597076824	0.9420221561000001	0.9448618247	0.9328710857	0.9409740761000001	0.9434906838	0.8739661038000001	0.9263580715	0.9280094687	0.9268510845000001	0.9279182872	0.9610023322000001	0.9380847643
GCF_000717965.1 | Streptomyces purpeochromogenes NRRL B-3012 - ST 2:606	0.9661420224	1.0074924668	0.9273855533	1.0	0.9488974559000001	0.9492390253	1.0166113825	1.0074032074	0.9492558883000001	0.9490792712	0.9500450228	0.9478127763	0.9502292471	0.9716398453	0.9492634956	0.9368016623000001	0.9491552178	0.9453190910000001	0.9444923002000001	0.9551716076000001	0.9349608133	0.86759581	1.0158127388	1.0334019177	1.0114410554	1.0324588614	0.9337023061	0.9280245697
GCF_000718205.1 | Streptomyces griseus NRRL B-2931 - ST 280:607	0.9216209755	0.9303980216000001	0.9263381117	0.9319301383	1.0	0.9543349787000001	0.9321514136000001	0.9325957075	1.0044293662	1.0062960731	0.957307564	0.9302810956	0.9583880399	0.9371610516000001	1.0131016895	0.9240258657	1.0169255061	0.9326160045	0.9444283950000001	0.9594616672	0.9342219627	0.865921362	0.932204958	0.9335426960000001	0.9323817790000001	0.9333745916	0.925735426	0.9225384523
GCF_000718235.1 | Streptomyces griseus NRRL B-2932 - ST 281:608	0.9436364984000001	0.9552976661	0.9484837917000001	0.9553159130000001	0.9779309581000001	1.0	0.9535950907	0.9545463535	0.9781161066	0.9778740482	0.9716771229000001	0.9509358933000001	0.9660866835	0.9537036789000001	0.9793889231	0.9474194747	0.9776059593	0.9518135305000001	0.9581685531	0.9679320440000001	0.9577874099	0.8872476043	0.9544731108000001	0.9547332885	0.955001505	0.9547330333	0.9463651106000001	0.944413076
GCF_000718245.1 | Streptomyces californicus NRRL B-2988 - ST 2:609	0.9792505611000001	1.0227300788	0.9397154924000001	1.0301663437	0.9617778633	0.9601630045	1.0	1.0291505848	0.9619340944	0.9616173924	0.9635785035000001	0.9617930239	0.9640559333000001	0.9762145906	0.9617923815	0.9467646486	0.9618149939	0.9581364974000001	0.9551065654	0.9688727581000001	0.9479027199000001	0.8793246038	1.0162689734	1.0426116387	1.0326048846	1.0424209752	0.9426759170000001	0.9375337821
GCF_000718615.1 | Streptomyces purpeochromogenes NRRL ISP-5373 - ST 2:610	0.9532886881	0.9918048685	0.9152308148	0.9935838254	0.9365490362000001	0.9354633548	1.0016770414	1.0	0.9376019546000001	0.9370709936	0.9391346886	0.9372206781	0.937922582	0.9674828285	0.9373182168	0.9281659549	0.9373889950000001	0.9339952714	0.9348832492	0.9442824843000001	0.9225982425	0.8573193023000001	1.0129130063	1.0335223209	1.0065390985	1.032641596	0.9251876464000001	0.9180450582
GCF_000718915.1 | Streptomyces sp. NRRL WC-3540 - ST 280:611	0.9215801827000001	0.9310074248	0.9276673674	0.9322149505	1.004356954	0.9544468460000001	0.9322356197	0.9335768722000001	1.0	1.0041774064	0.9574659093000001	0.9326182477	0.9559573115000001	0.9361083431	1.0094570007	0.9231347258	1.0142244735000001	0.9342059111000001	0.9395026882	0.959579017	0.9343422527	0.8639343399	0.9315693514000001	0.9327321769	0.9318110308	0.9325673219	0.9259103664	0.9219503595
GCF_000719035.1 | Streptomyces griseus NRRL B-1691 - ST 280:612	0.9150767667	0.924565403	0.9200481295	0.9256773777	0.9993528733	0.9476951443	0.9255653393000001	0.9266771904000001	0.9973207247	1.0	0.9497086198	0.92600867	0.9492650419	0.9295284804	0.9947904629000001	0.9165948496	1.0122010532	0.9276516522	0.9341302156	0.9512800013	0.9278783258000001	0.8586273568	0.9252293479	0.9264261551	0.9254693771	0.9262718241000001	0.9218079729	0.9154718689
