	GCF_000715745.1 | Streptomyces californicus NRRL B-3320 - ST 2:603	GCF_000717645.1 | Streptomyces californicus NRRL B-2098 - ST 2:604	GCF_000717665.1 | Streptomyces californicus NRRL 2423 - ST 49:605	GCF_000717965.1 | Streptomyces purpeochromogenes NRRL B-3012 - ST 2:606	GCF_000718205.1 | Streptomyces griseus NRRL B-2931 - ST 280:607	GCF_000718235.1 | Streptomyces griseus NRRL B-2932 - ST 281:608	GCF_000718245.1 | Streptomyces californicus NRRL B-2988 - ST 2:609	GCF_000718615.1 | Streptomyces purpeochromogenes NRRL ISP-5373 - ST 2:610	GCF_000718915.1 | Streptomyces sp. NRRL WC-3540 - ST 280:611	GCF_000719035.1 | Streptomyces griseus NRRL B-1691 - ST 280:612	GCF_000719585.1 | Streptomyces sp. NRRL F-5681 - ST 298:613	GCF_000719655.1 | Streptomyces sp. NRRL B-1381 - ST 300:614	GCF_000719925.1 | Streptomyces sp. NRRL F-2202 - ST 305:615	GCF_000720065.1 | Streptomyces sp. NRRL F-3273 - ST 2:616	GCF_000721205.1 | Streptomyces griseus NRRL B-2930 - ST 280:617	GCF_000721575.1 | Streptomyces griseus NRRL F-2227 - ST 317:618	GCF_001270675.1 | Streptomyces griseus NRRL B-2929 - ST 280:619	GCF_001279425.1 | Streptomyces sp. NRRL F-2295 - ST 354:620	GCF_001279735.1 | Streptomyces sp. MMG1522 - ST 360:621	GCF_002082175.1 | Streptomyces violaceoruber S21 - ST 434:622	GCF_002551425.1 | Streptomyces sp. b94 - ST 461:623	GCF_013401535.1 | Streptomyces sp. CB04723 - ST 684:624	GCF_016906185.1 | Streptomyces californicus FDAARGOS_1209 - ST 2:625	GCF_016906205.1 | Streptomyces californicus FDAARGOS_1212 - ST 2:626	GCF_016906225.1 | Streptomyces californicus FDAARGOS_1211 - ST 2:627	GCF_016906245.1 | Streptomyces californicus FDAARGOS_1213 - ST 2:628	GCF_016906265.1 | Streptomyces californicus FDAARGOS_1210 - ST 128:629	GCF_017311125.1 | Streptomyces sp. M54 - ST 751:630
GCF_000715745.1 | Streptomyces californicus NRRL B-3320 - ST 2:603	1	27104	117776	26956	116228	113876	27459	27089	116059	115915	115177	138311	114832	72737	116124	117426	116215	113692	113953	115124	95449	162058	26903	25228	27016	25172	117103	144098
GCF_000717645.1 | Streptomyces californicus NRRL B-2098 - ST 2:604	27104	1	100684	1554	97374	95622	1526	1346	98072	97841	96091	121516	96409	52439	98279	101036	98246	95569	97133	99990	78902	148211	789	3461	1198	3295	100626	127082
GCF_000717665.1 | Streptomyces californicus NRRL 2423 - ST 49:605	117776	100684	1	100357	99310	97843	100639	100742	99556	99544	99469	124915	99267	101439	99353	86991	99219	99923	100418	102069	98062	148612	100742	101325	100919	101232	86817	130533
GCF_000717965.1 | Streptomyces purpeochromogenes NRRL B-3012 - ST 2:606	26956	1554	100357	1	98116	95587	1661	1498	98636	98257	96081	120911	96265	53341	99045	101148	98446	95255	97204	99677	78397	147897	967	3956	612	3773	100528	126765
GCF_000718205.1 | Streptomyces griseus NRRL B-2931 - ST 280:607	116228	97374	99310	98116	1	82567	98702	98612	1279	1469	76918	125036	78111	97359	1854	97641	1532	83159	72670	79864	91650	150028	98071	98336	98285	98380	98665	130782
GCF_000718235.1 | Streptomyces griseus NRRL B-2932 - ST 281:608	113876	95622	97843	95587	82567	1	95550	95739	82971	82765	78914	123771	80557	95139	83671	96870	82529	88649	82560	81632	92064	149974	95590	95672	95784	95716	98159	129998
GCF_000718245.1 | Streptomyces californicus NRRL B-2988 - ST 2:609	27459	1526	100639	1661	98702	95550	1	1598	98719	98357	97016	121603	97520	52373	99091	101607	98625	95913	97583	100902	79225	148145	800	3152	1000	3022	100897	127420
GCF_000718615.1 | Streptomyces purpeochromogenes NRRL ISP-5373 - ST 2:610	27089	1346	100742	1498	98612	95739	1598	1	99491	98914	97334	121762	97237	55247	99870	103172	99264	95621	98868	101079	78879	148691	1344	4718	891	4580	102720	129114
GCF_000718915.1 | Streptomyces sp. NRRL WC-3540 - ST 280:611	116059	98072	99556	98636	1279	82971	98719	99491	1	1370	77023	124894	77877	97697	2036	97995	1337	83059	72785	80220	91894	149387	98472	98376	98629	98419	98969	130563
GCF_000719035.1 | Streptomyces griseus NRRL B-1691 - ST 280:612	115915	97841	99544	98257	1469	82765	98357	98914	1370	1	76560	124631	77106	97210	1669	97687	1492	82728	72237	79491	91557	149140	98204	98059	98358	98103	98572	129993
GCF_000719585.1 | Streptomyces sp. NRRL F-5681 - ST 298:613	115177	96091	99469	96081	76918	78914	97016	97334	77023	76560	1	122651	36246	96656	77170	97518	76827	86982	73364	76686	89766	150425	96089	96849	96313	96891	97947	129896
