	GCF_000403765.2 | Streptomyces albulus CCRC 11814 - ST 255:450	GCF_000695235.1 | Streptomyces albulus NK660 - ST 264:451	GCF_000816025.1 | Streptomyces sp. 769 - ST 333:452	GCF_000935185.3 | Streptomyces albulus CK-15 - ST 339:453	GCF_003851665.1 | Streptomyces albulus NBRC 14147 - ST 255:454
GCF_000403765.2 | Streptomyces albulus CCRC 11814 - ST 255:450	1	45760	585814	41517	1292
GCF_000695235.1 | Streptomyces albulus NK660 - ST 264:451	45760	1	598705	43937	48166
GCF_000816025.1 | Streptomyces sp. 769 - ST 333:452	585814	598705	1	592909	603413
GCF_000935185.3 | Streptomyces albulus CK-15 - ST 339:453	41517	43937	592909	1	44336
GCF_003851665.1 | Streptomyces albulus NBRC 14147 - ST 255:454	1292	48166	603413	44336	1
