	GCF_000010605.1 | Streptomyces griseus NBRC 13350 - ST 12:1	GCF_000177175.2 | Streptomyces sp. XylebKG-1 - ST 240:2	GCF_000239075.1 | Streptomyces sp. W007 - ST 243:3	GCF_000364805.1 | Streptomyces sp. PAMC 26508 - ST 252:4	GCF_000373405.1 | Streptomyces sp. ScaeMP-e10 - ST 253:5	GCF_000385945.1 | Streptomyces fulvissimus DSM 40593 - ST 174:6	GCF_000716025.1 | Streptomyces baarnensis NRRL B-2842 - ST 268:7	GCF_000716935.1 | Streptomyces alboviridis NRRL B-1579 - ST 38:8	GCF_000717795.1 | Streptomyces griseus NRRL WC-3480 - ST 275:9	GCF_000720395.1 | Streptomyces flavovirens NRRL B-2182 - ST 309:10	GCF_000720405.1 | Streptomyces sp. NRRL B-24051 - ST 310:11	GCF_000721595.1 | Streptomyces sp. NRRL S-325 - ST 318:12	GCF_001189025.1 | Streptomyces europaeiscabiei NCPPB 4064 - ST 349:13	GCF_001418625.1 | Streptomyces luridiscabiei NRRL B-24455 - ST 372:14	GCF_001426325.1 | Streptomyces sp. Root1295 - ST 376:15	GCF_001427565.1 | Streptomyces sp. Root63 - ST 376:16	GCF_001434355.1 | Streptomyces anulatus ATCC 11523 - ST 378:17	GCF_001723115.1 | Streptomyces griseus NRRL B-2165 - ST 12:18	GCF_001905485.1 | Streptomyces sp. TSRI0261 - ST 417:19	GCF_001905525.1 | Streptomyces sp. TSRI0395 - ST 419:20	GCF_001905575.1 | Streptomyces sp. CB00072 - ST 420:21	GCF_001905645.1 | Streptomyces sp. CB02115 - ST 421:22	GCF_002188345.1 | Streptomyces sp. CS057 - ST 441:23	GCF_002551015.1 | Streptomyces sp. wa1071 - ST 449:24	GCF_002551045.1 | Streptomyces sp. wa1063 - ST 450:25	GCF_002551055.1 | Streptomyces sp. wa1002 - ST 449:26	GCF_002551145.1 | Streptomyces sp. st115 - ST 453:27	GCF_002551225.1 | Streptomyces sp. rh206 - ST 455:28	GCF_002551305.1 | Streptomyces sp. or20 - ST 456:29	GCF_002551465.1 | Streptomyces sp. b84 - ST 463:30	GCF_002910875.1 | Streptomyces sp. SM13 - ST 480:31	GCF_002910905.1 | Streptomyces sp. SM11 - ST 481:32	GCF_002910935.1 | Streptomyces sp. B226SN101 - ST 482:33	GCF_002910985.1 | Streptomyces sp. B188M101 - ST 482:34	GCF_003116675.1 | Streptomyces sp. CS090A - ST 492:35	GCF_003367645.1 | Streptomyces sp. IB2014 011-12 - ST 503:36	GCF_003610995.1 | Streptomyces griseus ATCC 13273 - ST 509:37	GCF_004524875.1 | Streptomyces sp. S501 - ST 566:38	GCF_005234185.1 | Streptomyces sp. BPSDS2 - ST 574:39	GCF_009862355.1 | Streptomyces sp. SID7834 - ST 623:40	GCF_009865505.1 | Streptomyces sp. SID2119 - ST 637:41	GCF_009866455.1 | Streptomyces griseus CGMCC 4.18 - ST 12:42	GCF_009872615.1 | Streptomyces sp. SID5594 - ST 253:43	GCF_010548045.1 | Streptomyces anulatus SID10689 - ST 645:44	GCF_010548165.1 | Streptomyces cyaneofuscatus SID10855 - ST 646:45	GCF_010548505.1 | Streptomyces sp. SID14515 - ST 652:46	GCF_010548615.1 | Streptomyces anulatus SID505 - ST 653:47	GCF_010548705.1 | Streptomyces anulatus SID7903 - ST 655:48	GCF_010550525.1 | Streptomyces anulatus SID9598 - ST 655:49	GCF_013167895.1 | Streptomyces fulvorobeus NBRC 15897 - ST 51:50	GCF_013364315.1 | Streptomyces fulvissimus NA06532 - ST 681:51	GCF_013409565.1 | Streptomyces fulvorobeus DSM 41455 - ST 51:52	GCF_014495705.1 | Streptomyces sp. CB00271 - ST 417:53	GCF_014655335.1 | Streptomyces griseus JCM 4516 - ST 718:54	GCF_016653995.1 | Streptomyces sp. MBT58 - ST 739:55	GCF_016772455.1 | Streptomyces fulvissimus DF - ST 745:56	GCF_016901035.1 | Streptomyces sp. RHZ10 - ST 748:57	GCF_017358145.1 | Streptomyces sp. CA-256286 - ST 752:58	GCF_018070665.1 | Streptomyces sp. 404i - ST 768:59	GCF_018070745.1 | Streptomyces sp. C3-3 - ST 769:60	GCF_018530825.1 | Streptomyces sp. Tu10 - ST 772:61	GCF_018619185.1 | Streptomyces sp. McG3 - ST 776:62	GCF_019049185.1 | Streptomyces anulatus AC569_RSS891 - ST 782:63	GCF_900091905.1 | Streptomyces sp. OspMP-M43 - ST 793:64	GCF_900105705.1 | Streptomyces griseus DSM 40236 - ST 12:65	GCF_900460065.1 | Streptomyces griseus NCTC13033 - ST 12:66
GCF_000010605.1 | Streptomyces griseus NBRC 13350 - ST 12:1	1	70901	460636	449887	597097	580588	503423	582487	69095	448994	452641	448987	451766	566485	461490	459799	454790	3922	438974	452839	461587	463503	451824	444479	446603	449487	500104	447189	462236	457511	482677	443445	493317	488567	597370	574533	552901	446672	506150	386415	532101	1025	597097	444814	583114	497457	425978	449187	426512	408779	592973	408738	415722	501762	566875	590093	476543	592430	440082	439277	455421	421454	457274	62161	455	442
GCF_000177175.2 | Streptomyces sp. XylebKG-1 - ST 240:2	70901	1	464125	447957	598789	580767	498570	581318	47929	446967	451220	449274	454111	565099	460533	458973	453705	67214	441086	453203	462423	461554	454427	446999	449775	451960	501821	450079	464437	462711	486752	442467	495062	490844	595550	574781	551867	445269	506808	388631	530492	70508	598789	445766	583950	498410	426366	446247	422529	407137	594222	407271	417551	499496	567625	587153	478478	591442	441586	446288	453590	423998	460116	54376	72474	71340
GCF_000239075.1 | Streptomyces sp. W007 - ST 243:3	460636	464125	1	445694	589762	566470	495577	573457	453279	447395	444744	444953	226878	543899	232423	228242	226766	424847	263357	223990	120309	228435	308166	105112	111955	106381	498977	226411	277332	116746	469570	403488	488534	484200	587911	567356	543784	444010	498763	385085	529703	461995	589762	302331	575064	466747	291331	302572	287361	401543	572635	401556	250117	496105	549259	566228	464814	568979	237685	239794	220728	372441	303272	433249	462874	458405
GCF_000364805.1 | Streptomyces sp. PAMC 26508 - ST 252:4	449887	447957	445694	1	448255	452593	453686	454409	442372	47751	45275	59572	452634	434553	456640	457886	453973	421170	444070	452601	451738	455413	443646	435422	441390	441593	448780	448462	456882	451262	437604	406090	448253	445823	449162	448997	434595	42049	446076	43713	412602	449586	448255	440510	453215	449267	428584	440247	423978	428732	456678	428801	440383	454582	437023	448914	426345	451902	456573	456807	455003	442493	452484	426447	450183	446547
GCF_000373405.1 | Streptomyces sp. ScaeMP-e10 - ST 253:5	597097	598789	589762	448255	1	483444	572213	486509	587724	447833	447075	448974	588446	465110	590973	592013	590019	552071	572668	592490	594534	595936	579706	569932	570675	575614	571635	573875	597776	588908	545442	514136	563064	558768	103288	269415	422808	446183	586065	385429	249043	596815	0	567054	278939	583335	548960	569815	540764	408935	492429	408736	553100	573355	468594	485409	531681	486615	579728	576584	587872	565851	583885	554895	597819	592800
GCF_000385945.1 | Streptomyces fulvissimus DSM 40593 - ST 174:6	580588	580767	566470	452593	483444	1	572690	75553	569335	450114	451624	451848	571340	170819	571745	571787	573594	534994	555651	573194	570126	572587	558931	550833	550955	556330	568632	563690	575163	565524	555862	507811	567067	561921	479807	463825	459121	451332	582037	390800	436859	579112	483702	550364	474232	576560	533912	551439	525542	421779	181943	421953	543347	574832	174514	183063	531432	181064	569171	568599	571215	555720	564807	539086	580667	576169
GCF_000716025.1 | Streptomyces baarnensis NRRL B-2842 - ST 268:7	503423	498570	495577	453686	572213	572690	1	574745	491459	453714	452884	453608	498853	551718	499926	498795	501205	462055	487537	499070	495869	504216	488017	480049	481938	485184	86010	491801	502803	495184	278415	424530	66842	66713	568719	563858	551524	449372	257314	390762	522031	503772	571874	480921	573354	346774	462572	484805	460605	411669	577895	411599	468819	71810	553690	578385	464437	576784	499541	500500	496639	476941	498311	467048	504492	500342
GCF_000716935.1 | Streptomyces alboviridis NRRL B-1579 - ST 38:8	582487	581318	573457	454409	486509	75553	574745	1	570450	452159	451572	452873	575350	177566	577858	577653	575520	536468	560462	576990	575323	572480	565294	556001	559894	560507	575324	564466	580210	568779	557907	515250	565210	560331	483640	470242	457418	452433	581889	392283	443521	580962	486862	553736	479889	575208	543386	555381	528945	425048	185288	425248	546357	577259	179131	184338	531760	185030	569781	569706	574147	556603	568278	543332	581472	578197
GCF_000717795.1 | Streptomyces griseus NRRL WC-3480 - ST 275:9	69095	47929	453279	442372	587724	569335	491459	570450	1	443243	446684	443121	441925	555860	451778	451137	444237	66490	426720	442296	449596	449880	438764	434368	436440	440155	491277	436523	448587	449285	472826	435598	479727	475598	588790	571865	549418	440048	494267	383679	523689	70135	586725	431421	575763	484688	412040	434830	411745	401586	580401	401937	416442	489130	557500	576688	466359	578849	426512	432904	441604	409629	447264	52349	71496	70551
GCF_000720395.1 | Streptomyces flavovirens NRRL B-2182 - ST 309:10	448994	446967	447395	47751	447833	450114	453714	452159	443243	1	44751	57507	452262	435044	455851	457375	452344	421260	444720	453147	451220	456046	446994	436791	440395	442790	448264	450266	458343	450954	441174	404410	452979	450513	447088	449726	432496	47300	448598	44209	414784	448328	447998	439912	449936	446871	425421	440637	425121	425661	453972	426160	439667	453315	436366	446681	424136	447206	454997	456058	451939	439337	452572	424201	448636	444339
