	GCF_000359525.1 | Streptomyces albidoflavus J1074 - ST 39:387	GCF_000719495.1 | Streptomyces albidoflavus NRRL F-5621 - ST 295:389	GCF_001509565.1 | Streptomyces albidoflavus NRRL WC-3066 - ST 382:395	GCF_001865795.1 | Streptomyces albidoflavus OsiLf-2 - ST 411:396	GCF_002289335.1 | Streptomyces albidoflavus 132 - ST 447:397	GCF_002317005.1 | Streptomyces albidoflavus 38 - ST 447:398	GCF_002317025.1 | Streptomyces albidoflavus 138 - ST 447:399	GCF_004078575.1 | Streptomyces albidoflavus BSII#1 - ST 550:405	GCF_004195735.1 | Streptomyces albidoflavus DSM 40455 - ST 557:407	GCF_004195745.1 | Streptomyces albidoflavus NBRC 100770 - ST 558:408	GCF_004195755.1 | Streptomyces albidoflavus NBRC 13083 - ST 110:409	GCF_004195845.1 | Streptomyces albidoflavus CGMCC 4.1681 - ST 105:410	GCF_004195855.1 | Streptomyces albidoflavus FXJ.2339 - ST 148:411	GCF_004195885.1 | Streptomyces albidoflavus NBRC 12790 - ST 107:412	GCF_004195895.1 | Streptomyces albidoflavus Ma24 - ST 559:413	GCF_004195935.1 | Streptomyces albidoflavus CR33 - ST 144:414	GCF_004195945.1 | Streptomyces albidoflavus CR10 - ST 138:415	GCF_004195955.1 | Streptomyces albidoflavus CR25 - ST 144:416	GCF_004195965.1 | Streptomyces albidoflavus Ma1 - ST 152:417	GCF_004195995.1 | Streptomyces albidoflavus CR47 - ST 146:418	GCF_004196035.1 | Streptomyces albidoflavus CR19 - ST 143:419	GCF_004196145.1 | Streptomyces albidoflavus FXJ8.031 - ST 150:420	GCF_004196155.1 | Streptomyces albidoflavus CGMCC 4.1615 - ST 150:421	GCF_007896905.1 | Streptomyces albidoflavus 77 - ST 588:423	GCF_013693715.1 | Streptomyces albidoflavus J1074/R2 - ST 39:429	GCF_015601545.1 | Streptomyces albidoflavus W68 - ST 673:430	GCF_900171555.1 | Streptomyces albidoflavus R-53649 - ST 802:442
GCF_000359525.1 | Streptomyces albidoflavus J1074 - ST 39:387	1.0	0.8656812122	0.9480321192000001	0.9313599689000001	0.8356818656	0.8497822674000001	0.8497433879	0.8146603253	0.9451084088	0.9510183875	0.9470212517000001	0.9559088752	0.9405159487	0.9388663464	0.939859528	0.9405749988000001	0.9366307742000001	0.9412951468	0.9300104405	0.9401283229	0.9359299198000001	0.9340052376	0.93362492	0.9532142032	1.0204969591	0.8731482717	0.9433272593
GCF_000719495.1 | Streptomyces albidoflavus NRRL F-5621 - ST 295:389	0.8067736882000001	1.0	0.8414564376	0.8311123522	0.7863353403000001	0.801767286	0.8017577508	0.7901050237	0.8290477034	0.8406662399	0.8349250804	0.8418359396	0.8447020923	0.8348358579	0.8315212772	0.8316701629000001	0.8440850270000001	0.8325027244000001	0.8333039558	0.8402649431	0.8321492399	0.8317024465	0.8317449463000001	0.8394524056	0.8067516210000001	0.8988462377	0.8308707023
GCF_001509565.1 | Streptomyces albidoflavus NRRL WC-3066 - ST 382:395	0.9070016451	0.8638193476	1.0	0.9230344554000001	0.8337980140000001	0.8474176454000001	0.8470802171	0.8063688515	0.9545267417000001	0.972708298	0.9456380989000001	0.9385602144	0.9414770887	0.9437502902	0.9218212237000001	0.9167694474	0.9213564032	0.9166059771	0.9164004157000001	0.9207695044	0.9208507501000001	0.9204432631	0.9202824498000001	0.9374096299	0.9072279024000001	0.8608051463	0.9291397689
GCF_001865795.1 | Streptomyces albidoflavus OsiLf-2 - ST 411:396	0.9165658215	0.8776312812	0.9494650449	1.0	0.8580664863	0.8728735677	0.8725647393	0.8305272423000001	0.9270934637	0.9473705635	0.9459540089	0.9508752705	0.9463678419	0.9456213026	0.9417837456	0.9336989698	0.9442149607	0.9346884579	0.9346665940000001	0.9358806193	0.9358879552	0.9405494385000001	0.9403303674000001	0.9549500229000001	0.9164779342	0.8804163474000001	0.9396650987
GCF_002289335.1 | Streptomyces albidoflavus 132 - ST 447:397	0.8411170737	0.8492382205000001	0.8771852164	0.8775872796	1.0	0.9595786001000001	0.9586136779000001	0.8204731223	0.849775923	0.8675386421	0.8774723833	0.8839527652	0.8837962356	0.8769733719	0.8642727062000001	0.8647177268	0.8729867234	0.8645944451	0.8690820175	0.8773343902	0.8645061765000001	0.8670178578000001	0.8664707399	0.8777567552000001	0.8410233619	0.8454693010000001	0.8700035410000001
GCF_002317005.1 | Streptomyces albidoflavus 38 - ST 447:398	0.8322769145000001	0.8425870547000001	0.8675063524000001	0.8686912269	0.9337385031000001	1.0	0.9649067003	0.8101170273	0.8405097666	0.8586921574	0.8681226246	0.8760766153	0.8753435306	0.8678142738	0.8549458525	0.8562455354	0.8642911439000001	0.8562096041	0.8596952280000001	0.8681931988	0.8548115753000001	0.8576375518	0.8572196892	0.8688422529000001	0.8320155177	0.8368109884	0.8606131228
GCF_002317025.1 | Streptomyces albidoflavus 138 - ST 447:399	0.833134161	0.843483481	0.8680938194000001	0.8693180882	0.9338030734	0.9659447498	1.0	0.8104972985000001	0.8415310711	0.85926355	0.8687667875	0.8771185560000001	0.8763990133	0.8683542076	0.8558249068	0.8567836283	0.8652231005000001	0.8568132928000001	0.8604514188	0.8691507060000001	0.8558995695	0.8582197043	0.8578836502	0.8695741772000001	0.8334392608000001	0.8372784461	0.8610745162000001
GCF_004078575.1 | Streptomyces albidoflavus BSII#1 - ST 550:405	0.7958711263	0.828242043	0.8234076602	0.8244683228	0.7963703289	0.8080788854000001	0.8075893927000001	1.0	0.8063762277000001	0.8238898704000001	0.8207992696	0.8288262071	0.8219390393	0.8197114763000001	0.8197276119	0.8170828092	0.8191126046	0.8170311183000001	0.8183242472000001	0.8187017906	0.8156024794000001	0.8157352764	0.8152620621000001	0.8272940436	0.7955711193	0.8253847651	0.8172847178
GCF_004195735.1 | Streptomyces albidoflavus DSM 40455 - ST 557:407	0.9278281137000001	0.8733165439	0.9794651253000001	0.9248330229	0.8288479196	0.8424972281	0.8426144604	0.810321634	1.0	1.001686021	0.9515548055	0.9465264452000001	0.951554662	0.9487077976	0.9285848860000001	0.9273291950000001	0.9319440138	0.9281651744	0.9234042816	0.9315062223	0.9318306558	0.9319473141	0.9316533007000001	0.9416483201	0.9276752956000001	0.8660266196	0.9395816171
GCF_004195745.1 | Streptomyces albidoflavus NBRC 100770 - ST 558:408	0.9090757180000001	0.8622655141000001	0.9718712639	0.9202057422000001	0.8239189684	0.8380857493	0.8377421843	0.8061467812	0.975341843	1.0	0.9459685046	0.9411883548000001	0.9445622495	0.9410512921	0.9248577712	0.9204721832	0.9229605493	0.9212631231	0.9170946559	0.9226682606000001	0.9304213163	0.9226400377	0.9223330786	0.9365380024000001	0.9052712144	0.8617246682	0.9341071998
GCF_004195755.1 | Streptomyces albidoflavus NBRC 13083 - ST 110:409	0.9200346931000001	0.8703586555	0.960250224	0.9338312652	0.8469591523000001	0.8611233585	0.8608362376	0.8162350836000001	0.9416562333	0.9614130496000001	1.0	0.954564179	0.9617451840000001	0.9614239835	0.9401013500000001	0.9316530085	0.9386333697	0.9318371806	0.9369357779	0.9383128792000001	0.9381563968000001	0.9424713046000001	0.9421045225	0.9543802910000001	0.9202776525	0.8700895684000001	0.9444564433
GCF_004195845.1 | Streptomyces albidoflavus CGMCC 4.1681 - ST 105:410	0.9049359605	0.8551357869	0.9287064674000001	0.9147002853	0.8314094199000001	0.846804694	0.8469007225	0.8031536637000001	0.9127423560000001	0.9321091133	0.9301693104000001	1.0	0.9383324226	0.9238274183	0.9153373388	0.9206072819000001	0.9235221750000001	0.9213721888	0.9108529197	0.9359952224	0.9151105511000001	0.9128127861	0.9111517979	0.9288065086	0.9015122824	0.8510441990000001	0.9177683536000001
GCF_004195855.1 | Streptomyces albidoflavus FXJ.2339 - ST 148:411	0.9037456678	0.8709433355	0.9455941928	0.9240467572000001	0.8437557409	0.8588125975	0.8589241142	0.8084506037	0.9313821381	0.9495099166000001	0.9512520485	0.9524351925000001	1.0	0.9644815205	0.9268720334	0.919608422	0.9382791771000001	0.9204168476000001	0.9252310249000001	0.934325532	0.9231306071000001	0.9301220279	0.9298046127	0.9434503762	0.9038685609	0.8635735445	0.9275629030000001
GCF_004195885.1 | Streptomyces albidoflavus NBRC 12790 - ST 107:412	0.9238107798	0.8814275374	0.9706246767000001	0.9454757837000001	0.8573342812	0.8718582041	0.8714631313000001	0.8256083682	0.9508802415000001	0.9686823912	0.9737550569000001	0.9602155800000001	0.9876273326	1.0	0.9439016768	0.9349547953	0.9448723161	0.9358913494000001	0.9420133237	0.9375500223000001	0.9387724900000001	0.9479604133	0.9477714342	0.9583057978	0.9237743934	0.8817177656	0.9469095226
GCF_004195895.1 | Streptomyces albidoflavus Ma24 - ST 559:413	0.923463896	0.8766709286000001	0.9467136782000001	0.9402905508	0.8437082578	0.8576999761	0.8576591898	0.8244424661	0.9293786305	0.9506502761000001	0.9507956133000001	0.9500288592	0.9477563144000001	0.9425501704	1.0	0.9470833401000001	0.9480630735000001	0.9479035185	0.9455593104000001	0.9508453037000001	0.9656256054000001	0.9524468848000001	0.9522024541	0.9646613823	0.9230650805	0.879211744	0.9447658442
GCF_004195935.1 | Streptomyces albidoflavus CR33 - ST 144:414	0.8990974353000001	0.8530425912	0.9159851569	0.9069307282	0.8212440188	0.8357020434	0.8353285771000001	0.7994903365	0.9029451309000001	0.9204768130000001	0.9166911523	0.929579165	0.9148211658000001	0.9082903246	0.9213922457	1.0	0.9405538787000001	1.0028886708	0.9387986008	0.9481620858	0.9265073238	0.9230234541000001	0.9228546746	0.9271095086000001	0.8988717907	0.8539169468000001	0.9138817016
GCF_004195945.1 | Streptomyces albidoflavus CR10 - ST 138:415	0.8954000789000001	0.8658470231000001	0.9206431802	0.9172199487	0.8291648316	0.8436233353	0.8436254312	0.8015417187	0.9075125253	0.9230403785	0.9236346478	0.9325984310000001	0.9334707619	0.9179997787	0.9224205387000001	0.9406304984	1.0	0.9411989177000001	0.9348113261000001	0.950164238	0.9270845676	0.9266097670000001	0.9262646353	0.9316032779000001	0.8954998457000001	0.8530967118	0.9177105387000001
GCF_004195955.1 | Streptomyces albidoflavus CR25 - ST 144:416	0.8983429089	0.8525272198	0.9143531935	0.9064359324000001	0.819810157	0.8343268794	0.8340179001	0.7981577585	0.9023098393000001	0.9197903907	0.9154020489	0.9288595933	0.9141570649	0.9077421543	0.9207113301000001	1.0012804154	0.9396130464	1.0	0.9392486881000001	0.9486915951	0.9254062798	0.9222446482000001	0.9220619111	0.9261202101	0.8981909999000001	0.8522962177000001	0.9133100574
GCF_004195965.1 | Streptomyces albidoflavus Ma1 - ST 152:417	0.8754347383000001	0.8416773915	0.9016463025	0.8940186562	0.8127954150000001	0.8262667639	0.8261048248	0.7884881826	0.8854049288	0.9031065058000001	0.9078232390000001	0.9056968429000001	0.9063711533000001	0.9011845629	0.9058739165	0.9244747575000001	0.9204733354	0.9264035797	1.0	0.9212952759	0.9096374519	0.9173341666	0.9171357671	0.9134129573	0.8754286845	0.840385869	0.8950147809000001
GCF_004195995.1 | Streptomyces albidoflavus CR47 - ST 146:418	0.9014349880000001	0.8645095294	0.9228118819000001	0.9118462925	0.8357895882	0.8499697491	0.8499927333	0.8035387616	0.9098025162000001	0.9255112699	0.9260841944	0.9480244827000001	0.9323209145	0.9136134170000001	0.9278978479000001	0.9510788653000001	0.9530095422	0.9531384783	0.9384478988	1.0	0.9323262401	0.9263636492	0.9263500549	0.9341557303	0.9014253178	0.8567046949	0.9187702978000001
GCF_004196035.1 | Streptomyces albidoflavus CR19 - ST 143:419	0.9014409842000001	0.8600059493000001	0.9270393976	0.9159499333000001	0.82726871	0.8406286334	0.8407940469	0.8040930770000001	0.9142080936	0.9374810038	0.9300894824	0.9310353663000001	0.9252882665000001	0.9189144255	0.9465548161	0.9335326179000001	0.9340381499	0.9339208822	0.9307356510000001	0.9365147072000001	1.0	0.9325305638	0.9321218868000001	0.9421186363	0.8979974263	0.8590179729	0.9237477386
GCF_004196145.1 | Streptomyces albidoflavus FXJ8.031 - ST 150:420	0.9180513647	0.8771864494	0.9456483496	0.9394057331000001	0.8467013278000001	0.8607187686000001	0.8603774160000001	0.8207307964	0.9330891282	0.9487216730000001	0.9535452909000001	0.9477592481	0.9514315191	0.9469534202000001	0.9527993721	0.9491111541	0.9527212173	0.9498335116000001	0.9578759875	0.9496244761	0.9516708682	1.0	1.0026858537	0.9577634963	0.9181460412	0.87898674	0.9385921472000001
GCF_004196155.1 | Streptomyces albidoflavus CGMCC 4.1615 - ST 150:421	0.918018608	0.877557306	0.9458345316000001	0.9395359874	0.8464815175	0.8606191444	0.8603601603000001	0.8205595407	0.9331414379	0.9487585221	0.9535284567000001	0.9463862740000001	0.9514603209	0.9471165171	0.9529088783	0.9492902874	0.9527203172	0.9499982538	0.9580247478	0.9499634735	0.9516073468	1.0030585127	1.0	0.9579291738000001	0.9181104454000001	0.8790988504	0.938978065
GCF_007896905.1 | Streptomyces albidoflavus 77 - ST 588:423	0.8758323289000001	0.8276234954	0.9002743037000001	0.8915896523	0.8012889926000001	0.815100606	0.8149105743	0.7780798738	0.881319344	0.9002118552	0.902625191	0.9014764055000001	0.9021307056000001	0.8948604811	0.9020869244	0.8911445886	0.8953910927000001	0.8916234954000001	0.8915828031	0.8951637261000001	0.8987566016	0.8953051419	0.8951273313	1.0	0.8754260773	0.8306621229000001	0.8891033927
GCF_013693715.1 | Streptomyces albidoflavus J1074/R2 - ST 39:429	1.005607125	0.8530269257	0.9344326448	0.917682709	0.8233968779	0.8371202912	0.8376516214	0.8024711967	0.9311651586	0.9332203362	0.9334499216000001	0.9383976729	0.926919126	0.9251311258	0.9257462820000001	0.9266186775	0.9230674503	0.9274040783	0.9164345368000001	0.9264011907	0.9187508426000001	0.9204723005000001	0.9200946514	0.9388703825	1.0	0.8605063091	0.9296610433
GCF_015601545.1 | Streptomyces albidoflavus W68 - ST 673:430	0.878931894	0.9708651156	0.9057056079	0.9005529064000001	0.8455700613	0.8600712206000001	0.8596268827	0.8504670477	0.8879991831	0.9074539746	0.9015435446000001	0.9049362559	0.9046622966000001	0.9020228999000001	0.900748886	0.8992273964	0.8982904613	0.8989622650000001	0.8986902183000001	0.8993963037	0.8977915375000001	0.9001852242	0.8999655565	0.9100414338	0.8790319436	1.0	0.8985967897
