	GCF_001294335.1 | Streptomyces chattanoogensis NRRL ISP-5002 - ST 60:330	GCF_001729485.1 | Streptomyces lydicus 103 - ST 405:331	GCF_001984445.1 | Streptomyces lydicus 23 - ST 428:332	GCF_002090335.1 | Streptomyces sp. MOE7 - ST 435:333	GCF_004125245.1 | Streptomyces lydicus ATCC 25470 - ST 58:334
GCF_001294335.1 | Streptomyces chattanoogensis NRRL ISP-5002 - ST 60:330	1	530617	537249	536335	529924
GCF_001729485.1 | Streptomyces lydicus 103 - ST 405:331	530617	1	349197	358131	332910
GCF_001984445.1 | Streptomyces lydicus 23 - ST 428:332	537249	349197	1	170128	52148
GCF_002090335.1 | Streptomyces sp. MOE7 - ST 435:333	536335	358131	170128	1	160211
GCF_004125245.1 | Streptomyces lydicus ATCC 25470 - ST 58:334	529924	332910	52148	160211	1
