	GCF_000720675.1 | Streptomyces sp. NRRL WC-3795 - ST 312:483	GCF_000972435.1 | Streptomyces sp. MBT28 - ST 342:484	GCF_001905385.1 | Streptomyces sp. CB02414 - ST 415:485	GCF_003116795.1 | Streptomyces sp. CS207 - ST 496:486	GCF_003671715.1 | Streptomyces sp. E2N166 - ST 513:487	GCF_003949835.1 | Streptomyces sp. WAC02707 - ST 533:488	GCF_003949905.1 | Streptomyces sp. WAC06273 - ST 536:489	GCF_003984905.1 | Streptomyces sp. WAC05458 - ST 541:490	GCF_003984925.1 | Streptomyces sp. WAC08401 - ST 542:491	GCF_003984935.1 | Streptomyces sp. WAC04189 - ST 543:492	GCF_003984965.1 | Streptomyces sp. WAC06128 - ST 544:493	GCF_003984975.1 | Streptomyces sp. WAC08452 - ST 545:494	GCF_004364245.1 | Streptomyces sp. BK208 - ST 564:495	GCF_004795715.1 | Streptomyces sp. SS52 - ST 572:496	GCF_005490965.1 | Streptomyces sp. SGAir0924 - ST 575:497	GCF_008704515.1 | Streptomyces viridosporus ATCC 39115 - ST 602:498	GCF_009829585.1 | Streptomyces tendae UTMC 3329 - ST 615:499	GCF_010550405.1 | Streptomyces rochei SID8161 - ST 659:500	GCF_013363575.1 | Streptomyces sp. KAI 90 - ST 675:501	GCF_014650135.1 | Streptomyces plicatus JCM 4504 - ST 712:502	GCF_014650435.1 | Streptomyces tendae JCM 4610 - ST 714:503	GCF_018070055.1 | Streptomyces sp. RT42 - ST 760:504	GCF_018070125.1 | Streptomyces sp. RM99 - ST 761:505	GCF_018070535.1 | Streptomyces sp. B94 - ST 767:506	GCF_019049125.1 | Streptomyces sp. AC602_WCS936 - ST 781:507
GCF_000720675.1 | Streptomyces sp. NRRL WC-3795 - ST 312:483	1.0	0.9890715573000001	0.9222581675	0.9894447301	0.9022907074000001	0.9884921875	0.9890458190000001	0.9884697865000001	0.9890069281	0.9888838756	0.9888314888	0.9887596070000001	0.8930940493	0.9883893666	0.9886312772	0.8722486264	0.8948186986000001	0.9887926069	0.9886065291	0.9889074936000001	0.8945616590000001	0.9881680967	0.9892397221	0.9017801051000001	0.9229201811000001
GCF_000972435.1 | Streptomyces sp. MBT28 - ST 342:484	0.9890715573000001	1.0	0.9228421754	0.9909270871	0.9026369198	0.9901691127000001	0.9905744363000001	0.9903619334	0.9903475397	0.9900640937	0.9898321082	0.990196347	0.8935901955000001	0.9902828317000001	0.9908809761	0.8729558373	0.8951740634	0.9898257122	0.9902446384	0.9902824315000001	0.8951644065000001	0.9889275414	0.9886719803	0.9026834805	0.9237069905
GCF_001905385.1 | Streptomyces sp. CB02414 - ST 415:485	0.9222581675	0.9228421754	1.0	0.9236049666	0.9058868738	0.9221745454	0.9231507372000001	0.9221358018	0.9216448771	0.9217177614000001	0.9217311308	0.9220032201	0.8947132728	0.9221048095000001	0.9219558294	0.8714409791000001	0.8973759133	0.9248129968000001	0.9216179516	0.9217230771	0.8970386548	0.9219315612000001	0.9219223496000001	0.9058458517	0.9587046159
GCF_003116795.1 | Streptomyces sp. CS207 - ST 496:486	0.9894447301	0.9909270871	0.9236049666	1.0	0.9033388920000001	0.9904498702000001	0.9911997731000001	0.9905107438	0.9906926222	0.9908890268	0.9907811940000001	0.9907728505000001	0.8945327989	0.9907405715000001	0.9905660481	0.8729691034	0.8959478914000001	0.990740108	0.990749654	0.9910029949	0.8960996146	0.9890094065	0.9893511299000001	0.9030943545000001	0.9242787245
GCF_003671715.1 | Streptomyces sp. E2N166 - ST 513:487	0.9022907074000001	0.9026369198	0.9058868738	0.9033388920000001	1.0	0.902096392	0.9027807496	0.9021375787	0.9022084141000001	0.9020126329	0.9020639253	0.9019659044	0.8962082738	0.9022657775	0.9020232091	0.8727584415	0.8987634167	0.904909312	0.9019230056	0.9021226202	0.8985643831000001	0.9019762204	0.9016920356	0.9602759852	0.9067389118
GCF_003949835.1 | Streptomyces sp. WAC02707 - ST 533:488	0.9884921875	0.9901691127000001	0.9221745454	0.9904498702000001	0.902096392	1.0	0.9891067192	0.9919244795000001	0.9892295008	0.9894892217000001	0.98931452	0.9895252461	0.8930188467	0.9892545913	0.9908945118	0.8723939470000001	0.8944350355	0.9893171352000001	0.9906858947	0.9893012912	0.8947476787	0.9899565819	0.9881857690000001	0.9030874647	0.9228701521
GCF_003949905.1 | Streptomyces sp. WAC06273 - ST 536:489	0.9890458190000001	0.9905744363000001	0.9231507372000001	0.9911997731000001	0.9027807496	0.9891067192	1.0	0.9892343603	0.9898007481000001	0.9901513653	0.9903691349	0.9903556870000001	0.8935320033	0.9898157006	0.9901009926000001	0.8727299522	0.8953339561	0.9902254423000001	0.9902255577	0.9910013298	0.8954866578	0.9884181540000001	0.988604385	0.9034965434000001	0.9237890976
GCF_003984905.1 | Streptomyces sp. WAC05458 - ST 541:490	0.9884697865000001	0.9903619334	0.9221358018	0.9905107438	0.9021375787	0.9919244795000001	0.9892343603	1.0	0.9893395695	0.9892824349	0.9892139957	0.9893214541	0.892934046	0.9890596808000001	0.9910045179	0.8724408702	0.8945263687	0.9894520431	0.9906687795	0.9895272732	0.8947490547	0.9897939630000001	0.9882686478	0.9027612119	0.9228522866000001
GCF_003984925.1 | Streptomyces sp. WAC08401 - ST 542:491	0.9890069281	0.9903475397	0.9216448771	0.9906926222	0.9022084141000001	0.9892295008	0.9898007481000001	0.9893395695	1.0	0.9902721495000001	0.9899830689	0.9901594351	0.8927690182	0.9895490536	0.9899073806	0.8724710211000001	0.8942362106	0.9901522498	0.9900690718	0.9902522081	0.8942103838000001	0.9888208326000001	0.9886584780000001	0.9025193290000001	0.9225229423
GCF_003984935.1 | Streptomyces sp. WAC04189 - ST 543:492	0.9888838756	0.9900640937	0.9217177614000001	0.9908890268	0.9020126329	0.9894892217000001	0.9901513653	0.9892824349	0.9902721495000001	1.0	0.9900400653	0.9904099242000001	0.8927214179	0.9899184851	0.989750153	0.872208548	0.8943606900000001	0.9900473350000001	0.9899109627	0.990279592	0.8944068997	0.9882225347	0.9886453614	0.9017581014	0.9227572704
