	GCF_000253235.1 | Streptomyces venezuelae ATCC 10712 - ST 244:320	GCF_001886595.1 | Streptomyces venezuelae NRRL B-65442 - ST 17:322	GCF_008639045.1 | Streptomyces venezuelae ATCC 21113 - ST 599:323	GCF_008639165.1 | Streptomyces venezuelae ATCC 10712 - ST 17:324	GCF_008705255.1 | Streptomyces venezuelae ATCC 10595 - ST 607:325	GCF_008642275.1 | Streptomyces venezuelae ATCC 21018 - ST 600:725	GCF_008642375.1 | Streptomyces venezuelae ATCC 15068 - ST 601:762
GCF_000253235.1 | Streptomyces venezuelae ATCC 10712 - ST 244:320	1	4922	119080	4965	138009	291953	576371
GCF_001886595.1 | Streptomyces venezuelae NRRL B-65442 - ST 17:322	4922	1	115371	80	135960	292996	578371
GCF_008639045.1 | Streptomyces venezuelae ATCC 21113 - ST 599:323	119080	115371	1	115388	138202	288351	578056
GCF_008639165.1 | Streptomyces venezuelae ATCC 10712 - ST 17:324	4965	80	115388	1	135568	292695	578077
GCF_008705255.1 | Streptomyces venezuelae ATCC 10595 - ST 607:325	138009	135960	138202	135568	1	285375	573835
GCF_008642275.1 | Streptomyces venezuelae ATCC 21018 - ST 600:725	291953	292996	288351	292695	285375	1	276894
GCF_008642375.1 | Streptomyces venezuelae ATCC 15068 - ST 601:762	576371	578371	578056	578077	573835	276894	1
