	GCF_000715745.1 | Streptomyces californicus NRRL B-3320 - ST 2:603	GCF_000717645.1 | Streptomyces californicus NRRL B-2098 - ST 2:604	GCF_000717665.1 | Streptomyces californicus NRRL 2423 - ST 49:605	GCF_000717965.1 | Streptomyces purpeochromogenes NRRL B-3012 - ST 2:606	GCF_000718205.1 | Streptomyces griseus NRRL B-2931 - ST 280:607	GCF_000718235.1 | Streptomyces griseus NRRL B-2932 - ST 281:608	GCF_000718245.1 | Streptomyces californicus NRRL B-2988 - ST 2:609	GCF_000718615.1 | Streptomyces purpeochromogenes NRRL ISP-5373 - ST 2:610	GCF_000718915.1 | Streptomyces sp. NRRL WC-3540 - ST 280:611	GCF_000719035.1 | Streptomyces griseus NRRL B-1691 - ST 280:612	GCF_000719585.1 | Streptomyces sp. NRRL F-5681 - ST 298:613	GCF_000719655.1 | Streptomyces sp. NRRL B-1381 - ST 300:614	GCF_000719925.1 | Streptomyces sp. NRRL F-2202 - ST 305:615	GCF_000720065.1 | Streptomyces sp. NRRL F-3273 - ST 2:616	GCF_000721205.1 | Streptomyces griseus NRRL B-2930 - ST 280:617	GCF_000721575.1 | Streptomyces griseus NRRL F-2227 - ST 317:618	GCF_001270675.1 | Streptomyces griseus NRRL B-2929 - ST 280:619	GCF_001279425.1 | Streptomyces sp. NRRL F-2295 - ST 354:620	GCF_001279735.1 | Streptomyces sp. MMG1522 - ST 360:621	GCF_002082175.1 | Streptomyces violaceoruber S21 - ST 434:622	GCF_002551425.1 | Streptomyces sp. b94 - ST 461:623	GCF_013401535.1 | Streptomyces sp. CB04723 - ST 684:624	GCF_016906185.1 | Streptomyces californicus FDAARGOS_1209 - ST 2:625	GCF_016906205.1 | Streptomyces californicus FDAARGOS_1212 - ST 2:626	GCF_016906225.1 | Streptomyces californicus FDAARGOS_1211 - ST 2:627	GCF_016906245.1 | Streptomyces californicus FDAARGOS_1213 - ST 2:628	GCF_016906265.1 | Streptomyces californicus FDAARGOS_1210 - ST 128:629	GCF_017311125.1 | Streptomyces sp. M54 - ST 751:630
GCF_000715745.1 | Streptomyces californicus NRRL B-3320 - ST 2:603	1.0	0.9964403632000001	0.9837390808	0.9964625043	0.9842962298000001	0.9846014318	0.996397328	0.9964465422000001	0.9843195002	0.9843353493	0.9844641496000001	0.9813116174000001	0.9844927134	0.9902860875	0.9843071307000001	0.9838374145000001	0.9842974601000001	0.9845874919000001	0.984481189	0.9844555332	0.9869151655	0.9760389391000001	0.9964670014	0.9967114388	0.9964536023	0.9967180965	0.9838207009000001	0.9800449929
GCF_000717645.1 | Streptomyces californicus NRRL B-2098 - ST 2:604	0.9964403632000001	1.0	0.9862231202	0.9998044352000001	0.9869677396000001	0.9872276158000001	0.9998082977	0.9998302923000001	0.9868838585	0.9869135501	0.9871684088	0.9837485707	0.9871335008000001	0.9930967781000001	0.9868548541000001	0.9862753203000001	0.9868634216000001	0.9871886544	0.9869363192	0.9867221153000001	0.9892924991000001	0.9783213390000001	0.9998989232000001	0.9995756367	0.9998496029	0.9995959143	0.9862522439	0.9825573910000001
GCF_000717665.1 | Streptomyces californicus NRRL 2423 - ST 49:605	0.9837390808	0.9862231202	1.0	0.9862795364	0.9866503781	0.9868370657000001	0.9862404650000001	0.9862354328	0.9866374493000001	0.9866203995	0.9866010005	0.9830857615	0.9865917591000001	0.9862095883	0.9866448043	0.9885208616000001	0.9866614793	0.9866072087000001	0.9863678651000001	0.9862630556	0.9868375398	0.9784655775000001	0.9862277271000001	0.9861726758	0.9862108684	0.9861840096000001	0.9885592559	0.9823781225
GCF_000717965.1 | Streptomyces purpeochromogenes NRRL B-3012 - ST 2:606	0.9964625043	0.9998044352000001	0.9862795364	1.0	0.9868900211	0.9872325346	0.9997928447000001	0.9998114659	0.9868255166000001	0.9868736961000001	0.9871774391	0.9838257297	0.9871553740000001	0.9930395506	0.9867709939	0.9863103896000001	0.9868494997	0.9872241209	0.9869513027000001	0.9867689291	0.9893686730000001	0.9783865866	0.9998793036	0.999514635	0.9999232829	0.9995366646	0.9863491388000001	0.9826810592
GCF_000718205.1 | Streptomyces griseus NRRL B-2931 - ST 280:607	0.9842962298000001	0.9869677396000001	0.9866503781	0.9868900211	1.0	0.9892266398	0.9868148521000001	0.9868331505000001	0.9998414389	0.9998182219	0.9899948867	0.9832634325	0.9898511618	0.9870637801000001	0.9997721221	0.9868418872	0.9998124076	0.9888967042000001	0.9904185411	0.9896350086000001	0.9877840313	0.9784255674000001	0.986899897	0.9868833216	0.9868738011	0.9868750892	0.9867284468	0.9823473865000001
GCF_000718235.1 | Streptomyces griseus NRRL B-2932 - ST 281:608	0.9846014318	0.9872276158000001	0.9868370657000001	0.9872325346	0.9892266398	1.0	0.9872144459000001	0.9872019226000001	0.9891759751	0.9892001763	0.9896370131000001	0.9833918779	0.9893600385	0.9872708914	0.9890988418000001	0.9869533245000001	0.9892280182000001	0.9881156664	0.9890053695000001	0.9892386083	0.9877348296	0.9784312981000001	0.9872208599000001	0.987213383	0.9872020095	0.987207499	0.9867649900000001	0.9824358334000001
GCF_000718245.1 | Streptomyces californicus NRRL B-2988 - ST 2:609	0.996397328	0.9998082977	0.9862404650000001	0.9997928447000001	0.9868148521000001	0.9872144459000001	1.0	0.9998005052000001	0.9868147229	0.9868587465	0.9870642953000001	0.9837558685000001	0.9870035335	0.9931071951	0.9867630872	0.9862115507	0.9868256468000001	0.987138728	0.9868732817	0.9866196689000001	0.9892617797000001	0.9783543016	0.9998988618	0.9996115837	0.9998755773	0.9996275353	0.9862485127	0.9825383811
GCF_000718615.1 | Streptomyces purpeochromogenes NRRL ISP-5373 - ST 2:610	0.9964465422000001	0.9998302923000001	0.9862354328	0.9998114659	0.9868331505000001	0.9872019226000001	0.9998005052000001	1.0	0.9867307029000001	0.9868001835	0.9870395729	0.9837537723	0.9870357564000001	0.9928591804	0.9866761229000001	0.9860998707	0.9867579706	0.9871976048000001	0.9867754472	0.9866142833	0.9893086783	0.9783117403	0.9998340758	0.9994291517	0.9998893046	0.9994453762000001	0.9861162172000001	0.9824129919000001
GCF_000718915.1 | Streptomyces sp. NRRL WC-3540 - ST 280:611	0.9843195002	0.9868838585	0.9866374493000001	0.9868255166000001	0.9998414389	0.9891759751	0.9868147229	0.9867307029000001	1.0	0.9998301270000001	0.9899836079000001	0.9833255364000001	0.9898565681	0.9870052085000001	0.9997488668000001	0.9867823869000001	0.9998358611	0.988929728	0.99035376	0.9895908295	0.9877539685000001	0.9784698887000001	0.9868383065	0.9868675303000001	0.9868207412000001	0.9868594676	0.9866910302	0.9823669764
GCF_000719035.1 | Streptomyces griseus NRRL B-1691 - ST 280:612	0.9843353493	0.9869135501	0.9866203995	0.9868736961000001	0.9998182219	0.9892001763	0.9868587465	0.9868001835	0.9998301270000001	1.0	0.9900310332000001	0.9833563095000001	0.9899552464	0.9870673702	0.9997925262	0.9868205295	0.9998177193000001	0.9889717601	0.9904370720000001	0.9896664821000001	0.9877977722000001	0.9785203094	0.9868744237	0.9869107351	0.9868572502	0.98690268	0.9867763389	0.9824404425000001
