	GCF_000359525.1 | Streptomyces albidoflavus J1074 - ST 39:387	GCF_000719495.1 | Streptomyces albidoflavus NRRL F-5621 - ST 295:389	GCF_001509565.1 | Streptomyces albidoflavus NRRL WC-3066 - ST 382:395	GCF_001865795.1 | Streptomyces albidoflavus OsiLf-2 - ST 411:396	GCF_002289335.1 | Streptomyces albidoflavus 132 - ST 447:397	GCF_002317005.1 | Streptomyces albidoflavus 38 - ST 447:398	GCF_002317025.1 | Streptomyces albidoflavus 138 - ST 447:399	GCF_004078575.1 | Streptomyces albidoflavus BSII#1 - ST 550:405	GCF_004195735.1 | Streptomyces albidoflavus DSM 40455 - ST 557:407	GCF_004195745.1 | Streptomyces albidoflavus NBRC 100770 - ST 558:408	GCF_004195755.1 | Streptomyces albidoflavus NBRC 13083 - ST 110:409	GCF_004195845.1 | Streptomyces albidoflavus CGMCC 4.1681 - ST 105:410	GCF_004195855.1 | Streptomyces albidoflavus FXJ.2339 - ST 148:411	GCF_004195885.1 | Streptomyces albidoflavus NBRC 12790 - ST 107:412	GCF_004195895.1 | Streptomyces albidoflavus Ma24 - ST 559:413	GCF_004195935.1 | Streptomyces albidoflavus CR33 - ST 144:414	GCF_004195945.1 | Streptomyces albidoflavus CR10 - ST 138:415	GCF_004195955.1 | Streptomyces albidoflavus CR25 - ST 144:416	GCF_004195965.1 | Streptomyces albidoflavus Ma1 - ST 152:417	GCF_004195995.1 | Streptomyces albidoflavus CR47 - ST 146:418	GCF_004196035.1 | Streptomyces albidoflavus CR19 - ST 143:419	GCF_004196145.1 | Streptomyces albidoflavus FXJ8.031 - ST 150:420	GCF_004196155.1 | Streptomyces albidoflavus CGMCC 4.1615 - ST 150:421	GCF_007896905.1 | Streptomyces albidoflavus 77 - ST 588:423	GCF_013693715.1 | Streptomyces albidoflavus J1074/R2 - ST 39:429	GCF_015601545.1 | Streptomyces albidoflavus W68 - ST 673:430	GCF_900171555.1 | Streptomyces albidoflavus R-53649 - ST 802:442
GCF_000359525.1 | Streptomyces albidoflavus J1074 - ST 39:387	1	230489	58797	75708	119209	122518	122896	213758	59194	59855	56738	61347	52854	55038	70925	84295	85561	84398	84265	83610	72035	69163	69126	72773	465	232675	54510
GCF_000719495.1 | Streptomyces albidoflavus NRRL F-5621 - ST 295:389	230489	1	240236	240487	228271	235328	235335	225786	235941	238904	237610	239343	242000	237718	238118	237139	242134	237453	239523	239950	237025	237544	237590	241336	230406	29776	237010
GCF_001509565.1 | Streptomyces albidoflavus NRRL WC-3066 - ST 382:395	58797	240236	1	78981	127174	130665	130930	221816	48700	49275	57708	61599	56105	53568	73839	87888	88935	87933	87316	86509	74917	72663	72851	75493	58737	239298	61393
GCF_001865795.1 | Streptomyces albidoflavus OsiLf-2 - ST 411:396	75708	240487	78981	1	126237	129970	130330	224176	76234	78318	78660	80383	78759	79164	75865	90731	91833	91055	90652	89039	75838	77358	77275	79077	75389	242873	78247
GCF_002289335.1 | Streptomyces albidoflavus 132 - ST 447:397	119209	228271	127174	126237	1	1825	1884	219898	121653	123601	126029	127072	127239	126673	120615	125285	129025	125267	126493	126982	121923	122667	122481	126740	119047	228211	124404
GCF_002317005.1 | Streptomyces albidoflavus 38 - ST 447:398	122518	235328	130665	129970	1825	1	1639	223513	124577	127130	129258	130960	131078	130048	123872	128767	132458	128757	129660	130487	124481	125396	125269	130612	122226	233968	127694
GCF_002317025.1 | Streptomyces albidoflavus 138 - ST 447:399	122896	235335	130930	130330	1884	1639	1	223888	125324	127511	129893	131917	131576	130196	124344	128798	133074	128843	130172	130513	125218	125721	125762	130759	122951	233803	128038
GCF_004078575.1 | Streptomyces albidoflavus BSII#1 - ST 550:405	213758	225786	221816	224176	219898	223513	223888	1	216951	221915	220343	223771	221273	220456	219398	218699	220736	218780	219506	219241	217231	217791	217571	224000	213317	225041	219992
GCF_004195735.1 | Streptomyces albidoflavus DSM 40455 - ST 557:407	59194	235941	48700	76234	121653	124577	125324	216951	1	30068	56639	60634	55033	54476	71914	86753	87010	87185	84644	85323	73396	71779	71814	74185	59081	234638	61184
GCF_004195745.1 | Streptomyces albidoflavus NBRC 100770 - ST 558:408	59855	238904	49275	78318	123601	127130	127511	221915	30068	1	58038	62016	57847	57215	74569	88384	88212	88693	86515	86763	77737	73146	72973	75891	59386	239618	63545
GCF_004195755.1 | Streptomyces albidoflavus NBRC 13083 - ST 110:409	56738	237610	57708	78660	126029	129258	129893	220343	56639	58038	1	57526	52081	52996	74047	86314	88196	86633	87421	86549	75359	72113	71954	76278	56644	238062	62051
GCF_004195845.1 | Streptomyces albidoflavus CGMCC 4.1681 - ST 105:410	61347	239343	61599	80383	127072	130960	131917	223771	60634	62016	57526	1	59693	57459	72568	87555	90404	87942	87423	90733	75034	73092	73058	75130	60807	239893	65080
GCF_004195855.1 | Streptomyces albidoflavus FXJ.2339 - ST 148:411	52854	242000	56105	78759	127239	131078	131576	221273	55033	57847	52081	59693	1	41139	74142	87349	91853	87446	87460	89697	74711	72602	72589	76364	52741	240909	61984
GCF_004195885.1 | Streptomyces albidoflavus NBRC 12790 - ST 107:412	55038	237718	53568	79164	126673	130048	130196	220456	54476	57215	52996	57459	41139	1	71590	85405	86740	85715	85869	85417	73592	73193	73109	75432	54944	239362	61143
GCF_004195895.1 | Streptomyces albidoflavus Ma24 - ST 559:413	70925	238118	73839	75865	120615	123872	124344	219398	71914	74569	74047	72568	74142	71590	1	86437	85753	86653	85197	84724	67644	68913	68903	68498	70783	240132	74498
GCF_004195935.1 | Streptomyces albidoflavus CR33 - ST 144:414	84295	237139	87888	90731	125285	128767	128798	218699	86753	88384	86314	87555	87349	85405	86437	1	53568	202	56161	54349	86198	87301	87294	90749	84118	238904	86743
GCF_004195945.1 | Streptomyces albidoflavus CR10 - ST 138:415	85561	242134	88935	91833	129025	132458	133074	220736	87010	88212	88196	90404	91853	86740	85753	53568	1	53536	54614	55673	85809	87115	87216	92354	85446	240023	88340
GCF_004195955.1 | Streptomyces albidoflavus CR25 - ST 144:416	84398	237453	87933	91055	125267	128757	128843	218780	87185	88693	86633	87942	87446	85715	86653	202	53536	1	56344	54673	86050	87632	87638	90943	84262	238883	87045
