	GCF_000226455.1 | Streptomyces chartreusis NRRL 12338 - ST 242:210	GCF_900236475.1 | Streptomyces chartreusis NRRL3882 - ST 242:212	GCF_900236505.1 | Streptomyces chartreusis NRRL3882 - ST 242:213	GCF_003048205.2 | Streptomyces chartreusis WZS021 - ST 488:229	GCF_008704715.1 | Streptomyces chartreusis ATCC 14922 - ST 604:231	GCF_013375055.1 | Streptomyces chartreusis NA02069 - ST 682:232	GCF_014650315.1 | Streptomyces chartreusis JCM 4570 - ST 604:233
GCF_000226455.1 | Streptomyces chartreusis NRRL 12338 - ST 242:210	1	1906	1906	625467	620442	622130	621361
GCF_900236475.1 | Streptomyces chartreusis NRRL3882 - ST 242:212	1906	1	0	627749	623007	623695	622513
GCF_900236505.1 | Streptomyces chartreusis NRRL3882 - ST 242:213	1906	0	1	627749	623007	623695	622513
GCF_003048205.2 | Streptomyces chartreusis WZS021 - ST 488:229	625467	627749	627749	1	146491	97610	149448
GCF_008704715.1 | Streptomyces chartreusis ATCC 14922 - ST 604:231	620442	623007	623007	146491	1	145374	701
GCF_013375055.1 | Streptomyces chartreusis NA02069 - ST 682:232	622130	623695	623695	97610	145374	1	145593
GCF_014650315.1 | Streptomyces chartreusis JCM 4570 - ST 604:233	621361	622513	622513	149448	701	145593	1
