	GCF_000411495.1 | Streptomyces sp. HPH0547 - ST 256:376	GCF_000719425.1 | Streptomyces sp. NRRL F-5639 - ST 294:377	GCF_000719735.1 | Streptomyces sp. NRRL F-5917 - ST 301:378	GCF_000720885.1 | Streptomyces albus NRRL B-2362 - ST 256:379	GCF_000813365.1 | Streptomyces albus NBRC 13014 - ST 156:380	GCF_001418125.1 | Streptomyces albus NRRL B-1685 - ST 156:381	GCF_001418545.1 | Streptomyces albus NRRL B-1335 - ST 156:382	GCF_001661615.1 | Streptomyces albus NRRL B-12378 - ST 156:383	GCF_004768505.1 | Streptomyces albus DSM 40763 - ST 256:384	GCF_011006355.1 | Streptomyces albus CAS922 - ST 256:385
GCF_000411495.1 | Streptomyces sp. HPH0547 - ST 256:376	1.0	0.9910416310000001	0.9902570146	0.9956165221000001	0.9952336106	0.9951989938	0.9952289558	0.9950990662	0.9953834389	0.9942554071
GCF_000719425.1 | Streptomyces sp. NRRL F-5639 - ST 294:377	0.9910416310000001	1.0	0.9917804728	0.9909425079	0.9914059556	0.9914591811000001	0.9915354236	0.9914431148	0.9909385688000001	0.990537874
GCF_000719735.1 | Streptomyces sp. NRRL F-5917 - ST 301:378	0.9902570146	0.9917804728	1.0	0.9903224081	0.9910567691000001	0.9910969417000001	0.9912273815	0.991148829	0.9905071005	0.9897708349000001
GCF_000720885.1 | Streptomyces albus NRRL B-2362 - ST 256:379	0.9956165221000001	0.9909425079	0.9903224081	1.0	0.9951358497	0.9949848648	0.9950063284	0.9949309304	0.9951202885	0.9941952941000001
GCF_000813365.1 | Streptomyces albus NBRC 13014 - ST 156:380	0.9952336106	0.9914059556	0.9910567691000001	0.9951358497	1.0	0.9995697215	0.9995279135	0.9995477186	0.9950616223000001	0.9940814837
GCF_001418125.1 | Streptomyces albus NRRL B-1685 - ST 156:381	0.9951989938	0.9914591811000001	0.9910969417000001	0.9949848648	0.9995697215	1.0	0.9994033982	0.9993499313	0.9950054717000001	0.9939729979
GCF_001418545.1 | Streptomyces albus NRRL B-1335 - ST 156:382	0.9952289558	0.9915354236	0.9912273815	0.9950063284	0.9995279135	0.9994033982	1.0	0.9993888109000001	0.9950439868000001	0.9941510177
GCF_001661615.1 | Streptomyces albus NRRL B-12378 - ST 156:383	0.9950990662	0.9914431148	0.991148829	0.9949309304	0.9995477186	0.9993499313	0.9993888109000001	1.0	0.9949176765000001	0.994023379
GCF_004768505.1 | Streptomyces albus DSM 40763 - ST 256:384	0.9953834389	0.9909385688000001	0.9905071005	0.9951202885	0.9950616223000001	0.9950054717000001	0.9950439868000001	0.9949176765000001	1.0	0.994135858
GCF_011006355.1 | Streptomyces albus CAS922 - ST 256:385	0.9942554071	0.990537874	0.9897708349000001	0.9941952941000001	0.9940814837	0.9939729979	0.9941510177	0.994023379	0.994135858	1.0
