	GCF_001434355.1 | Streptomyces anulatus ATCC 11523 - ST 378:17	GCF_010548045.1 | Streptomyces anulatus SID10689 - ST 645:44	GCF_010548615.1 | Streptomyces anulatus SID505 - ST 653:47	GCF_010548705.1 | Streptomyces anulatus SID7903 - ST 655:48	GCF_010550525.1 | Streptomyces anulatus SID9598 - ST 655:49	GCF_019049185.1 | Streptomyces anulatus AC569_RSS891 - ST 782:63
GCF_001434355.1 | Streptomyces anulatus ATCC 11523 - ST 378:17	1	280265	270540	282096	268568	273611
GCF_010548045.1 | Streptomyces anulatus SID10689 - ST 645:44	280265	1	61807	83807	79839	322760
GCF_010548615.1 | Streptomyces anulatus SID505 - ST 653:47	270540	61807	1	79346	77337	306758
GCF_010548705.1 | Streptomyces anulatus SID7903 - ST 655:48	282096	83807	79346	1	349	321621
GCF_010550525.1 | Streptomyces anulatus SID9598 - ST 655:49	268568	79839	77337	349	1	305696
GCF_019049185.1 | Streptomyces anulatus AC569_RSS891 - ST 782:63	273611	322760	306758	321621	305696	1
