	GCF_000738715.1 | Streptomyces scabiei NCPPB 4066 - ST 327:97	GCF_001005405.1 | Streptomyces scabiei NRRL B-16523 - ST 327:98	GCF_001485125.1 | Streptomyces scabiei S58 - ST 381:99	GCF_001550215.1 | Streptomyces scabiei 85-08 - ST 392:100	GCF_001550225.1 | Streptomyces scabiei 95-18 - ST 393:101	GCF_001550245.1 | Streptomyces scabiei 84-34 - ST 327:102	GCF_001550295.1 | Streptomyces scabiei 96-15 - ST 394:103	GCF_001572115.1 | Streptomyces scabiei 84-232 - ST 395:104	GCF_001579685.1 | Streptomyces scabiei 96-06 - ST 396:105	GCF_003584815.1 | Streptomyces scabiei ST129 - ST 393:106	GCF_017933115.1 | Streptomyces sp. LBUM 1482 - ST 393:107	GCF_017933235.1 | Streptomyces sp. LBUM 1480 - ST 757:108	GCF_017933255.1 | Streptomyces sp. LBUM 1475 - ST 393:109	GCF_017968905.1 | Streptomyces sp. LBUM 1487 - ST 393:110	GCF_017968935.1 | Streptomyces sp. LBUM 1488 - ST 393:111	GCF_017968965.1 | Streptomyces sp. LBUM 1486 - ST 757:112	GCF_017969005.1 | Streptomyces sp. LBUM 1483 - ST 758:113	GCF_017969025.1 | Streptomyces sp. LBUM 1481 - ST 759:114	GCF_017969045.1 | Streptomyces sp. LBUM 1477 - ST 393:115
GCF_000738715.1 | Streptomyces scabiei NCPPB 4066 - ST 327:97	1.0	0.9867233099	0.8168994963	0.9277059087	0.9090221614	0.9785935438000001	0.8899382243	0.9131178629000001	0.8330968924000001	0.8839754368	0.9045264699000001	0.9395777389000001	0.9227815566	0.9193211039	0.9175470225000001	0.9259874702	0.9028306083000001	0.9109404949000001	0.9193710527000001
GCF_001005405.1 | Streptomyces scabiei NRRL B-16523 - ST 327:98	1.0038628607	1.0	0.8185783803000001	0.9300474422	0.9092051906	0.9785328081	0.8918536203	0.9138928018	0.8361417534000001	0.8880307012	0.8986672887	0.9397807170000001	0.9161517947000001	0.9147679621	0.9119227509000001	0.9283328963	0.9039565662	0.9121484774	0.9128082778000001
GCF_001485125.1 | Streptomyces scabiei S58 - ST 381:99	0.8176284007	0.8053202340000001	1.0	0.7985542319000001	0.7900782566000001	0.7978057312	0.7431515838	0.7966005911	0.7105391115	0.7794764635	0.8103784628	0.8134492553	0.8128595335000001	0.8111333626	0.8095958666	0.8132193858000001	0.8019156858	0.8027597738000001	0.8064374857000001
GCF_001550215.1 | Streptomyces scabiei 85-08 - ST 392:100	0.9306348714	0.9170544074	0.8003612879	1.0	0.9073603036000001	0.9253115572	0.8539449746000001	0.9213060439	0.8472439323000001	0.8889773324	0.8946866670000001	0.9405425291	0.905728335	0.9120020692	0.9080934618000001	0.9253633673	0.8959795149	0.9054406235	0.9037781902
GCF_001550225.1 | Streptomyces scabiei 95-18 - ST 393:101	0.8675249178000001	0.8528848378	0.753338662	0.8632135777000001	1.0	0.8679814878000001	0.7991293232000001	0.8445270997000001	0.7896349747	0.8820721394000001	0.8485652033000001	0.8603391603	0.8399442392	0.8479927986	0.8443500585	0.8623259881	0.8341198019	0.8378307082	0.8398979053000001
GCF_001550245.1 | Streptomyces scabiei 84-34 - ST 327:102	0.9803443106	0.9635465006	0.7985205518	0.9240495802	0.911127726	1.0	0.8953557983	0.9131232478	0.8381391649000001	0.8792937494	0.8795605529	0.9217147997	0.897778646	0.8964802558	0.8950336527	0.9076450701000001	0.8850283226000001	0.8911567962	0.8948064794
GCF_001550295.1 | Streptomyces scabiei 96-15 - ST 394:103	0.9662618243000001	0.9518084168000001	0.8061670215000001	0.9242635979	0.9091688363	0.9704079025000001	1.0	0.9064849761	0.8344662151000001	0.8776127614	0.8889782762	0.9254255845	0.9021985441	0.9059541479000001	0.9032245154	0.9110705548	0.8810207346000001	0.8854543538	0.9051551940000001
GCF_001572115.1 | Streptomyces scabiei 84-232 - ST 395:104	0.9296482852	0.9145513415000001	0.8102986548000001	0.9350326044	0.90094429	0.9279935274000001	0.8499971777	1.0	0.865249935	0.8797846476000001	0.9076045119	0.9485594098000001	0.9165769195000001	0.9225249955	0.9225945625	0.9340831783	0.9121243296	0.920822436	0.9177085013
GCF_001579685.1 | Streptomyces scabiei 96-06 - ST 396:105	0.924244095	0.9117842408	0.7875748125	0.9369806847000001	0.9179310476	0.9281774618	0.8526385564000001	0.942846323	1.0	0.88783294	0.8764777001	0.9427432537	0.8951446511000001	0.8953528953000001	0.8982132334	0.9255024266	0.8833902117	0.8911509944	0.8910634409
GCF_003584815.1 | Streptomyces scabiei ST129 - ST 393:106	0.9015576212	0.8902300971	0.7942714598	0.9038054999999999	0.9426487802	0.8951812786000001	0.8243682572000001	0.8813285460000001	0.816193958	1.0	0.8966594196000001	0.9037448786000001	0.8825831523000001	0.8908685057	0.884237248	0.9058405419000001	0.8772071122	0.8813301761000001	0.8894564877000001
