	GCF_000718705.1 | Streptomyces lavendulae NRRL WC-3542 - ST 286:67	GCF_000719625.1 | Streptomyces sp. NRRL B-1322 - ST 286:68	GCF_000720235.1 | Streptomyces sp. NRRL S-98 - ST 18:69	GCF_000720455.1 | Streptomyces virginiae NRRL ISP-5094 - ST 18:70	GCF_000966965.1 | Streptomyces sp. NRRL S-104 - ST 18:71	GCF_001279445.1 | Streptomyces sp. WM6349 - ST 355:72	GCF_001279485.1 | Streptomyces sp. XY511 - ST 355:73	GCF_001279495.1 | Streptomyces sp. H021 - ST 357:74	GCF_001279685.1 | Streptomyces sp. WM6373 - ST 359:75	GCF_001279765.1 | Streptomyces sp. XY413 - ST 361:76	GCF_001279815.1 | Streptomyces sp. XY37 - ST 362:77	GCF_001279845.1 | Streptomyces sp. XY533 - ST 355:78	GCF_001279855.1 | Streptomyces sp. XY58 - ST 362:79	GCF_001279885.1 | Streptomyces sp. XY593 - ST 355:80	GCF_001279905.1 | Streptomyces sp. XY66 - ST 363:81	GCF_001279925.1 | Streptomyces sp. H036 - ST 355:82	GCF_001279935.1 | Streptomyces sp. IGB124 - ST 364:83	GCF_001279965.1 | Streptomyces sp. MMG1064 - ST 362:84	GCF_004795115.1 | Streptomyces sp. A0592 - ST 570:85	GCF_008086975.1 | Streptomyces sp. WAC5950 substr. delta orf15 pCRISPomyces - ST 593:86	GCF_014217585.1 | Streptomyces sp. INR7 - ST 355:87	GCF_017876235.1 | Streptomyces cinnamonensis DSM 40803 - ST 286:88
GCF_000718705.1 | Streptomyces lavendulae NRRL WC-3542 - ST 286:67	8354185	8445798	7445064	7462853	7424466	7336167	7663203	7380905	7379497	7380622	7411030	7985883	7399832	7978557	7404929	8079327	7387400	7408363	6620793	6651770	8016012	8105563
GCF_000719625.1 | Streptomyces sp. NRRL B-1322 - ST 286:68	8445798	8351943	7445208	7460588	7423581	7335001	7648749	7377510	7379157	7381406	7408689	7985458	7398784	7978025	7405124	8077940	7386869	7407053	6618318	6641588	8014338	8114834
GCF_000720235.1 | Streptomyces sp. NRRL S-98 - ST 18:69	7445064	7445208	8203792	7980680	8430625	6782219	7178982	7728406	7700131	7733818	7932885	7447519	7927307	7508858	7733165	7451299	7722983	7932228	6560869	6319360	7438333	7447751
GCF_000720455.1 | Streptomyces virginiae NRRL ISP-5094 - ST 18:70	7462853	7460588	7980680	8318538	7953983	6800660	7201272	7746256	7772801	7769021	7921408	7503709	7907318	7483413	7794301	7468747	7761870	7911343	6599152	6352719	7470758	7490491
GCF_000966965.1 | Streptomyces sp. NRRL S-104 - ST 18:71	7424466	7423581	8430625	7953983	8171095	6762458	7161318	7702644	7676785	7712109	7896302	7423347	7891209	7487883	7703919	7430544	7699686	7895527	6552109	6304774	7414246	7429251
GCF_001279445.1 | Streptomyces sp. WM6349 - ST 355:72	7336167	7335001	6782219	6800660	6762458	7608527	6910705	6723029	6731678	6743613	6748991	7263729	6740360	7283890	6736562	7635261	6741581	6748180	6059783	6682374	7308540	7388809
GCF_001279485.1 | Streptomyces sp. XY511 - ST 355:73	7663203	7648749	7178982	7201272	7161318	6910705	8052035	7103411	7106645	7120897	7129885	7623545	7124089	7669849	7124890	7631060	7130608	7131521	6379538	6409157	7607434	7668527
GCF_001279495.1 | Streptomyces sp. H021 - ST 357:74	7380905	7377510	7728406	7746256	7702644	6723029	7103411	8062295	7921907	7918362	7798675	7393146	7796162	7395168	7913194	7386137	7969209	7806029	6573110	6272994	7361977	7383533
GCF_001279685.1 | Streptomyces sp. WM6373 - ST 359:75	7379497	7379157	7700131	7772801	7676785	6731678	7106645	7921907	8269391	7988432	7779067	7411416	7774393	7383486	8016886	7386566	7989736	7788515	6589046	6288292	7380865	7407783
GCF_001279765.1 | Streptomyces sp. XY413 - ST 361:76	7380622	7381406	7733818	7769021	7712109	6743613	7120897	7918362	7988432	8565282	7796934	7393672	7794792	7399483	7982161	7432363	8135363	7805877	6589316	6297536	7380085	7415905
GCF_001279815.1 | Streptomyces sp. XY37 - ST 362:77	7411030	7408689	7932885	7921408	7896302	6748991	7129885	7798675	7779067	7796934	8149060	7391308	8179186	7418853	7788308	7411717	7812030	8253943	6521816	6291443	7379375	7404665
GCF_001279845.1 | Streptomyces sp. XY533 - ST 355:78	7985883	7985458	7447519	7503709	7423347	7263729	7623545	7393146	7411416	7393672	7391308	8278192	7391770	8000915	7417561	7985127	7393322	7397221	6602700	6673437	8034585	8016902
GCF_001279855.1 | Streptomyces sp. XY58 - ST 362:79	7399832	7398784	7927307	7907318	7891209	6740360	7124089	7796162	7774393	7794792	8179186	7391770	8142216	7411753	7794712	7404936	7799049	8306681	6517149	6295326	7369265	7393304
