	GCF_000359525.1 | Streptomyces albidoflavus J1074 - ST 39:387	GCF_000719495.1 | Streptomyces albidoflavus NRRL F-5621 - ST 295:389	GCF_001509565.1 | Streptomyces albidoflavus NRRL WC-3066 - ST 382:395	GCF_001865795.1 | Streptomyces albidoflavus OsiLf-2 - ST 411:396	GCF_002289335.1 | Streptomyces albidoflavus 132 - ST 447:397	GCF_002317005.1 | Streptomyces albidoflavus 38 - ST 447:398	GCF_002317025.1 | Streptomyces albidoflavus 138 - ST 447:399	GCF_004078575.1 | Streptomyces albidoflavus BSII#1 - ST 550:405	GCF_004195735.1 | Streptomyces albidoflavus DSM 40455 - ST 557:407	GCF_004195745.1 | Streptomyces albidoflavus NBRC 100770 - ST 558:408	GCF_004195755.1 | Streptomyces albidoflavus NBRC 13083 - ST 110:409	GCF_004195845.1 | Streptomyces albidoflavus CGMCC 4.1681 - ST 105:410	GCF_004195855.1 | Streptomyces albidoflavus FXJ.2339 - ST 148:411	GCF_004195885.1 | Streptomyces albidoflavus NBRC 12790 - ST 107:412	GCF_004195895.1 | Streptomyces albidoflavus Ma24 - ST 559:413	GCF_004195935.1 | Streptomyces albidoflavus CR33 - ST 144:414	GCF_004195945.1 | Streptomyces albidoflavus CR10 - ST 138:415	GCF_004195955.1 | Streptomyces albidoflavus CR25 - ST 144:416	GCF_004195965.1 | Streptomyces albidoflavus Ma1 - ST 152:417	GCF_004195995.1 | Streptomyces albidoflavus CR47 - ST 146:418	GCF_004196035.1 | Streptomyces albidoflavus CR19 - ST 143:419	GCF_004196145.1 | Streptomyces albidoflavus FXJ8.031 - ST 150:420	GCF_004196155.1 | Streptomyces albidoflavus CGMCC 4.1615 - ST 150:421	GCF_007896905.1 | Streptomyces albidoflavus 77 - ST 588:423	GCF_013693715.1 | Streptomyces albidoflavus J1074/R2 - ST 39:429	GCF_015601545.1 | Streptomyces albidoflavus W68 - ST 673:430	GCF_900171555.1 | Streptomyces albidoflavus R-53649 - ST 802:442
GCF_000359525.1 | Streptomyces albidoflavus J1074 - ST 39:387	1.0	0.9610837108	0.9909349266	0.9881187149	0.9791499415	0.9789267536	0.97886077	0.9616482645000001	0.9908454865	0.9908007858000001	0.9912430371000001	0.9906197147	0.9917860717	0.9914316326	0.9889699976	0.9869007149000001	0.9866479903	0.9868947429	0.9867566270000001	0.9870009894	0.9887503389000001	0.9891765997	0.9891779832	0.9888411617	0.9999333990000001	0.9610505854	0.9915539624
GCF_000719495.1 | Streptomyces albidoflavus NRRL F-5621 - ST 295:389	0.9610837108	1.0	0.96110987	0.9605847022	0.9604564286	0.9600185799000001	0.9600169151000001	0.9610735203	0.961233478	0.9612891455	0.961234075	0.9612718982	0.9609748357000001	0.9612123099000001	0.9609921689	0.9611595004000001	0.9609246817	0.9611469657	0.9608459471	0.9611010881000001	0.9612005224000001	0.9610946765	0.9610891309	0.9608385308	0.9610966606	0.9954875345	0.9611432772
GCF_001509565.1 | Streptomyces albidoflavus NRRL WC-3066 - ST 382:395	0.9909349266	0.96110987	1.0	0.9880345524	0.9786714315	0.9784381508000001	0.9783858151	0.9615334391	0.9928654745000001	0.9929161681	0.9914663408000001	0.9908222599000001	0.9916667187	0.9920627042000001	0.9887988313	0.9865941707	0.9865020043	0.9865849147	0.9866760563	0.9868618384000001	0.9886233246	0.9889607254	0.9889302296	0.9887383635	0.9909464356000001	0.96112607	0.9907602113
GCF_001865795.1 | Streptomyces albidoflavus OsiLf-2 - ST 411:396	0.9881187149	0.9605847022	0.9880345524	1.0	0.9788382769	0.9785820906	0.9785151643000001	0.9611741891000001	0.9881720225	0.9881087639	0.9880389523	0.9878402132	0.9880291354	0.9879580787000001	0.9884128782	0.9860223514	0.9860101456	0.9859872872000001	0.9860489797	0.9863149899	0.9883440329000001	0.9881693418	0.9881792821000001	0.9880888185000001	0.9881676428	0.9603195635	0.9880221216
GCF_002289335.1 | Streptomyces albidoflavus 132 - ST 447:397	0.9791499415	0.9604564286	0.9786714315	0.9788382769	1.0	0.9997202069000001	0.9997108708	0.9605713778	0.9789392864	0.9790401661	0.9788703786	0.9788516988	0.9788201548000001	0.9787503231	0.9794692316	0.9786852916000001	0.9782569277000001	0.9786853151	0.9785878435	0.9787072532000001	0.979252192	0.9791860560000001	0.9792044935	0.9787580587	0.9791759558	0.9602905920000001	0.9789637654000001
GCF_002317005.1 | Streptomyces albidoflavus 38 - ST 447:398	0.9789267536	0.9600185799000001	0.9784381508000001	0.9785820906	0.9997202069000001	1.0	0.9997568395	0.9605038811000001	0.9787824859	0.9788061457	0.9786854704000001	0.9786008771	0.9785636581	0.9785475804	0.9792587974	0.9784719025	0.9780609648	0.978472671	0.9784095897	0.9784845585	0.9791535519000001	0.9790695151000001	0.9790805208000001	0.9784800360000001	0.9789703731	0.9599752634000001	0.9787596376000001
GCF_002317025.1 | Streptomyces albidoflavus 138 - ST 447:399	0.97886077	0.9600169151000001	0.9783858151	0.9785151643000001	0.9997108708	0.9997568395	1.0	0.9604136369	0.9786582292	0.9787339113	0.9785736154	0.9784469456	0.9784850095000001	0.9785134303	0.9791787753000001	0.9784570924	0.9779589914000001	0.9784503118000001	0.9783200847	0.9784808534	0.9790342543	0.9790069421	0.9789918697000001	0.9784507919000001	0.9788590515000001	0.9599828158	0.9786909296
GCF_004078575.1 | Streptomyces albidoflavus BSII#1 - ST 550:405	0.9616482645000001	0.9610735203	0.9615334391	0.9611741891000001	0.9605713778	0.9605038811000001	0.9604136369	1.0	0.9615824794000001	0.9615387948	0.9616674518	0.9614481058000001	0.9615590414	0.9615968984000001	0.9617819527	0.9617804018	0.9615200098000001	0.9617638274	0.9616975663	0.961761449	0.9619680444	0.9618762091	0.9618926132000001	0.9613371812	0.9617129548000001	0.9610676523	0.9615639364
GCF_004195735.1 | Streptomyces albidoflavus DSM 40455 - ST 557:407	0.9908454865	0.961233478	0.9928654745000001	0.9881720225	0.9789392864	0.9787824859	0.9786582292	0.9615824794000001	1.0	0.9956927702	0.9914590362000001	0.9908080304	0.9917012142	0.9917605570000001	0.9888873677000001	0.9865761936	0.9866030957	0.9865214984	0.9868468611000001	0.9868566683000001	0.9886978645000001	0.9889482474000001	0.9889393691	0.9886954709	0.9908614571000001	0.9611230472000001	0.9906560939000001
GCF_004195745.1 | Streptomyces albidoflavus NBRC 100770 - ST 558:408	0.9908007858000001	0.9612891455	0.9929161681	0.9881087639	0.9790401661	0.9788061457	0.9787339113	0.9615387948	0.9956927702	1.0	0.9914279220000001	0.9907938603	0.9914434122	0.9915053212	0.9887349345	0.9865843	0.9866465069	0.9865489554	0.9868196300000001	0.9868616952	0.9883265701	0.9889233447	0.9889458648	0.9886782066	0.9908345094000001	0.9611490836000001	0.9904953743
