	GCF_000738715.1 | Streptomyces scabiei NCPPB 4066 - ST 327:97	GCF_001005405.1 | Streptomyces scabiei NRRL B-16523 - ST 327:98	GCF_001485125.1 | Streptomyces scabiei S58 - ST 381:99	GCF_001550215.1 | Streptomyces scabiei 85-08 - ST 392:100	GCF_001550225.1 | Streptomyces scabiei 95-18 - ST 393:101	GCF_001550245.1 | Streptomyces scabiei 84-34 - ST 327:102	GCF_001550295.1 | Streptomyces scabiei 96-15 - ST 394:103	GCF_001572115.1 | Streptomyces scabiei 84-232 - ST 395:104	GCF_001579685.1 | Streptomyces scabiei 96-06 - ST 396:105	GCF_003584815.1 | Streptomyces scabiei ST129 - ST 393:106	GCF_017933115.1 | Streptomyces sp. LBUM 1482 - ST 393:107	GCF_017933235.1 | Streptomyces sp. LBUM 1480 - ST 757:108	GCF_017933255.1 | Streptomyces sp. LBUM 1475 - ST 393:109	GCF_017968905.1 | Streptomyces sp. LBUM 1487 - ST 393:110	GCF_017968935.1 | Streptomyces sp. LBUM 1488 - ST 393:111	GCF_017968965.1 | Streptomyces sp. LBUM 1486 - ST 757:112	GCF_017969005.1 | Streptomyces sp. LBUM 1483 - ST 758:113	GCF_017969025.1 | Streptomyces sp. LBUM 1481 - ST 759:114	GCF_017969045.1 | Streptomyces sp. LBUM 1477 - ST 393:115
GCF_000738715.1 | Streptomyces scabiei NCPPB 4066 - ST 327:97	1	12453	259872	53992	46534	9565	15226	47637	36026	47892	54778	53823	53788	57947	54219	52229	55361	60901	56891
GCF_001005405.1 | Streptomyces scabiei NRRL B-16523 - ST 327:98	12453	1	240951	45451	37855	3393	9827	39115	30029	41175	43519	42203	42018	46008	42499	41055	43992	49081	45072
GCF_001485125.1 | Streptomyces scabiei S58 - ST 381:99	259872	240951	1	243309	240064	240559	214603	243186	213545	236707	252654	252367	254822	252902	250588	252496	263595	263702	249762
GCF_001550215.1 | Streptomyces scabiei 85-08 - ST 392:100	53992	45451	243309	1	37659	45315	39800	42188	35120	36051	39939	37530	40641	43492	40769	37749	43576	50107	40777
GCF_001550225.1 | Streptomyces scabiei 95-18 - ST 393:101	46534	37855	240064	37659	1	38301	35992	36714	32472	9051	39795	35538	36953	42595	40338	38777	40801	45179	40941
GCF_001550245.1 | Streptomyces scabiei 84-34 - ST 327:102	9565	3393	240559	45315	38301	1	8837	38943	29814	40053	42487	41738	41509	45546	41816	40197	43539	49551	44486
GCF_001550295.1 | Streptomyces scabiei 96-15 - ST 394:103	15226	9827	214603	39800	35992	8837	1	39312	33236	38425	41315	37570	44148	42472	40849	39003	42954	48299	42149
GCF_001572115.1 | Streptomyces scabiei 84-232 - ST 395:104	47637	39115	243186	42188	36714	38943	39312	1	15325	35718	37397	39049	39787	42600	42681	33385	38159	37824	39645
GCF_001579685.1 | Streptomyces scabiei 96-06 - ST 396:105	36026	30029	213545	35120	32472	29814	33236	15325	1	31074	35072	33277	33882	38898	40170	29815	36501	42537	37749
GCF_003584815.1 | Streptomyces scabiei ST129 - ST 393:106	47892	41175	236707	36051	9051	40053	38425	35718	31074	1	41365	36564	37376	43445	39276	39537	42332	46091	44100
GCF_017933115.1 | Streptomyces sp. LBUM 1482 - ST 393:107	54778	43519	252654	39939	39795	42487	41315	37397	35072	41365	1	39446	3428	4969	6875	41409	38213	42084	4444
GCF_017933235.1 | Streptomyces sp. LBUM 1480 - ST 757:108	53823	42203	252367	37530	35538	41738	37570	39049	33277	36564	39446	1	41917	42634	43084	1695	43926	50431	41484
GCF_017933255.1 | Streptomyces sp. LBUM 1475 - ST 393:109	53788	42018	254822	40641	36953	41509	44148	39787	33882	37376	3428	41917	1	7350	11233	38974	43048	44958	7275
GCF_017968905.1 | Streptomyces sp. LBUM 1487 - ST 393:110	57947	46008	252902	43492	42595	45546	42472	42600	38898	43445	4969	42634	7350	1	6496	41887	40958	46308	3390
GCF_017968935.1 | Streptomyces sp. LBUM 1488 - ST 393:111	54219	42499	250588	40769	40338	41816	40849	42681	40170	39276	6875	43084	11233	6496	1	40523	40710	46098	6881
GCF_017968965.1 | Streptomyces sp. LBUM 1486 - ST 757:112	52229	41055	252496	37749	38777	40197	39003	33385	29815	39537	41409	1695	38974	41887	40523	1	44221	48479	40361
GCF_017969005.1 | Streptomyces sp. LBUM 1483 - ST 758:113	55361	43992	263595	43576	40801	43539	42954	38159	36501	42332	38213	43926	43048	40958	40710	44221	1	5752	39152
GCF_017969025.1 | Streptomyces sp. LBUM 1481 - ST 759:114	60901	49081	263702	50107	45179	49551	48299	37824	42537	46091	42084	50431	44958	46308	46098	48479	5752	1	44353
GCF_017969045.1 | Streptomyces sp. LBUM 1477 - ST 393:115	56891	45072	249762	40777	40941	44486	42149	39645	37749	44100	4444	41484	7275	3390	6881	40361	39152	44353	1
