	GCF_000220705.2 | Streptomyces xinghaiensis S187 - ST 233:637	GCF_000700005.2 | Streptomyces xinghaiensis ATCC 19609 - ST 266:638	GCF_002966105.1 | Streptomyces xinghaiensis OlgR2-7A - ST 266:641	GCF_003122345.2 | Streptomyces xinghaiensis OlgR - ST 266:642
GCF_000220705.2 | Streptomyces xinghaiensis S187 - ST 233:637	1	236828	236638	237005
GCF_000700005.2 | Streptomyces xinghaiensis ATCC 19609 - ST 266:638	236828	1	301	225
GCF_002966105.1 | Streptomyces xinghaiensis OlgR2-7A - ST 266:641	236638	301	1	380
GCF_003122345.2 | Streptomyces xinghaiensis OlgR - ST 266:642	237005	225	380	1
