	GCF_000010605.1 | Streptomyces griseus NBRC 13350 - ST 12:1	GCF_000717795.1 | Streptomyces griseus NRRL WC-3480 - ST 275:9	GCF_001723115.1 | Streptomyces griseus NRRL B-2165 - ST 12:18	GCF_003610995.1 | Streptomyces griseus ATCC 13273 - ST 509:37	GCF_009866455.1 | Streptomyces griseus CGMCC 4.18 - ST 12:42	GCF_014655335.1 | Streptomyces griseus JCM 4516 - ST 718:54	GCF_900105705.1 | Streptomyces griseus DSM 40236 - ST 12:65	GCF_900460065.1 | Streptomyces griseus NCTC13033 - ST 12:66	GCF_000718525.1 | Streptomyces griseus NRRL B-2621 - ST 284:217	GCF_000721035.1 | Streptomyces griseus NRRL B-2621 - ST 284:218	GCF_000719355.1 | Streptomyces griseus NRRL F-5144 - ST 292:248	GCF_000718205.1 | Streptomyces griseus NRRL B-2931 - ST 280:607	GCF_000718235.1 | Streptomyces griseus NRRL B-2932 - ST 281:608	GCF_000719035.1 | Streptomyces griseus NRRL B-1691 - ST 280:612	GCF_000721205.1 | Streptomyces griseus NRRL B-2930 - ST 280:617	GCF_000721575.1 | Streptomyces griseus NRRL F-2227 - ST 317:618	GCF_001270675.1 | Streptomyces griseus NRRL B-2929 - ST 280:619
GCF_000010605.1 | Streptomyces griseus NBRC 13350 - ST 12:1	1	69095	3922	552901	1025	501762	455	442	307285	307255	512084	545878	543561	545377	545427	543359	545731
GCF_000717795.1 | Streptomyces griseus NRRL WC-3480 - ST 275:9	69095	1	66490	549418	70135	489130	71496	70551	308002	308058	499515	536529	535635	536154	536173	532289	536392
GCF_001723115.1 | Streptomyces griseus NRRL B-2165 - ST 12:18	3922	66490	1	509783	4331	460569	4149	3890	289932	289865	471612	504365	501901	504207	503655	502325	504317
GCF_003610995.1 | Streptomyces griseus ATCC 13273 - ST 509:37	552901	549418	509783	1	551887	553197	553324	549326	305016	305291	547732	510163	509185	509976	509739	517385	510159
GCF_009866455.1 | Streptomyces griseus CGMCC 4.18 - ST 12:42	1025	70135	4331	551887	1	502424	1099	1052	307202	307175	512040	547286	543565	546892	546955	543693	546925
GCF_014655335.1 | Streptomyces griseus JCM 4516 - ST 718:54	501762	489130	460569	553197	502424	1	501821	498384	313707	313968	487989	520851	520059	520489	520479	521509	520574
GCF_900105705.1 | Streptomyces griseus DSM 40236 - ST 12:65	455	71496	4149	553324	1099	501821	1	489	307132	307103	513025	545922	543475	545455	545812	543145	545626
GCF_900460065.1 | Streptomyces griseus NCTC13033 - ST 12:66	442	70551	3890	549326	1052	498384	489	1	305560	305524	508387	541591	539157	541343	541245	539364	541342
GCF_000718525.1 | Streptomyces griseus NRRL B-2621 - ST 284:217	307285	308002	289932	305016	307202	313707	307132	305560	1	1412	308206	308292	306111	308073	308008	305901	308210
GCF_000721035.1 | Streptomyces griseus NRRL B-2621 - ST 284:218	307255	308058	289865	305291	307175	313968	307103	305524	1412	1	308395	308525	306442	308300	308470	305874	308440
GCF_000719355.1 | Streptomyces griseus NRRL F-5144 - ST 292:248	512084	499515	471612	547732	512040	487989	513025	508387	308206	308395	1	519956	516209	520081	519950	519405	519834
GCF_000718205.1 | Streptomyces griseus NRRL B-2931 - ST 280:607	545878	536529	504365	510163	547286	520851	545922	541591	308292	308525	519956	1	82567	1469	1854	97641	1532
GCF_000718235.1 | Streptomyces griseus NRRL B-2932 - ST 281:608	543561	535635	501901	509185	543565	520059	543475	539157	306111	306442	516209	82567	1	82765	83671	96870	82529
GCF_000719035.1 | Streptomyces griseus NRRL B-1691 - ST 280:612	545377	536154	504207	509976	546892	520489	545455	541343	308073	308300	520081	1469	82765	1	1669	97687	1492
GCF_000721205.1 | Streptomyces griseus NRRL B-2930 - ST 280:617	545427	536173	503655	509739	546955	520479	545812	541245	308008	308470	519950	1854	83671	1669	1	98035	1793
GCF_000721575.1 | Streptomyces griseus NRRL F-2227 - ST 317:618	543359	532289	502325	517385	543693	521509	543145	539364	305901	305874	519405	97641	96870	97687	98035	1	97497
GCF_001270675.1 | Streptomyces griseus NRRL B-2929 - ST 280:619	545731	536392	504317	510159	546925	520574	545626	541342	308210	308440	519834	1532	82529	1492	1793	97497	1
