	GCF_001729485.1 | Streptomyces lydicus 103 - ST 405:331	GCF_001984445.1 | Streptomyces lydicus 23 - ST 428:332	GCF_004125245.1 | Streptomyces lydicus ATCC 25470 - ST 58:334	GCF_003994375.1 | Streptomyces lydicus WYEC 108 - ST 547:681	GCF_004125265.1 | Streptomyces lydicus ATCC 31975 - ST 554:682	GCF_004125275.1 | Streptomyces lydicus SW_ACT1 - ST 547:683
GCF_001729485.1 | Streptomyces lydicus 103 - ST 405:331	1	349197	332910	575159	533650	574624
GCF_001984445.1 | Streptomyces lydicus 23 - ST 428:332	349197	1	52148	575891	539128	575887
GCF_004125245.1 | Streptomyces lydicus ATCC 25470 - ST 58:334	332910	52148	1	563047	532024	563043
GCF_003994375.1 | Streptomyces lydicus WYEC 108 - ST 547:681	575159	575891	563047	1	525777	204
GCF_004125265.1 | Streptomyces lydicus ATCC 31975 - ST 554:682	533650	539128	532024	525777	1	525952
GCF_004125275.1 | Streptomyces lydicus SW_ACT1 - ST 547:683	574624	575887	563043	204	525952	1
