	GCF_007896895.1 | Streptomyces misionensis 66 - ST 587:472	GCF_013423905.1 | Streptomyces sp. NEAU-sy36 - ST 685:473	GCF_900079405.2 | Streptomyces sp. nan - ST 788:474	GCF_900104815.1 | Streptomyces misionensis DSM 40306 - ST 795:475
GCF_007896895.1 | Streptomyces misionensis 66 - ST 587:472	1	342607	332033	340390
GCF_013423905.1 | Streptomyces sp. NEAU-sy36 - ST 685:473	342607	1	170878	177791
GCF_900079405.2 | Streptomyces sp. nan - ST 788:474	332033	170878	1	50929
GCF_900104815.1 | Streptomyces misionensis DSM 40306 - ST 795:475	340390	177791	50929	1
