	GCF_000718705.1 | Streptomyces lavendulae NRRL WC-3542 - ST 286:67	GCF_000719625.1 | Streptomyces sp. NRRL B-1322 - ST 286:68	GCF_000720235.1 | Streptomyces sp. NRRL S-98 - ST 18:69	GCF_000720455.1 | Streptomyces virginiae NRRL ISP-5094 - ST 18:70	GCF_000966965.1 | Streptomyces sp. NRRL S-104 - ST 18:71	GCF_001279445.1 | Streptomyces sp. WM6349 - ST 355:72	GCF_001279485.1 | Streptomyces sp. XY511 - ST 355:73	GCF_001279495.1 | Streptomyces sp. H021 - ST 357:74	GCF_001279685.1 | Streptomyces sp. WM6373 - ST 359:75	GCF_001279765.1 | Streptomyces sp. XY413 - ST 361:76	GCF_001279815.1 | Streptomyces sp. XY37 - ST 362:77	GCF_001279845.1 | Streptomyces sp. XY533 - ST 355:78	GCF_001279855.1 | Streptomyces sp. XY58 - ST 362:79	GCF_001279885.1 | Streptomyces sp. XY593 - ST 355:80	GCF_001279905.1 | Streptomyces sp. XY66 - ST 363:81	GCF_001279925.1 | Streptomyces sp. H036 - ST 355:82	GCF_001279935.1 | Streptomyces sp. IGB124 - ST 364:83	GCF_001279965.1 | Streptomyces sp. MMG1064 - ST 362:84	GCF_004795115.1 | Streptomyces sp. A0592 - ST 570:85	GCF_008086975.1 | Streptomyces sp. WAC5950 substr. delta orf15 pCRISPomyces - ST 593:86	GCF_014217585.1 | Streptomyces sp. INR7 - ST 355:87	GCF_017876235.1 | Streptomyces cinnamonensis DSM 40803 - ST 286:88
GCF_000718705.1 | Streptomyces lavendulae NRRL WC-3542 - ST 286:67	1	1948	262321	265737	257900	37349	44405	262999	262369	263331	264922	42386	264110	43531	264511	40588	263945	264314	469902	32872	41686	45125
GCF_000719625.1 | Streptomyces sp. NRRL B-1322 - ST 286:68	1948	1	261958	264797	257492	36839	43116	262049	262148	263263	263763	41682	263216	43196	264181	40054	263328	263523	468955	32654	41032	44715
GCF_000720235.1 | Streptomyces sp. NRRL S-98 - ST 18:69	262321	261958	1	33570	1684	231156	246130	66212	65387	64777	62185	260551	61985	265041	63930	262496	64506	61849	464749	202671	262268	261464
GCF_000720455.1 | Streptomyces virginiae NRRL ISP-5094 - ST 18:70	265737	264797	33570	1	31590	233515	248906	63819	65440	64618	59107	265430	58779	265730	62688	265192	62149	58716	468878	205702	265809	266804
GCF_000966965.1 | Streptomyces sp. NRRL S-104 - ST 18:71	257900	257492	1684	31590	1	227022	241955	62804	62758	61802	59296	255583	59106	260273	60852	257988	62019	59103	462402	200124	257562	257112
GCF_001279445.1 | Streptomyces sp. WM6349 - ST 355:72	37349	36839	231156	233515	227022	1	33878	232379	232459	233527	233997	35245	232938	35973	233675	2716	234609	233533	416562	29808	36112	34498
GCF_001279485.1 | Streptomyces sp. XY511 - ST 355:73	44405	43116	246130	248906	241955	33878	1	245753	244837	246353	247121	35380	246243	36397	246585	37022	248091	247047	441111	28094	34033	39579
GCF_001279495.1 | Streptomyces sp. H021 - ST 357:74	262999	262049	66212	63819	62804	232379	245753	1	26319	31468	31830	261547	31944	263239	31610	262681	28682	31309	466028	204818	261611	261535
GCF_001279685.1 | Streptomyces sp. WM6373 - ST 359:75	262369	262148	65387	65440	62758	232459	244837	26319	1	32685	30506	262204	30747	262340	33751	261312	29406	30462	466585	205294	261615	263544
GCF_001279765.1 | Streptomyces sp. XY413 - ST 361:76	263331	263263	64777	64618	61802	233527	246353	31468	32685	1	35884	262272	36085	264595	35493	265364	35355	35726	467274	206027	263179	264036
GCF_001279815.1 | Streptomyces sp. XY37 - ST 362:77	264922	263763	62185	59107	59296	233997	247121	31830	30506	35884	1	262263	1914	264425	35866	264018	33305	1663	462202	204621	262055	263588
GCF_001279845.1 | Streptomyces sp. XY533 - ST 355:78	42386	41682	260551	265430	255583	35245	35380	261547	262204	262272	262263	1	262114	38549	264581	36967	261961	261985	464901	30052	38027	37784
