ST,accession,organism,16S_copies
2,GCF_016906225.1,Streptomyces californicus,5
2,GCF_016906245.1,Streptomyces californicus,6
2,GCF_000715745.1,Streptomyces californicus,1
2,GCF_000717645.1,Streptomyces californicus,1
2,GCF_000717965.1,Streptomyces purpeochromogenes,1
2,GCF_000718245.1,Streptomyces californicus,1
2,GCF_016906205.1,Streptomyces californicus,6
2,GCF_016906185.1,Streptomyces californicus,5
2,GCF_000720065.1,Streptomyces sp.,1
2,GCF_000718615.1,Streptomyces purpeochromogenes,1
9,GCF_000717025.1,Streptomyces atroolivaceus,1
11,GCF_000725545.1,Streptomyces exfoliatus,1
11,GCF_000718175.1,Streptomyces exfoliatus,1
12,GCF_009866455.1,Streptomyces griseus,1
12,GCF_009862245.1,Streptomyces sp.,6
12,GCF_001723115.1,Streptomyces griseus,1
12,GCF_000010605.1,Streptomyces griseus,6
12,GCF_900105705.1,Streptomyces griseus,6
12,GCF_900460065.1,Streptomyces griseus,4
16,GCF_001418465.1,Streptomyces kanamyceticus,1
16,GCF_008704495.1,Streptomyces kanamyceticus,3
17,GCF_003182455.1,Streptomyces venezuelae,1
17,GCF_001886595.1,Streptomyces venezuelae,4
17,GCF_008639165.1,Streptomyces venezuelae,5
18,GCF_000720455.1,Streptomyces virginiae,1
18,GCF_000720235.1,Streptomyces sp.,1
18,GCF_000966965.1,Streptomyces sp.,1
20,GCF_002154575.1,Streptomyces bobili,1
24,GCF_002154385.1,Streptomyces albovinaceus,1
25,GCF_004028635.1,Streptomyces cyaneus,1
29,GCF_001700505.1,Streptomyces mutomycini,1
32,GCF_014650935.1,Streptomyces subrutilus,1
32,GCF_008704535.1,Streptomyces subrutilus,6
38,GCF_000716935.1,Streptomyces alboviridis,1
39,GCF_009862345.1,Streptomyces sp.,5
39,GCF_000359525.1,Streptomyces albidoflavus,5
39,GCF_013693715.1,Streptomyces albidoflavus,4
45,GCF_016755855.1,Streptomyces nojiriensis,7
45,GCF_014648615.1,Streptomyces nojiriensis,1
45,GCF_017639205.1,Streptomyces nojiriensis,7
47,GCF_016755875.1,Streptomyces spororaveus,7
49,GCF_000717665.1,Streptomyces californicus,1
51,GCF_013167895.1,Streptomyces fulvorobeus,3
51,GCF_013409565.1,Streptomyces fulvorobeus,3
52,GCF_000720485.1,Streptomyces ochraceiscleroticus,1
55,GCF_001723055.1,Streptomyces niveus,1
56,GCF_001553475.1,Streptomyces hygroscopicus,1
56,GCF_001553455.1,Streptomyces hygroscopicus,1
58,GCF_004125245.1,Streptomyces lydicus,7
59,GCF_009811635.1,Streptomyces tubercidicus,7
60,GCF_001294335.1,Streptomyces chattanoogensis,1
66,GCF_009811555.1,Streptomyces caniferus,7
67,GCF_005405925.1,Streptomyces antimycoticus,1
69,GCF_014648695.1,Streptomyces albospinus,1
78,GCF_001553435.1,Streptomyces hygroscopicus,1
78,GCF_001570645.1,Streptomyces hygroscopicus,1
82,GCF_001270575.1,Streptomyces decoyicus,1
85,GCF_003970715.1,Streptomyces luteoverticillatus,6
91,GCF_002727115.1,Streptomyces cinnamoneus,8
91,GCF_002939475.1,Streptomyces cinnamoneus,3
92,GCF_009811595.1,Streptomyces libani,4
93,GCF_016834575.1,Streptomyces sp.,1
94,GCF_002154275.1,Streptomyces antimycoticus,1
95,GCF_009936315.1,Streptomyces antimycoticus,3
98,GCF_018138705.1,Streptomyces indonesiensis,2
98,GCF_018138715.1,Streptomyces asiaticus,4
99,GCF_017942185.1,Streptomyces rhizosphaericus,5
99,GCF_002155885.1,Streptomyces rhizosphaericus,1
103,GCF_000715845.1,Streptomyces monomycini,1
105,GCF_004195845.1,Streptomyces albidoflavus,1
105,GCF_009864985.1,Streptomyces sp.,1
107,GCF_004195885.1,Streptomyces albidoflavus,1
110,GCF_004195755.1,Streptomyces albidoflavus,1
120,GCF_016612755.1,Streptomyces sp.,1
123,GCF_001514195.1,Streptomyces griseorubiginosus,1
124,GCF_014070435.1,Streptomyces pristinaespiralis,5
124,GCF_001278075.1,Streptomyces pristinaespiralis,6
125,GCF_008704555.1,Streptomyces nitrosporeus,6
125,GCF_014650375.1,Streptomyces nitrosporeus,1
128,GCF_016906265.1,Streptomyces californicus,6
129,GCF_002155905.1,Streptomyces tricolor,1
138,GCF_004195945.1,Streptomyces albidoflavus,1
143,GCF_004196035.1,Streptomyces albidoflavus,1
144,GCF_004195935.1,Streptomyces albidoflavus,1
144,GCF_004195955.1,Streptomyces albidoflavus,1
146,GCF_004195995.1,Streptomyces albidoflavus,1
148,GCF_004195855.1,Streptomyces albidoflavus,1
150,GCF_004196155.1,Streptomyces albidoflavus,1
150,GCF_004196145.1,Streptomyces albidoflavus,1
151,GCF_009865085.1,Streptomyces sp.,1
152,GCF_004195965.1,Streptomyces albidoflavus,1
155,GCF_000716675.1,Streptomyces alboflavus,1
155,GCF_000719015.1,Streptomyces ruber,1
155,GCF_000725575.1,Streptomyces ruber,1
156,GCF_001418125.1,Streptomyces albus,1
156,GCF_001418545.1,Streptomyces albus,1
156,GCF_001661615.1,Streptomyces albus,1
156,GCF_000813365.1,Streptomyces albus,1
157,GCF_002154415.1,Streptomyces angustmyceticus,1
160,GCF_000009765.2,Streptomyces avermitilis,6
160,GCF_009862865.1,Streptomyces sp.,6
160,GCF_005406005.1,Streptomyces avermitilis,5
160,GCF_005405965.1,Streptomyces avermitilis,5
160,GCF_000764715.1,Streptomyces avermitilis,1
160,GCF_002017835.1,Streptomyces avermitilis,5
160,GCF_001514135.1,Streptomyces avermitilis,1
162,GCF_000340335.1,Streptomyces bottropensis,1
162,GCF_000383595.1,Streptomyces bottropensis,6
162,GCF_009870085.1,Streptomyces sp.,1
167,GCF_015767775.1,Streptomyces clavuligerus,5
167,GCF_015767795.1,Streptomyces clavuligerus,5
167,GCF_015767815.1,Streptomyces clavuligerus,4
167,GCF_015767855.1,Streptomyces clavuligerus,5
167,GCF_015767875.1,Streptomyces clavuligerus,5
167,GCF_015767895.1,Streptomyces clavuligerus,4
167,GCF_015912995.1,Streptomyces clavuligerus,1
167,GCF_015767915.1,Streptomyces clavuligerus,5
167,GCF_015767935.1,Streptomyces clavuligerus,5
167,GCF_015912395.1,Streptomyces clavuligerus,1
167,GCF_015912435.1,Streptomyces clavuligerus,1
167,GCF_015912455.1,Streptomyces clavuligerus,1
167,GCF_015767755.1,Streptomyces clavuligerus,5
167,GCF_015912465.1,Streptomyces clavuligerus,1
167,GCF_015912875.1,Streptomyces clavuligerus,1
167,GCF_015912895.1,Streptomyces clavuligerus,1
167,GCF_015912985.1,Streptomyces clavuligerus,1
167,GCF_015912975.1,Streptomyces clavuligerus,1
167,GCF_015767735.1,Streptomyces clavuligerus,5
167,GCF_015912925.1,Streptomyces clavuligerus,1
167,GCF_000148465.1,Streptomyces clavuligerus,3
167,GCF_000163875.1,Streptomyces clavuligerus,4
167,GCF_001693675.1,Streptomyces clavuligerus,6
167,GCF_003454755.1,Streptomyces clavuligerus,6
167,GCF_005519465.1,Streptomyces clavuligerus,5
167,GCF_015708605.1,Streptomyces clavuligerus,5
167,GCF_015912945.1,Streptomyces clavuligerus,1
168,GCF_008931305.1,Streptomyces coelicolor,4
168,GCF_004368945.1,Streptomyces coelicolor,1
168,GCF_008124905.1,Streptomyces coelicolor,1
168,GCF_004368985.1,Streptomyces coelicolor,1
168,GCF_008124965.1,Streptomyces coelicolor,1
168,GCF_009862445.1,Streptomyces sp.,4
168,GCF_008124915.1,Streptomyces coelicolor,1
168,GCF_013317105.1,Streptomyces coelicolor,4
168,GCF_008125015.1,Streptomyces coelicolor,1
168,GCF_013307045.1,Streptomyces coelicolor,1
168,GCF_008124985.1,Streptomyces coelicolor,1
168,GCF_008124975.1,Streptomyces coelicolor,1
168,GCF_008125035.1,Streptomyces coelicolor,1
173,GCF_000955965.1,Streptomyces variegatus,1
173,GCF_000725785.1,Streptomyces flavovariabilis,1
174,GCF_000385945.1,Streptomyces fulvissimus,6
180,GCF_001418475.1,Streptomyces ossamyceticus,1
181,GCF_000717055.1,Streptomyces iakyrus,1
182,GCF_006547165.1,Streptomyces ipomoeae,1
183,GCF_000966975.1,Streptomyces katrae,1
184,GCF_000718155.1,Streptomyces lavendulae,1
185,GCF_000718625.1,Streptomyces lavenduligriseus,1
185,GCF_011820545.1,Streptomyces sp.,4
186,GCF_000696595.1,Streptomyces leeuwenhoekii,1
190,GCF_000342125.1,Streptomyces mobaraensis,1
191,GCF_001418645.1,Streptomyces neyagawaensis,1
193,GCF_000819545.1,Streptomyces nodosus,1
194,GCF_000716875.1,Streptomyces novaecaesareae,1
194,GCF_000717725.1,Streptomyces pyridomyceticus,1
195,GCF_000721235.1,Streptomyces olivaceus,1
202,GCF_000367365.1,Streptomyces prunicolor,1
204,GCF_000384175.1,Streptomyces purpureus,2
206,GCF_001270505.1,Streptomyces resistomycificus,1
206,GCF_001514265.1,Streptomyces resistomycificus,1
206,GCF_000716215.1,Streptomyces resistomycificus,1
219,GCF_009862895.1,Streptomyces sp.,1
220,GCF_003073355.1,Streptomyces scopuliridis,1
220,GCF_000718095.1,Streptomyces scopuliridis,1
226,GCF_000718635.1,Streptomyces varsoviensis,1
226,GCF_000719255.1,Streptomyces varsoviensis,1
227,GCF_000830005.1,Streptomyces vietnamensis,7
230,GCF_001445835.1,Streptomyces vitaminophilus,1
230,GCF_000380165.1,Streptomyces vitaminophilus,1
231,GCF_001270515.1,Streptomyces viridochromogenes,1
231,GCF_000716445.1,Streptomyces wedmorensis,1
232,GCF_000725805.1,Streptomyces xanthophaeus,1
233,GCF_000220705.2,Streptomyces xinghaiensis,2
234,GCF_000745345.1,Streptomyces yeochonensis,5
236,GCF_000225525.1,Streptomyces zinciresistens,1
238,GCF_000092385.1,Streptomyces bingchenggensis,6
239,GCF_000147815.2,Streptomyces violaceusniger,4
240,GCF_000177175.2,Streptomyces sp.,3
240,GCF_009863155.1,Streptomyces sp.,3
241,GCF_900095575.1,Streptomyces sp.,1
241,GCF_900091715.1,Streptomyces sp.,1
241,GCF_009865465.1,Streptomyces sp.,6
241,GCF_009863165.1,Streptomyces sp.,1
241,GCF_009862475.1,Streptomyces sp.,1
241,GCF_009862105.1,Streptomyces sp.,1
241,GCF_000177195.2,Streptomyces sp.,6
241,GCF_000382745.1,Streptomyces sp.,1
242,GCF_000226455.1,Streptomyces chartreusis,1
242,GCF_900236505.1,Streptomyces chartreusis,6
242,GCF_009862985.1,Streptomyces sp.,1
242,GCF_900236475.1,Streptomyces chartreusis,6
243,GCF_000239075.1,Streptomyces sp.,1
244,GCF_000241835.1,Streptomyces coelicoflavus,5
244,GCF_009872595.1,Streptomyces sp.,5
245,GCF_000340845.1,Streptomyces hygroscopicus,1
245,GCF_000245355.1,Streptomyces hygroscopicus,1
246,GCF_009862215.1,Streptomyces sp.,1
246,GCF_000253235.1,Streptomyces venezuelae,1
247,GCF_000261345.2,Streptomyces globisporus,6
248,GCF_000297635.1,Streptomyces sp.,1
249,GCF_000299175.2,Streptomyces sp.,1
250,GCF_000317595.1,Streptomyces ipomoeae,7
251,GCF_000718295.1,Streptomyces capuensis,1
251,GCF_000718865.1,Streptomyces rimosus,1
251,GCF_000721045.1,Streptomyces rimosus,1
251,GCF_000720605.1,Streptomyces rimosus,1
251,GCF_000720715.1,Streptomyces rimosus,1
251,GCF_000721155.1,Streptomyces lavendulae,1
251,GCF_000718855.1,Streptomyces lavendulae,1
251,GCF_000717285.1,Streptomyces rimosus,1
251,GCF_000720565.1,Streptomyces rimosus,1
251,GCF_000718715.1,Streptomyces rimosus,1
251,GCF_000718815.1,Streptomyces sp.,1
251,GCF_000716845.1,Streptomyces capuensis,1
251,GCF_000707925.2,Streptomyces rimosus,3
251,GCF_000718835.1,Streptomyces rimosus,1
251,GCF_009862935.1,Streptomyces sp.,1
251,GCF_001279025.1,Streptomyces sp.,1
251,GCF_001279075.1,Streptomyces rimosus,1
251,GCF_008704655.1,Streptomyces rimosus,4
251,GCF_001279015.1,Streptomyces rimosus,1
251,GCF_001279095.1,Streptomyces rimosus,1
251,GCF_000331185.2,Streptomyces rimosus,5
251,GCF_006229535.1,Streptomyces rimosus,7
251,GCF_001279105.1,Streptomyces rimosus,1
251,GCF_001279375.1,Streptomyces rimosus,1
251,GCF_001507395.1,Streptomyces rimosus,1
252,GCF_000332625.1,Streptomyces viridochromogenes,1
253,GCF_000349325.1,Streptomyces davaonensis,6
254,GCF_000364805.1,Streptomyces sp.,5
255,GCF_000373405.1,Streptomyces sp.,1
255,GCF_009872615.1,Streptomyces sp.,1
256,GCF_000377965.1,Streptomyces sp.,1
257,GCF_000972395.1,Streptomyces sp.,1
257,GCF_000403665.1,Streptomyces lividans,1
258,GCF_000403765.2,Streptomyces albulus,1
258,GCF_003851665.1,Streptomyces albulus,6
259,GCF_000720885.1,Streptomyces albus,1
259,GCF_011006355.1,Streptomyces albus,1
259,GCF_004768505.1,Streptomyces albus,1
259,GCF_000411495.1,Streptomyces sp.,2
260,GCF_000444875.1,Streptomyces collinus,6
261,GCF_000495635.1,Streptomyces sp.,5
262,GCF_000495755.1,Streptomyces sp.,6
263,GCF_000498935.1,Streptomyces sp.,1
264,GCF_009865365.1,Streptomyces sp.,1
264,GCF_000514055.1,Streptomyces griseolus,1
264,GCF_900091745.1,Streptomyces sp.,1
265,GCF_000527195.1,Streptomyces sp.,1
266,GCF_000590515.1,Streptomyces sp.,1
267,GCF_000612545.1,Streptomyces sp.,1
268,GCF_000647875.1,Streptomyces sp.,1
268,GCF_009862115.1,Streptomyces sp.,1
269,GCF_000695235.1,Streptomyces albulus,3
270,GCF_000698495.1,Streptomyces sp.,6
271,GCF_003122345.2,Streptomyces xinghaiensis,1
271,GCF_002966105.1,Streptomyces xinghaiensis,1
271,GCF_001756925.1,Streptomyces fradiae,1
271,GCF_001190165.1,Streptomyces fradiae,1
271,GCF_000700005.2,Streptomyces xinghaiensis,1
