	GCF_000980885.2 | Streptomyces malaysiense MUSC 136 - ST 343:576	GCF_002154555.1 | Streptomyces murinus NRRL B-2286 - ST 438:577	GCF_003933295.1 | Streptomyces griseofuscus 64 - ST 521:578	GCF_003933485.1 | Streptomyces griseofuscus 199 - ST 522:579	GCF_004104485.1 | Streptomyces sp. endophyte_N2 - ST 551:580	GCF_004794665.1 | Streptomyces sp. S816 - ST 569:581	GCF_009862025.1 | Streptomyces sp. SID4946 - ST 622:582	GCF_009862685.1 | Streptomyces sp. SID685 - ST 627:583	GCF_009862765.1 | Streptomyces sp. SID6137 - ST 628:584	GCF_010119355.1 | Streptomyces sp. TR1341 - ST 643:585	GCF_014138855.1 | Streptomyces murinus DSM 41827 - ST 689:586	GCF_014138905.1 | Streptomyces murinus DSM 40710 - ST 690:587	GCF_014673495.1 | Streptomyces griseofuscus DSM 40191 - ST 721:588	GCF_016457305.1 | Streptomyces sp. CRPSP2-6A1 - ST 731:589	GCF_016467295.1 | Streptomyces costaricanus Am1 - ST 732:590	GCF_900091975.1 | Streptomyces sp. LamerLS-31b - ST 622:591	GCF_900091985.1 | Streptomyces sp. DconLS - ST 622:592
GCF_000980885.2 | Streptomyces malaysiense MUSC 136 - ST 343:576	7963326	5865944	6195792	6191067	6231439	6213661	6161327	6008304	5882837	6238089	6257024	6177311	6179449	6191389	6253506	6160737	6145701
GCF_002154555.1 | Streptomyces murinus NRRL B-2286 - ST 438:577	5865944	7954566	6828116	6829940	7066973	7555600	6797504	6601970	7228618	7020230	7046101	6747211	6762509	6850533	7024713	6798808	6782072
GCF_003933295.1 | Streptomyces griseofuscus 64 - ST 521:578	6195792	6828116	8339579	8093224	7278887	7219201	7587100	7472012	6855129	7228446	7227122	7676910	7744478	7692722	7217646	7587821	7568270
GCF_003933485.1 | Streptomyces griseofuscus 199 - ST 522:579	6191067	6829940	8093224	8424015	7274098	7212563	7653807	7538553	6826010	7230096	7234562	7679181	7741661	7748479	7205274	7654036	7635318
GCF_004104485.1 | Streptomyces sp. endophyte_N2 - ST 551:580	6231439	7066973	7278887	7274098	8428700	7488843	7238037	7044422	7066669	8059330	8039694	7226859	7214164	7343799	8032249	7229696	7220787
GCF_004794665.1 | Streptomyces sp. S816 - ST 569:581	6213661	7555600	7219201	7212563	7488843	8584460	7170506	6980739	7562729	7430393	7462448	7175446	7193637	7264241	7464928	7167222	7152084
GCF_009862025.1 | Streptomyces sp. SID4946 - ST 622:582	6161327	6797504	7587100	7653807	7238037	7170506	8599166	7546690	6767087	7237546	7272896	7575371	7605102	8003088	7225904	8494219	8568595
GCF_009862685.1 | Streptomyces sp. SID685 - ST 627:583	6008304	6601970	7472012	7538553	7044422	6980739	7546690	8811028	6543324	7019316	7052842	7359159	7424379	7485253	6994871	7520924	7521457
GCF_009862765.1 | Streptomyces sp. SID6137 - ST 628:584	5882837	7228618	6855129	6826010	7066669	7562729	6767087	6543324	8125041	7013720	7012892	6734958	6747732	6828596	7006280	6759240	6735843
GCF_010119355.1 | Streptomyces sp. TR1341 - ST 643:585	6238089	7020230	7228446	7230096	8059330	7430393	7237546	7019316	7013720	8502107	8015823	7192130	7207865	7268104	8071577	7236400	7221221
GCF_014138855.1 | Streptomyces murinus DSM 41827 - ST 689:586	6257024	7046101	7227122	7234562	8039694	7462448	7272896	7052842	7012892	8015823	8564214	7206047	7224179	7303311	7987632	7252764	7252410
GCF_014138905.1 | Streptomyces murinus DSM 40710 - ST 690:587	6177311	6747211	7676910	7679181	7226859	7175446	7575371	7359159	6734958	7192130	7206047	8526119	8217892	7662657	7208219	7566584	7558983
GCF_014673495.1 | Streptomyces griseofuscus DSM 40191 - ST 721:588	6179449	6762509	7744478	7741661	7214164	7193637	7605102	7424379	6747732	7207865	7224179	8217892	9116672	7738625	7224281	7594894	7590030
GCF_016457305.1 | Streptomyces sp. CRPSP2-6A1 - ST 731:589	6191389	6850533	7692722	7748479	7343799	7264241	8003088	7485253	6828596	7268104	7303311	7662657	7738625	8634150	7284542	7988002	7983655
GCF_016467295.1 | Streptomyces costaricanus Am1 - ST 732:590	6253506	7024713	7217646	7205274	8032249	7464928	7225904	6994871	7006280	8071577	7987632	7208219	7224281	7284542	8539264	7214002	7205384
GCF_900091975.1 | Streptomyces sp. LamerLS-31b - ST 622:591	6160737	6798808	7587821	7654036	7229696	7167222	8494219	7520924	6759240	7236400	7252764	7566584	7594894	7988002	7214002	8516683	8479683
GCF_900091985.1 | Streptomyces sp. DconLS - ST 622:592	6145701	6782072	7568270	7635318	7220787	7152084	8568595	7521457	6735843	7221221	7252410	7558983	7590030	7983655	7205384	8479683	8568595
