	GCF_003112555.1 | Streptomyces coelicoflavus NBRC 15399 - ST 490:222	GCF_010548385.1 | Streptomyces coelicoflavus SID14163 - ST 649:223	GCF_010548435.1 | Streptomyces coelicoflavus SID14172 - ST 650:224
GCF_003112555.1 | Streptomyces coelicoflavus NBRC 15399 - ST 490:222	1	203270	80766
GCF_010548385.1 | Streptomyces coelicoflavus SID14163 - ST 649:223	203270	1	195113
GCF_010548435.1 | Streptomyces coelicoflavus SID14172 - ST 650:224	80766	195113	1
