	GCF_000010605.1 | Streptomyces griseus NBRC 13350 - ST 12:1	GCF_000717795.1 | Streptomyces griseus NRRL WC-3480 - ST 275:9	GCF_001723115.1 | Streptomyces griseus NRRL B-2165 - ST 12:18	GCF_003610995.1 | Streptomyces griseus ATCC 13273 - ST 509:37	GCF_009866455.1 | Streptomyces griseus CGMCC 4.18 - ST 12:42	GCF_014655335.1 | Streptomyces griseus JCM 4516 - ST 718:54	GCF_900105705.1 | Streptomyces griseus DSM 40236 - ST 12:65	GCF_900460065.1 | Streptomyces griseus NCTC13033 - ST 12:66	GCF_000718525.1 | Streptomyces griseus NRRL B-2621 - ST 284:217	GCF_000721035.1 | Streptomyces griseus NRRL B-2621 - ST 284:218	GCF_000719355.1 | Streptomyces griseus NRRL F-5144 - ST 292:248	GCF_000718205.1 | Streptomyces griseus NRRL B-2931 - ST 280:607	GCF_000718235.1 | Streptomyces griseus NRRL B-2932 - ST 281:608	GCF_000719035.1 | Streptomyces griseus NRRL B-1691 - ST 280:612	GCF_000721205.1 | Streptomyces griseus NRRL B-2930 - ST 280:617	GCF_000721575.1 | Streptomyces griseus NRRL F-2227 - ST 317:618	GCF_001270675.1 | Streptomyces griseus NRRL B-2929 - ST 280:619
GCF_000010605.1 | Streptomyces griseus NBRC 13350 - ST 12:1	1.0	0.9910453467	0.9995054981	0.8907865841	0.9998793674	0.9158516590000001	0.9999465797	0.9999476036	0.8567152668	0.8567267169	0.9137408499	0.902082679	0.9020897485	0.9021431799	0.9021311177	0.9024145160000001	0.9020978607000001
GCF_000717795.1 | Streptomyces griseus NRRL WC-3480 - ST 275:9	0.9910453467	1.0	0.9909120308	0.8903598231000001	0.9909354228	0.9162424679000001	0.9908303887000001	0.9908585258	0.8567532498	0.8567308032000001	0.914175438	0.9022952723000001	0.9021944731	0.9023415095	0.9023367501	0.9025509906	0.9023191534
GCF_001723115.1 | Streptomyces griseus NRRL B-2165 - ST 12:18	0.9995054981	0.9909120308	1.0	0.8924188873000001	0.9994616549	0.9178671484	0.9994888715	0.9995152810000001	0.8575885062	0.8575916873	0.9156568911	0.9038070194000001	0.9038627226	0.9038299817000001	0.9038878794	0.9041313642000001	0.9038207782000001
GCF_003610995.1 | Streptomyces griseus ATCC 13273 - ST 509:37	0.8907865841	0.8903598231000001	0.8924188873000001	1.0	0.8904354376	0.8940228323	0.8908282546	0.890947243	0.8552735092	0.8552328719000001	0.8927874877	0.8887411	0.8889317634	0.8887662594	0.8887944734000001	0.8886383023000001	0.8887361972000001
GCF_009866455.1 | Streptomyces griseus CGMCC 4.18 - ST 12:42	0.9998793674	0.9909354228	0.9994616549	0.8904354376	1.0	0.9157148978	0.9998721954	0.9998767518	0.8566757099000001	0.8566866351	0.9137072562	0.9018681040000001	0.9020425162	0.9019228003	0.9019088107000001	0.9022846141	0.9019154223
GCF_014655335.1 | Streptomyces griseus JCM 4516 - ST 718:54	0.9158516590000001	0.9162424679000001	0.9178671484	0.8940228323	0.9157148978	1.0	0.9158835064	0.9158770036	0.8565531174000001	0.8565081118000001	0.9203545933	0.9046872518	0.9048574808000001	0.9047288614000001	0.9047006188000001	0.9047976241000001	0.9046960502
GCF_900105705.1 | Streptomyces griseus DSM 40236 - ST 12:65	0.9999465797	0.9908303887000001	0.9994888715	0.8908282546	0.9998721954	0.9158835064	1.0	0.9999430056	0.8567560181	0.856767339	0.9136554999000001	0.9020521042	0.9021029647000001	0.9021141674	0.9020726835	0.9024136911	0.9020846224
GCF_900460065.1 | Streptomyces griseus NCTC13033 - ST 12:66	0.9999476036	0.9908585258	0.9995152810000001	0.890947243	0.9998767518	0.9158770036	0.9999430056	1.0	0.8567305821000001	0.8567457153	0.9136910628	0.9020920578	0.9021208359	0.9021348209000001	0.9021273772	0.9023777156	0.9021258716
GCF_000718525.1 | Streptomyces griseus NRRL B-2621 - ST 284:217	0.8567152668	0.8567532498	0.8575885062	0.8552735092	0.8566757099000001	0.8565531174000001	0.8567560181	0.8567305821000001	1.0	0.9998106947000001	0.8561982391	0.8568744525	0.8569977044	0.8569278353	0.8569452663	0.8568683324	0.8568902641
GCF_000721035.1 | Streptomyces griseus NRRL B-2621 - ST 284:218	0.8567267169	0.8567308032000001	0.8575916873	0.8552328719000001	0.8566866351	0.8565081118000001	0.856767339	0.8567457153	0.9998106947000001	1.0	0.856178502	0.8568484243000001	0.8569722315	0.8568967814	0.8569115873	0.8569122319	0.8568601017
