	GCF_000738715.1 | Streptomyces scabiei NCPPB 4066 - ST 327:97	GCF_001005405.1 | Streptomyces scabiei NRRL B-16523 - ST 327:98	GCF_001485125.1 | Streptomyces scabiei S58 - ST 381:99	GCF_001550215.1 | Streptomyces scabiei 85-08 - ST 392:100	GCF_001550225.1 | Streptomyces scabiei 95-18 - ST 393:101	GCF_001550245.1 | Streptomyces scabiei 84-34 - ST 327:102	GCF_001550295.1 | Streptomyces scabiei 96-15 - ST 394:103	GCF_001572115.1 | Streptomyces scabiei 84-232 - ST 395:104	GCF_001579685.1 | Streptomyces scabiei 96-06 - ST 396:105	GCF_003584815.1 | Streptomyces scabiei ST129 - ST 393:106	GCF_017933115.1 | Streptomyces sp. LBUM 1482 - ST 393:107	GCF_017933235.1 | Streptomyces sp. LBUM 1480 - ST 757:108	GCF_017933255.1 | Streptomyces sp. LBUM 1475 - ST 393:109	GCF_017968905.1 | Streptomyces sp. LBUM 1487 - ST 393:110	GCF_017968935.1 | Streptomyces sp. LBUM 1488 - ST 393:111	GCF_017968965.1 | Streptomyces sp. LBUM 1486 - ST 757:112	GCF_017969005.1 | Streptomyces sp. LBUM 1483 - ST 758:113	GCF_017969025.1 | Streptomyces sp. LBUM 1481 - ST 759:114	GCF_017969045.1 | Streptomyces sp. LBUM 1477 - ST 393:115
GCF_000738715.1 | Streptomyces scabiei NCPPB 4066 - ST 327:97	1.0	0.9987408240000001	0.9691994101	0.9942196191	0.9949121339	0.9990245302	0.9982937630000001	0.9948154019000001	0.9956986628000001	0.9946168853	0.9939865950000001	0.9943100032000001	0.9942107808	0.9937426179000001	0.9941315681	0.9943969895	0.9939116381	0.9933656469000001	0.9938562807
GCF_001005405.1 | Streptomyces scabiei NRRL B-16523 - ST 327:98	0.9987408240000001	1.0	0.9709530378000001	0.9950577959	0.9957863202	0.9996477188	0.9988813987	0.9956689115	0.9963632563	0.9953097293000001	0.9951024172	0.9954566814	0.995360381	0.9949144005	0.9952858595	0.9955254567	0.9950782741	0.9945610715000001	0.9950067041
GCF_001485125.1 | Streptomyces scabiei S58 - ST 381:99	0.9691994101	0.9709530378000001	1.0	0.9704360108000001	0.9705149723000001	0.9707337577	0.9719367002	0.9703801919	0.9708267036	0.9705313634	0.96976924	0.9699131098	0.9696079526	0.9697677744000001	0.9699809083	0.9698899409	0.9681795202000001	0.9681994220000001	0.9699632252
GCF_001550215.1 | Streptomyces scabiei 85-08 - ST 392:100	0.9942196191	0.9950577959	0.9704360108000001	1.0	0.9958579966000001	0.9951162676	0.9953510647	0.995432057	0.9958631504000001	0.9959524775	0.9955463944	0.9960171772	0.9955234652	0.9952437241000001	0.9955210728	0.9959285849	0.9951497764	0.9944848083000001	0.9954989044
GCF_001550225.1 | Streptomyces scabiei 95-18 - ST 393:101	0.9949121339	0.9957863202	0.9705149723000001	0.9958579966000001	1.0	0.995810724	0.9957244636	0.9958725256000001	0.9960947769	0.9990226945	0.9955488892000001	0.9960773562	0.9958231969	0.9952339984	0.9954660077	0.9957311847	0.9953582227000001	0.9948853503	0.9953742637
GCF_001550245.1 | Streptomyces scabiei 84-34 - ST 327:102	0.9990245302	0.9996477188	0.9707337577	0.9951162676	0.995810724	1.0	0.9990132395	0.995750071	0.9964527472	0.9954620772	0.9951890898	0.9954886895	0.9953942597000001	0.9949413073000001	0.9953461905000001	0.9955874633	0.9951008617	0.9944662483000001	0.9950492598
GCF_001550295.1 | Streptomyces scabiei 96-15 - ST 394:103	0.9982937630000001	0.9988813987	0.9719367002	0.9953510647	0.9957244636	0.9990132395	1.0	0.9953181613000001	0.9956985206000001	0.9952734597	0.9949844002	0.9956158894	0.9947204132	0.9949407782	0.9951185312	0.9953780626000001	0.9947396227	0.9941183383000001	0.9949746509
GCF_001572115.1 | Streptomyces scabiei 84-232 - ST 395:104	0.9948154019000001	0.9956689115	0.9703801919	0.995432057	0.9958725256000001	0.995750071	0.9953181613000001	1.0	0.9982018573	0.9958878584	0.9958267847000001	0.9958305603000001	0.9956045231	0.9953254112000001	0.995316916	0.9963780966	0.9957631231	0.9958396693	0.9956255188
GCF_001579685.1 | Streptomyces scabiei 96-06 - ST 396:105	0.9956986628000001	0.9963632563	0.9708267036	0.9958631504000001	0.9960947769	0.9964527472	0.9956985206000001	0.9982018573	1.0	0.9961360565	0.9955848634000001	0.9961032612	0.9958226198000001	0.9952082604	0.9950680195	0.9964424119	0.9954415819	0.9947377634000001	0.9953268604000001
GCF_003584815.1 | Streptomyces scabiei ST129 - ST 393:106	0.9946168853	0.9953097293000001	0.9705313634	0.9959524775	0.9990226945	0.9954620772	0.9952734597	0.9958878584	0.9961360565	1.0	0.9953218153000001	0.9958948441000001	0.9957038868	0.9950559594	0.9954948858	0.9955727577000001	0.9951073416	0.9946999750000001	0.9949738681
