	GCF_001592685.1 | Streptomyces sp. WAC04657 - ST 397:560	GCF_002943895.1 | Streptomyces sp. WAC00288 - ST 397:561	GCF_003116715.1 | Streptomyces sp. CS081A - ST 493:562	GCF_009299385.1 | Streptomyces cinereoruber ATCC 19740 - ST 610:563	GCF_011758705.1 | Streptomyces cinereoruber DSM 41512 - ST 610:564	GCF_014197485.1 | Streptomyces cinereoruber NRRL ISP-5012 - ST 610:565
GCF_001592685.1 | Streptomyces sp. WAC04657 - ST 397:560	1	489	36651	32621	32341	32021
GCF_002943895.1 | Streptomyces sp. WAC00288 - ST 397:561	489	1	36451	32082	32034	31587
GCF_003116715.1 | Streptomyces sp. CS081A - ST 493:562	36651	36451	1	37058	36570	37002
GCF_009299385.1 | Streptomyces cinereoruber ATCC 19740 - ST 610:563	32621	32082	37058	1	97	145
GCF_011758705.1 | Streptomyces cinereoruber DSM 41512 - ST 610:564	32341	32034	36570	97	1	112
GCF_014197485.1 | Streptomyces cinereoruber NRRL ISP-5012 - ST 610:565	32021	31587	37002	145	112	1
