	GCF_000715745.1 | Streptomyces californicus NRRL B-3320 - ST 2:603	GCF_000717645.1 | Streptomyces californicus NRRL B-2098 - ST 2:604	GCF_000717665.1 | Streptomyces californicus NRRL 2423 - ST 49:605	GCF_000717965.1 | Streptomyces purpeochromogenes NRRL B-3012 - ST 2:606	GCF_000718205.1 | Streptomyces griseus NRRL B-2931 - ST 280:607	GCF_000718235.1 | Streptomyces griseus NRRL B-2932 - ST 281:608	GCF_000718245.1 | Streptomyces californicus NRRL B-2988 - ST 2:609	GCF_000718615.1 | Streptomyces purpeochromogenes NRRL ISP-5373 - ST 2:610	GCF_000718915.1 | Streptomyces sp. NRRL WC-3540 - ST 280:611	GCF_000719035.1 | Streptomyces griseus NRRL B-1691 - ST 280:612	GCF_000719585.1 | Streptomyces sp. NRRL F-5681 - ST 298:613	GCF_000719655.1 | Streptomyces sp. NRRL B-1381 - ST 300:614	GCF_000719925.1 | Streptomyces sp. NRRL F-2202 - ST 305:615	GCF_000720065.1 | Streptomyces sp. NRRL F-3273 - ST 2:616	GCF_000721205.1 | Streptomyces griseus NRRL B-2930 - ST 280:617	GCF_000721575.1 | Streptomyces griseus NRRL F-2227 - ST 317:618	GCF_001270675.1 | Streptomyces griseus NRRL B-2929 - ST 280:619	GCF_001279425.1 | Streptomyces sp. NRRL F-2295 - ST 354:620	GCF_001279735.1 | Streptomyces sp. MMG1522 - ST 360:621	GCF_002082175.1 | Streptomyces violaceoruber S21 - ST 434:622	GCF_002551425.1 | Streptomyces sp. b94 - ST 461:623	GCF_013401535.1 | Streptomyces sp. CB04723 - ST 684:624	GCF_016906185.1 | Streptomyces californicus FDAARGOS_1209 - ST 2:625	GCF_016906205.1 | Streptomyces californicus FDAARGOS_1212 - ST 2:626	GCF_016906225.1 | Streptomyces californicus FDAARGOS_1211 - ST 2:627	GCF_016906245.1 | Streptomyces californicus FDAARGOS_1213 - ST 2:628	GCF_016906265.1 | Streptomyces californicus FDAARGOS_1210 - ST 128:629	GCF_017311125.1 | Streptomyces sp. M54 - ST 751:630
GCF_000715745.1 | Streptomyces californicus NRRL B-3320 - ST 2:603	1.0	0.9456694353	0.8880797622000001	0.9464132918	0.9080149414	0.9075543936	0.9465703392	0.9467954406	0.9080616818	0.9078672421	0.9096848793000001	0.9052161316	0.9086569664	0.9242345775	0.9078426878	0.8909167121	0.9079856508	0.9052556427	0.9010213444	0.9087543109	0.8973116593	0.8227955119	0.9457590521	0.9530302243000001	0.9461304818	0.9528501183	0.8875332121	0.8820890252
GCF_000717645.1 | Streptomyces californicus NRRL B-2098 - ST 2:604	0.97451829	1.0	0.9257543306	1.0204374902	0.9471902095	0.9493232651	1.0222448139	1.01854655	0.9477983879	0.9477398178	0.9495206822000001	0.9447937171	0.9500447303	0.9689583709	0.9476753394	0.9325735064	0.9479832176	0.9458743094000001	0.9425433929	0.9544067885	0.9363443407	0.8590936152	1.0025191557	1.0471055013	1.0229702609	1.0469294057	0.9272084356	0.919478341
GCF_000717665.1 | Streptomyces californicus NRRL 2423 - ST 49:605	0.9023303696	0.9127644388	1.0	0.9135931768000001	0.9295253601000001	0.9289587688000001	0.9135226378	0.9141186098	0.9309141040000001	0.9295996983	0.9275362117	0.9194486714000001	0.9250059268	0.9186940184	0.9295344782	0.9486910651	0.929456974	0.9322074874	0.9201540612	0.9280479675000001	0.9310720252	0.8551457485	0.9136000154	0.9151775809	0.9140706129	0.9150981771000001	0.9500077504000001	0.9215539495
GCF_000717965.1 | Streptomyces purpeochromogenes NRRL B-3012 - ST 2:606	0.9627242992	1.0072954368	0.9146613936	1.0	0.9364574302	0.9371196490000001	1.016400786	1.0072132775	0.9367499324	0.9366213684	0.9378630126	0.9324825963000001	0.9380239078	0.9648767954	0.936705683	0.9239772125000001	0.9366733518	0.9332418086000001	0.9321679061	0.9425336644000001	0.9250209392000001	0.8488441031	1.0156901339	1.0329003406	1.0113634606	1.0319804867	0.9209564655	0.9119521671
GCF_000718205.1 | Streptomyces griseus NRRL B-2931 - ST 280:607	0.9071480515	0.9182728323	0.9139718481	0.9197125538	1.0	0.9440535842000001	0.9198608593	0.9203163602000001	1.0042701028	1.0061131505	0.9477295934000001	0.9147113833	0.9486615148	0.9250377301	1.012870826	0.9118674291000001	1.0167347386	0.9222608932	0.9353793931000001	0.9495168553000001	0.9228095364000001	0.8472395999000001	0.919992977	0.9212977168	0.9201431503	0.9211241333	0.9134494790000001	0.9062532376
GCF_000718235.1 | Streptomyces griseus NRRL B-2932 - ST 281:608	0.9291058474	0.9430962373	0.9359989618000001	0.9431189502	0.9673953557	1.0	0.9414028491	0.9423299954000001	0.9675289535	0.9673131809000001	0.9616076456	0.9351426339000001	0.9558075583000001	0.9415638812	0.9687124495	0.9350588003	0.9670752057	0.9405018610000001	0.9476338438	0.9575157482000001	0.9460399842	0.8681108252	0.9422757652	0.9425254796	0.9427794049	0.9425196100000001	0.9338399589	0.9278252473
GCF_000718245.1 | Streptomyces californicus NRRL B-2988 - ST 2:609	0.9757226426000001	1.0225340191	0.9267854442000001	1.0299529392	0.9490966799	0.9478867885000001	1.0	1.0289452745	0.9492507268	0.9489805345000001	0.9511139365000001	0.9461695315	0.9515266127	0.9694857338	0.9490612196	0.9337102322	0.9491437034	0.9458136433000001	0.9425691506	0.9559089199	0.9377239317	0.8602910086000001	1.0161661898	1.0422066713	1.0324764051	1.0420327101	0.9297127211	0.9211629245
GCF_000718615.1 | Streptomyces purpeochromogenes NRRL ISP-5373 - ST 2:610	0.9499012170000001	0.9916365516000001	0.9026330588	0.9933965009000001	0.9242176360000001	0.9234912223	1.001477212	1.0	0.9251606357000001	0.9247018284	0.9269631020000001	0.9219943775	0.9257631251	0.9605742082000001	0.9248295041000001	0.9152643282	0.9249760624000001	0.9220378948	0.9225198363	0.9316425865	0.9127344479	0.8387255386	1.0127449395	1.0329323365	1.0064276792	1.0320688684	0.9123425421	0.9018993923
GCF_000718915.1 | Streptomyces sp. NRRL WC-3540 - ST 280:611	0.9071293448000001	0.9187961997	0.9152713652000001	0.9199335002000001	1.004197702	0.9441158896	0.9199438347000001	0.9211889633	1.0	1.0040068238	0.9478755554	0.9170673387	0.9462606236000001	0.9239438103000001	1.0092034925	0.9109330882000001	1.0140579998	0.9238639976	0.9304400197	0.9495905955	0.9229002681	0.8453337374000001	0.9193083211	0.9204830999	0.919530452	0.9203128909	0.9135874533	0.9056935871
GCF_000719035.1 | Streptomyces griseus NRRL B-1691 - ST 280:612	0.9007424088	0.9124661242000001	0.9077382531	0.9135266552	0.9991712128	0.9374602038000001	0.9134022505	0.9144452215000001	0.9971513068000001	1.0	0.9402410062000001	0.9105964683000001	0.9397299084	0.9175072327	0.9945840699	0.9045146148000001	1.0120165485	0.9174212872	0.9251971956	0.9414499324000001	0.9165561432	0.8401843068	0.9130851795	0.9142999178000001	0.9133061646	0.9141401457	0.9096182966	0.8993965880000001
