	GCF_000411495.1 | Streptomyces sp. HPH0547 - ST 256:376	GCF_000719425.1 | Streptomyces sp. NRRL F-5639 - ST 294:377	GCF_000719735.1 | Streptomyces sp. NRRL F-5917 - ST 301:378	GCF_000720885.1 | Streptomyces albus NRRL B-2362 - ST 256:379	GCF_000813365.1 | Streptomyces albus NBRC 13014 - ST 156:380	GCF_001418125.1 | Streptomyces albus NRRL B-1685 - ST 156:381	GCF_001418545.1 | Streptomyces albus NRRL B-1335 - ST 156:382	GCF_001661615.1 | Streptomyces albus NRRL B-12378 - ST 156:383	GCF_004768505.1 | Streptomyces albus DSM 40763 - ST 256:384	GCF_011006355.1 | Streptomyces albus CAS922 - ST 256:385
GCF_000411495.1 | Streptomyces sp. HPH0547 - ST 256:376	1.0	0.9411665075000001	0.9513820598	0.9687433007	0.9429703930000001	0.9053026677	0.852556544	0.8785922568000001	0.9668461086000001	0.9622583647
GCF_000719425.1 | Streptomyces sp. NRRL F-5639 - ST 294:377	0.9349088313	1.0	0.9387250859	0.9408612767000001	0.9187271511	0.8880772268	0.8361792370000001	0.8612582911000001	0.9456082974000001	0.951826838
GCF_000719735.1 | Streptomyces sp. NRRL F-5917 - ST 301:378	0.9367165997	0.9304410964000001	1.0	0.9336564867	0.9172289127000001	0.888280414	0.8426392213	0.8674268102	0.9370948075000001	0.9502061357
GCF_000720885.1 | Streptomyces albus NRRL B-2362 - ST 256:379	0.9739377354000001	0.9522374926	0.9533587147	1.0	0.9398995884	0.9081722015	0.8564603717	0.8819396569	0.9725552304	0.9638110489
GCF_000813365.1 | Streptomyces albus NBRC 13014 - ST 156:380	0.9794080225	0.9606149757	0.9675871165000001	0.9710119585	1.0	0.9459093548	0.898957023	0.9240562032	0.9837469457	0.9833088661
GCF_001418125.1 | Streptomyces albus NRRL B-1685 - ST 156:381	0.9682411347000001	0.9561756159	0.9649094428	0.9661297434	0.9740329525	1.0	0.9124841090000001	0.9331705091	0.9824137058	0.980213097
GCF_001418545.1 | Streptomyces albus NRRL B-1335 - ST 156:382	0.9657718924	0.9535598366	0.9694820676	0.965019661	0.9804483029000001	0.9664668232	1.0	0.9624325193000001	0.9794227809	0.9760578451
GCF_001661615.1 | Streptomyces albus NRRL B-12378 - ST 156:383	0.9630941697000001	0.9504121941	0.9657416561000001	0.9616073471000001	0.975245981	0.9564288297	0.9313229428	1.0	0.9760799302000001	0.9727007752000001
GCF_004768505.1 | Streptomyces albus DSM 40763 - ST 256:384	0.9408133515	0.9263062504	0.9261394652	0.9413213554000001	0.9216455181000001	0.8938215105	0.8413272398	0.8664631937	1.0	0.9486048829
GCF_011006355.1 | Streptomyces albus CAS922 - ST 256:385	0.9406457386	0.9366763289000001	0.9434067275	0.9371385799	0.9254623439	0.8959116196	0.8422840650000001	0.8674256836	0.9529577245	1.0
