FILE	SCHEME	ST	16S	atpD	gyrB	recA	rpoB	trpB
bacteria/GCF_000009765.2/GCF_000009765.2_ASM976v2_genomic.gbff.gz	streptomyces	-	93,93,93,93,93,93	119	117	123	118	135
bacteria/GCF_000010605.1/GCF_000010605.1_ASM1060v1_genomic.gbff.gz	streptomyces	-	6,6,6,6,6,6	6	8	8	8	8
bacteria/GCF_000091305.1/GCF_000091305.1_ASM9130v1_genomic.gbff.gz	streptomyces	218	136	165	161	166	165	180
bacteria/GCF_000092385.1/GCF_000092385.1_ASM9238v1_genomic.gbff.gz	streptomyces	-	~39	50	~49	~48	~50	~55
bacteria/GCF_000147815.2/GCF_000147815.2_ASM14781v3_genomic.gbff.gz	streptomyces	-	~49	61?	~85	~69	~85	~67
bacteria/GCF_000148465.1/GCF_000148465.1_Scla_1.0_genomic.gbff.gz	streptomyces	-	98,98,98	126	123	130	125	141
bacteria/GCF_000154885.1/GCF_000154885.1_ASM15488v1_genomic.gbff.gz	streptomyces	-	-	~179	-	-	~42	-
bacteria/GCF_000154905.1/GCF_000154905.1_ASM15490v1_genomic.gbff.gz	streptomyces	-	-	151?	-	-	-	-
bacteria/GCF_000154925.1/GCF_000154925.1_ASM15492v1_genomic.gbff.gz	streptomyces	-	-	126	123	130	125	-
bacteria/GCF_000154945.1/GCF_000154945.1_ASM15494v1_genomic.gbff.gz	streptomyces	-	-	101	103	103	102	115
bacteria/GCF_000154965.1/GCF_000154965.1_ASM15496v1_genomic.gbff.gz	streptomyces	-	-	165?	~107	~99	~101	~110
bacteria/GCF_000156435.1/GCF_000156435.1_ASM15643v1_genomic.gbff.gz	streptomyces	-	-	134	131	137	132	148
bacteria/GCF_000156455.1/GCF_000156455.1_ASM15645v1_genomic.gbff.gz	streptomyces	-	-	~104	~39	~23	~105	~3
bacteria/GCF_000156475.1/GCF_000156475.1_ASM15647v1_genomic.gbff.gz	streptomyces	-	-	36	5	5	36	39
bacteria/GCF_000156695.2/GCF_000156695.2_ASM15669v2_genomic.gbff.gz	streptomyces	-	16?	~104	~39	~23	~105	~3
bacteria/GCF_000158855.1/GCF_000158855.1_ASM15885v1_genomic.gbff.gz	streptomyces	-	-	153?	-	-	-	-
bacteria/GCF_000158895.1/GCF_000158895.1_ASM15889v1_genomic.gbff.gz	streptomyces	-	-	~142	~138	-	~139	155?
bacteria/GCF_000158915.1/GCF_000158915.1_ASM15891v1_genomic.gbff.gz	streptomyces	-	-	137	134	140	135	151
bacteria/GCF_000158935.1/GCF_000158935.1_ASM15893v1_genomic.gbff.gz	streptomyces	-	-	127	~124	131	126	~142
bacteria/GCF_000158955.1/GCF_000158955.1_ASM15895v1_genomic.gbff.gz	streptomyces	-	-	~139	-	~142	~131	-
bacteria/GCF_000158975.1/GCF_000158975.1_ASM15897v1_genomic.gbff.gz	streptomyces	-	-	~170	~149	~45	~170	185?
bacteria/GCF_000162775.1/GCF_000162775.1_ASM16277v1_genomic.gbff.gz	streptomyces	-	-	~143	-	~154	~152	~126
bacteria/GCF_000163875.1/GCF_000163875.1_Strep_clav_ATCC27064_genomic.gbff.gz	streptomyces	-	98,98,98,98	126	123	130	125	141
bacteria/GCF_000176115.2/GCF_000176115.2_ASM17611v2_genomic.gbff.gz	streptomyces	-	6,8,8,8,8	38	36	36	38	41
bacteria/GCF_000177175.2/GCF_000177175.2_ASM17717v2_genomic.gbff.gz	streptomyces	-	6,6,6	6	6	6	8	~122
bacteria/GCF_000177195.2/GCF_000177195.2_ASM17719v2_genomic.gbff.gz	streptomyces	-	31,31,31,31,31,31	~40	~38	~37	39	~43
bacteria/GCF_000179195.1/GCF_000179195.1_ASM17919v1_genomic.gbff.gz	streptomyces	-	88?	151?	-	-	-	-
bacteria/GCF_000179215.1/GCF_000179215.1_ASM17921v1_genomic.gbff.gz	streptomyces	-	99?	151?	-	-	-	-
bacteria/GCF_000204605.1/GCF_000204605.1_ASM20460v1_genomic.gbff.gz	streptomyces	-	-	~154	-	~137	~123	-
bacteria/GCF_000213055.1/GCF_000213055.1_ASM21305v1_genomic.gbff.gz	streptomyces	-	88?	153?	-	-	-	-
bacteria/GCF_000220705.2/GCF_000220705.2_ASM22070v2_genomic.gbff.gz	streptomyces	-	150,150	180	176	181	180	195
bacteria/GCF_000225525.1/GCF_000225525.1_ASM22552v1_genomic.gbff.gz	streptomyces	236	153	183	179	184	183	198
bacteria/GCF_000226455.1/GCF_000226455.1_ASM22645v1_genomic.gbff.gz	streptomyces	-	~86	~139	-	~112	~109	~127
bacteria/GCF_000237305.1/GCF_000237305.1_ASM23730v1_genomic.gbff.gz	streptomyces	-	~135	129?	-	-	-	-
bacteria/GCF_000239075.1/GCF_000239075.1_ASM23907v2_genomic.gbff.gz	streptomyces	-	8	~11	~29	~12	~12	~31
bacteria/GCF_000240165.1/GCF_000240165.1_ASM24016v1_genomic.gbff.gz	streptomyces	-	~135	129?	-	-	-	-
bacteria/GCF_000241835.1/GCF_000241835.1_ASM24183v2_genomic.gbff.gz	streptomyces	-	~99	~175	~124	~176	~175	~190
bacteria/GCF_000242715.1/GCF_000242715.1_ASM24271v2_genomic.gbff.gz	streptomyces	-	-	~157	-	~102	~97	-
bacteria/GCF_000245355.1/GCF_000245355.1_ASM24535v1_genomic.gbff.gz	streptomyces	-	~85	~143	~106	~101	~108	~113
bacteria/GCF_000253235.1/GCF_000253235.1_ASM25323v1_genomic.gbff.gz	streptomyces	-	~14	15	16	16	16	16
bacteria/GCF_000259895.1/GCF_000259895.1_ASM25989v1_genomic.gbff.gz	streptomyces	-	-	~175	~171	~156	~175	~190
bacteria/GCF_000261345.2/GCF_000261345.2_ASM26134v2_genomic.gbff.gz	streptomyces	-	3,3,3,3,3,3	~34	~22	~10	~24	123?
bacteria/GCF_000262345.1/GCF_000262345.1_Streptomyces_sulphureus_L180_version_1.0_genomic.gbff.gz	streptomyces	-	-	~171	~167	~172	~171	186?
bacteria/GCF_000280865.2/GCF_000280865.2_ASM28086v2_genomic.gbff.gz	streptomyces	-	~61	78?	-	~120	~60	-
bacteria/GCF_000280905.1/GCF_000280905.1_ASM28090v1_genomic.gbff.gz	streptomyces	-	-	115?	-	-	-	-
bacteria/GCF_000297155.3/GCF_000297155.3_ASM29715v3_genomic.gbff.gz	streptomyces	-	-	126?	-	-	~125	-
bacteria/GCF_000297635.1/GCF_000297635.1_ASM29763v1_genomic.gbff.gz	streptomyces	-	38	~49	~48	47	~49	~54
bacteria/GCF_000299175.2/GCF_000299175.2_ASM29917v2_genomic.gbff.gz	streptomyces	-	5	5	~92	92	92	39
bacteria/GCF_000302615.1/GCF_000302615.1_ASM30261v1_genomic.gbff.gz	streptomyces	-	-	178	174	~179	~178	~193
bacteria/GCF_000316095.1/GCF_000316095.1_ASM31609v1_genomic.gbff.gz	streptomyces	-	53?	~134	131	137	~132	148
bacteria/GCF_000317595.1/GCF_000317595.1_Sipom9103v1.0_genomic.gbff.gz	streptomyces	-	112,112,112,112,112,112,112	140	137	~143	~138	~154
bacteria/GCF_000331005.1/GCF_000331005.1_Sturgcar8v1.0_genomic.gbff.gz	streptomyces	-	~65	100?	-	-	-	-
bacteria/GCF_000331185.2/GCF_000331185.2_ASM33118v2_genomic.gbff.gz	streptomyces	-	46,46,46,46,46	58	58	57	~65	64
bacteria/GCF_000332625.1/GCF_000332625.1_STVIR_1.0_genomic.gbff.gz	streptomyces	-	~97	~170	~109	~24	~106	~146
bacteria/GCF_000340335.1/GCF_000340335.1_ASM34033v2_genomic.gbff.gz	streptomyces	162	95	121	119	125	120	137
bacteria/GCF_000340845.1/GCF_000340845.1_ASM34084v1_genomic.gbff.gz	streptomyces	-	~85	~143	~106	~101	~108	~113
bacteria/GCF_000342125.1/GCF_000342125.1_S.mobaraensisn_1.0_genomic.gbff.gz	streptomyces	190	120	148	145	151	146	162
bacteria/GCF_000342345.1/GCF_000342345.1_Whole_genome_assembly_genomic.gbff.gz	streptomyces	-	-	~91	46	~45	~47	~52
bacteria/GCF_000349325.1/GCF_000349325.1_ASM34932v1_genomic.gbff.gz	streptomyces	-	~104	~124	~121	~128	~123	~110
bacteria/GCF_000359525.1/GCF_000359525.1_ASM35952v1_genomic.gbff.gz	streptomyces	-	5,5,5,5,5	36	5	5	36	39
bacteria/GCF_000364805.1/GCF_000364805.1_ASM36480v1_genomic.gbff.gz	streptomyces	-	8,8,8,8,8	~156	152	36	38	170
bacteria/GCF_000365385.1/GCF_000365385.1_ASM36538v1_genomic.gbff.gz	streptomyces	-	-	77?	-	~175	-	-
bacteria/GCF_000367365.1/GCF_000367365.1_ASM36736v1_genomic.gbff.gz	streptomyces	202	126	157	153	159	157	172
