	GCF_001270515.1 | Streptomyces viridochromogenes NRRL 3427 - ST 231:202	GCF_000332625.1 | Streptomyces viridochromogenes Tue57 - ST 250:550	GCF_002156055.1 | Streptomyces viridochromogenes NRRL B-24167 - ST 439:764
GCF_001270515.1 | Streptomyces viridochromogenes NRRL 3427 - ST 231:202	9393980	1842515	1795868
GCF_000332625.1 | Streptomyces viridochromogenes Tue57 - ST 250:550	1842515	9687428	4480220
GCF_002156055.1 | Streptomyces viridochromogenes NRRL B-24167 - ST 439:764	1795868	4480220	7333324
