	GCF_000299175.2 | Streptomyces sp. SM8 - ST 247:386	GCF_000359525.1 | Streptomyces albidoflavus J1074 - ST 39:387	GCF_000495755.1 | Streptomyces sp. PVA 94-07 - ST 258:388	GCF_000719495.1 | Streptomyces albidoflavus NRRL F-5621 - ST 295:389	GCF_000725635.1 | Streptomyces sp. NRRL B-3253 - ST 324:390	GCF_000797385.1 | Streptomyces sp. CNQ431 - ST 330:391	GCF_000800535.1 | Streptomyces sp. M10 - ST 331:392	GCF_001014595.1 | Streptomyces sp. KE1 - ST 345:393	GCF_001431765.1 | Streptomyces sp. FR-008 - ST 377:394	GCF_001509565.1 | Streptomyces albidoflavus NRRL WC-3066 - ST 382:395	GCF_001865795.1 | Streptomyces albidoflavus OsiLf-2 - ST 411:396	GCF_002289335.1 | Streptomyces albidoflavus 132 - ST 447:397	GCF_002317005.1 | Streptomyces albidoflavus 38 - ST 447:398	GCF_002317025.1 | Streptomyces albidoflavus 138 - ST 447:399	GCF_002844215.1 | Streptomyces sp. EAG2 - ST 472:400	GCF_002910795.1 | Streptomyces sp. SM9 - ST 479:401	GCF_002910815.1 | Streptomyces sp. FM008 - ST 479:402	GCF_003687515.1 | Streptomyces sp. S5 - ST 516:403	GCF_004000395.1 | Streptomyces sp. B29(2018) - ST 548:404	GCF_004078575.1 | Streptomyces albidoflavus BSII#1 - ST 550:405	GCF_004124335.1 | Streptomyces sp. N1 - ST 553:406	GCF_004195735.1 | Streptomyces albidoflavus DSM 40455 - ST 557:407	GCF_004195745.1 | Streptomyces albidoflavus NBRC 100770 - ST 558:408	GCF_004195755.1 | Streptomyces albidoflavus NBRC 13083 - ST 110:409	GCF_004195845.1 | Streptomyces albidoflavus CGMCC 4.1681 - ST 105:410	GCF_004195855.1 | Streptomyces albidoflavus FXJ.2339 - ST 148:411	GCF_004195885.1 | Streptomyces albidoflavus NBRC 12790 - ST 107:412	GCF_004195895.1 | Streptomyces albidoflavus Ma24 - ST 559:413	GCF_004195935.1 | Streptomyces albidoflavus CR33 - ST 144:414	GCF_004195945.1 | Streptomyces albidoflavus CR10 - ST 138:415	GCF_004195955.1 | Streptomyces albidoflavus CR25 - ST 144:416	GCF_004195965.1 | Streptomyces albidoflavus Ma1 - ST 152:417	GCF_004195995.1 | Streptomyces albidoflavus CR47 - ST 146:418	GCF_004196035.1 | Streptomyces albidoflavus CR19 - ST 143:419	GCF_004196145.1 | Streptomyces albidoflavus FXJ8.031 - ST 150:420	GCF_004196155.1 | Streptomyces albidoflavus CGMCC 4.1615 - ST 150:421	GCF_004196225.1 | Streptomyces sp. SCA2-2 - ST 560:422	GCF_007896905.1 | Streptomyces albidoflavus 77 - ST 588:423	GCF_009834105.1 | Streptomyces sp. GF20 - ST 617:424	GCF_009846825.1 | Streptomyces sp. FR-008 - ST 377:425	GCF_010523235.1 | Streptomyces sp. 604F - ST 644:426	GCF_013363465.1 | Streptomyces odorifer KAI-180 - ST 673:427	GCF_013363555.1 | Streptomyces fungicidicus CAI-93 - ST 447:428	GCF_013693715.1 | Streptomyces albidoflavus J1074/R2 - ST 39:429	GCF_015601545.1 | Streptomyces albidoflavus W68 - ST 673:430	GCF_016613285.1 | Streptomyces sp. DEF1AK - ST 738:431	GCF_016613335.1 | Streptomyces sp. DEF147AK - ST 738:432	GCF_016803985.1 | Streptomyces koyangensis SCSIO 5802 - ST 746:433	GCF_017979945.1 | Streptomyces sp. 604F - ST 644:434	GCF_018619165.1 | Streptomyces sp. McG6 - ST 775:435	GCF_018619195.1 | Streptomyces sp. McG5 - ST 775:436	GCF_018619235.1 | Streptomyces sp. McG2 - ST 775:437	GCF_018638335.1 | Streptomyces sp. G11C - ST 778:438	GCF_019067045.1 | Streptomyces sp. NK08203 - ST 786:439	GCF_900091785.1 | Streptomyces sp. BvitLS-983 - ST 635:440	GCF_900091885.1 | Streptomyces sp. ScaeMP-6W - ST 632:441	GCF_900171555.1 | Streptomyces albidoflavus R-53649 - ST 802:442
GCF_000299175.2 | Streptomyces sp. SM8 - ST 247:386	1.0	0.9903879309	0.9613788034	0.9606344156000001	0.9903054366	0.9607050323	0.9598991615	0.961318997	0.9884243502000001	0.9901849299000001	0.9874629064	0.9784700194	0.9782591248	0.9782222076	0.9580258851000001	0.9899168190000001	0.9902282159	0.9887898367000001	0.9882542468000001	0.9610632686	0.9856289677000001	0.9904181405	0.9904426982000001	0.990246433	0.9899572194	0.9905358689	0.9904705491	0.9883561987	0.985965344	0.9858856158	0.9859676253	0.9860446890000001	0.9860487808	0.9880929855	0.9886436234	0.9886395206	0.958665795	0.9882811407000001	0.9881803475000001	0.9883627871	0.9604457399	0.9606082809000001	0.9773700742	0.9904071407	0.9606376087	0.9898791855	0.9899191325000001	0.9586578758000001	0.9600540089	0.9912577895	0.9909751589	0.9912680426	0.9606692281	0.9881641390000001	0.9902436394	0.9883830168000001	0.9898746739000001
GCF_000359525.1 | Streptomyces albidoflavus J1074 - ST 39:387	0.9903879309	1.0	0.9619791923000001	0.9610837108	0.991192747	0.9611109561000001	0.9601567259	0.9618143756	0.9891307260000001	0.9909349266	0.9881187149	0.9791499415	0.9789267536	0.97886077	0.9587220740000001	0.9904894698000001	0.9908740162	0.9891319023	0.9889636865	0.9616482645000001	0.986613622	0.9908454865	0.9908007858000001	0.9912430371000001	0.9906197147	0.9917860717	0.9914316326	0.9889699976	0.9869007149000001	0.9866479903	0.9868947429	0.9867566270000001	0.9870009894	0.9887503389000001	0.9891765997	0.9891779832	0.9592941382	0.9888411617	0.9889713106	0.9891109427	0.9610486044000001	0.9608704105	0.9780850397	0.9999333990000001	0.9610505854	0.9909057186	0.9909009950000001	0.9592906148	0.9605523441	0.9917882682	0.9914833423	0.9916745854000001	0.9610729091	0.988885199	0.9916686599000001	0.9889304561000001	0.9915539624
GCF_000495755.1 | Streptomyces sp. PVA 94-07 - ST 258:388	0.9613788034	0.9619791923000001	1.0	0.9602470323000001	0.9617236862	0.9932560405	0.9593725697000001	0.9604876785	0.9617315168	0.9618706228	0.9611633048	0.9608646884	0.9606849341	0.9605593213	0.9557295020000001	0.9635326992000001	0.9637495975	0.9627125687	0.9618687841	0.9925885923000001	0.9617407181000001	0.9617867303000001	0.9616605621000001	0.9618680724	0.9615229531	0.9616581242000001	0.9617888875	0.9618230838	0.9616766243	0.9614881571	0.9616720085	0.9617140325	0.9616988741	0.9621062237	0.9620512679000001	0.9620259153	0.9564169383000001	0.9617214097000001	0.9621013066	0.9615707489	0.9927048537000001	0.9603931805	0.9590052278000001	0.9619606206	0.9605372179	0.9613520477	0.9613739361	0.9563162676	0.9923078277	0.9639502614000001	0.9630669623	0.9637992383	0.9928054968000001	0.9619753619	0.9619953134	0.9619156597	0.961631168
GCF_000719495.1 | Streptomyces albidoflavus NRRL F-5621 - ST 295:389	0.9606344156000001	0.9610837108	0.9602470323000001	1.0	0.9612095294	0.9602343163	0.9940685307	0.9745704153	0.9607406467	0.96110987	0.9605847022	0.9604564286	0.9600185799000001	0.9600169151000001	0.9599212282	0.9627064247	0.9630128932	0.9618572883000001	0.9611084811	0.9610735203	0.9609127745	0.961233478	0.9612891455	0.961234075	0.9612718982	0.9609748357000001	0.9612123099000001	0.9609921689	0.9611595004000001	0.9609246817	0.9611469657	0.9608459471	0.9611010881000001	0.9612005224000001	0.9610946765	0.9610891309	0.9605185361	0.9608385308	0.9612770288	0.9607456647	0.9600173270000001	0.9959827936000001	0.9585743174	0.9610966606	0.9954875345	0.9607645074000001	0.9608457048000001	0.9603295676	0.9595857964000001	0.9631095610000001	0.9623317915	0.9630741650000001	0.9601711574	0.9612092669000001	0.9615333739	0.9610583133	0.9611432772
GCF_000725635.1 | Streptomyces sp. NRRL B-3253 - ST 324:390	0.9903054366	0.991192747	0.9617236862	0.9612095294	1.0	0.9611175926000001	0.960455114	0.9617360491	0.9887774645	0.9912518351	0.9879206878000001	0.9787727104	0.9785448378	0.9784900724000001	0.958410847	0.9901638374	0.9905502496	0.9888448681	0.9886557098000001	0.9615292411	0.9865766428	0.9912034312	0.9910352644	0.9917488401000001	0.9905993322000001	0.9928592426	0.9927309501	0.988696506	0.9868042612000001	0.9866783363	0.9867659589000001	0.9867944668	0.986763178	0.9885630113	0.9887194106	0.9887093993	0.9591406921000001	0.9883665902000001	0.9888089010000001	0.9888262409	0.9608787493000001	0.960977308	0.9778228590000001	0.9911743078	0.9610635875	0.9910565744000001	0.9911097344	0.9590767907000001	0.9604695828	0.9917330854	0.9913852145000001	0.9916295370000001	0.9610769697	0.9886170248	0.9927476942000001	0.9886141849000001	0.9907958560000001
GCF_000797385.1 | Streptomyces sp. CNQ431 - ST 330:391	0.9607050323	0.9611109561000001	0.9932560405	0.9602343163	0.9611175926000001	1.0	0.9593777465000001	0.9600334033000001	0.9610021863	0.9612033948	0.960462354	0.9604746483000001	0.9603081135	0.960205689	0.9558733891000001	0.9625807773	0.9627997105	0.9619039793	0.9612028612	0.9916168721	0.9610107436	0.9610226063	0.9609390532000001	0.9612238714	0.9608186954000001	0.9609848872000001	0.9610817492	0.9612445384	0.9611762466	0.9610272934	0.9611725949000001	0.9610702547000001	0.9611064965	0.9614947589	0.9613089081	0.9613155667000001	0.9566393999999999	0.9607112550000001	0.9614224171	0.9609529472	0.9950541885	0.9602361853	0.958639177	0.9610992616	0.9601535238000001	0.9608095040000001	0.9608443584	0.9561370362	0.9949792554	0.963076746	0.9622595674000001	0.9629254513000001	0.9953914827	0.9611888125	0.9614482556	0.9611594514	0.9609047082000001
GCF_000800535.1 | Streptomyces sp. M10 - ST 331:392	0.9598991615	0.9601567259	0.9593725697000001	0.9940685307	0.960455114	0.9593777465000001	1.0	0.9735888615	0.9600881061000001	0.9603895172	0.9596567987	0.9596448939000001	0.9592705862	0.95930246	0.9588673685	0.9619901260000001	0.9622496952	0.9612656084000001	0.9602181119000001	0.9602072358	0.9600121406000001	0.9603773171000001	0.9601845052	0.9602453283000001	0.9600108629	0.9601472419	0.9602668877	0.9600771743000001	0.9601197092	0.9598496540000001	0.9600997809	0.9600209608	0.9600527205	0.9602042893	0.960255261	0.9602475142	0.9595890892000001	0.9598669476	0.9603344959000001	0.9601603874	0.9589415873	0.9943812695	0.9577270757	0.9601626995	0.9943218123	0.9600280832	0.9600705429	0.9593471686	0.9586159488	0.9623063460000001	0.9614807646	0.9622321300000001	0.9589211254000001	0.9602078074	0.9606497356	0.9601521959	0.9601770049
GCF_001014595.1 | Streptomyces sp. KE1 - ST 345:393	0.961318997	0.9618143756	0.9604876785	0.9745704153	0.9617360491	0.9600334033000001	0.9735888615	1.0	0.9615709302000001	0.9617758590000001	0.9613203431	0.9610259643	0.9606737881	0.9607185232000001	0.9609407671	0.9630948469	0.9634348347	0.9625991526000001	0.9617074680000001	0.9609247767	0.9615246576	0.9616934546	0.9617661477	0.9616522089	0.9616706866	0.9616242414	0.9616504465000001	0.9616636703	0.9616722694000001	0.9615606131000001	0.9616827699	0.9615684558	0.9617846799	0.9619445871000001	0.9618350840000001	0.9618289901	0.9616079276	0.9614059065	0.9619127536000001	0.9616129155	0.9600846057	0.9746228213	0.9592032146	0.9618372373	0.9744632908	0.9614492617	0.9614637646	0.9615761919	0.9596177409000001	0.9638701353	0.9630881321	0.9638144423	0.9599456914000001	0.9617607373	0.9619102436	0.9617489692000001	0.9615317126
GCF_001431765.1 | Streptomyces sp. FR-008 - ST 377:394	0.9884243502000001	0.9891307260000001	0.9617315168	0.9607406467	0.9887774645	0.9610021863	0.9600881061000001	0.9615709302000001	1.0	0.9889268915	0.9885569639	0.9790495010000001	0.9787304548	0.9785911746	0.9582726540000001	0.9883755654	0.9887204269000001	0.9896818222	0.9895278101	0.9614848785000001	0.9861618874	0.9890200716	0.9889752208	0.9889339882	0.9887179002	0.9888566706	0.9890656609	0.9896928623000001	0.9862366863	0.9860985713	0.9862171084	0.9865240738000001	0.9865211898	0.9893942431	0.9896766765	0.9896732876000001	0.9590333896000001	0.989329958	0.9897015578	0.9997102331000001	0.96098172	0.9607304094	0.9779818139	0.989128435	0.9610765149	0.98853988	0.9886013697	0.9590608844	0.9604749440000001	0.9898703275	0.9895532290000001	0.9897870229000001	0.9605673464000001	0.9894847980000001	0.9889622789	0.9887390362	0.9890065715
GCF_001509565.1 | Streptomyces albidoflavus NRRL WC-3066 - ST 382:395	0.9901849299000001	0.9909349266	0.9618706228	0.96110987	0.9912518351	0.9612033948	0.9603895172	0.9617758590000001	0.9889268915	1.0	0.9880345524	0.9786714315	0.9784381508000001	0.9783858151	0.9586551669000001	0.9903750475	0.9907333115	0.9888531961	0.9884437269	0.9615334391	0.9865296967	0.9928654745000001	0.9929161681	0.9914663408000001	0.9908222599000001	0.9916667187	0.9920627042000001	0.9887988313	0.9865941707	0.9865020043	0.9865849147	0.9866760563	0.9868618384000001	0.9886233246	0.9889607254	0.9889302296	0.9592432655	0.9887383635	0.988787374	0.9889396997000001	0.9609517164	0.9608787284	0.9780149725	0.9909464356000001	0.96112607	0.9907912573000001	0.9907663306000001	0.9592719022	0.9605063236	0.9915559055000001	0.9912066586	0.9914441187	0.9611898673	0.9887867402	0.9917848047000001	0.9885170393	0.9907602113
