	GCF_000261345.2 | Streptomyces globisporus C-1027 - ST 245:245	GCF_000498935.1 | Streptomyces sp. HCCB10043 - ST 259:246	GCF_000698495.1 | Streptomyces sp. NTK 937 - ST 265:247	GCF_000719355.1 | Streptomyces griseus NRRL F-5144 - ST 292:248	GCF_000721185.1 | Streptomyces griseolus NRRL B-2925 - ST 314:249	GCF_000743295.1 | Streptomyces sp. JS01 - ST 329:250	GCF_001746305.1 | Streptomyces sp. EN23 - ST 408:251	GCF_001751305.1 | Streptomyces nanshensis SCSIO M10372 - ST 410:252	GCF_001905405.1 | Streptomyces sp. TSRI0445 - ST 416:253	GCF_001905785.1 | Streptomyces sp. CB02130 - ST 422:254	GCF_002154385.1 | Streptomyces albovinaceus NRRL B-2566 - ST 24:255	GCF_002217715.1 | Streptomyces sp. SS07 - ST 442:256	GCF_002551105.1 | Streptomyces sp. st170 - ST 451:257	GCF_002551135.1 | Streptomyces sp. st140 - ST 452:258	GCF_002551175.1 | Streptomyces sp. st77 - ST 454:259	GCF_002551335.1 | Streptomyces sp. ms184 - ST 457:260	GCF_002551345.1 | Streptomyces sp. ms115 - ST 458:261	GCF_002551375.1 | Streptomyces sp. gb14 - ST 459:262	GCF_002551415.1 | Streptomyces sp. f51 - ST 460:263	GCF_002551435.1 | Streptomyces sp. f150 - ST 462:264	GCF_002551475.1 | Streptomyces sp. b62 - ST 464:265	GCF_002705695.1 | Streptomyces sp. OspMP-M45 - ST 465:266	GCF_002803175.1 | Streptomyces sp. CB02613 - ST 469:267	GCF_002804165.1 | Streptomyces cavourensis 1AS2a - ST 470:268	GCF_002832675.1 | Streptomyces sp. S063 - ST 471:269	GCF_002910775.2 | Streptomyces sp. SM18 - ST 478:270	GCF_003024215.1 | Streptomyces sp. CS149 - ST 486:271	GCF_003116755.1 | Streptomyces sp. CS131 - ST 494:272	GCF_003116775.1 | Streptomyces sp. CS147 - ST 495:273	GCF_003147545.1 | Streptomyces globisporus TFH56 - ST 338:274	GCF_003330865.1 | Streptomyces atratus SCSIO_ZH16 - ST 499:275	GCF_003352445.1 | Streptomyces cavourensis TJ430 - ST 500:276	GCF_003353555.1 | Streptomyces sp. HB202 - ST 501:277	GCF_003949895.1 | Streptomyces sp. WAC04770 - ST 535:278	GCF_003989035.1 | Streptomyces sp. NP10 - ST 546:279	GCF_004000405.1 | Streptomyces sp. B27 - ST 549:280	GCF_006788935.1 | Streptomyces cavourensis DSM 41795 - ST 583:281	GCF_008180165.1 | Streptomyces parvus C05 - ST 595:282	GCF_008632535.1 | Streptomyces parvus NRRL B-1455 - ST 596:283	GCF_009811575.1 | Streptomyces glebosus NBRC 13786 - ST 614:284	GCF_009862465.1 | Streptomyces sp. SID4941 - ST 624:285	GCF_009863145.1 | Streptomyces sp. SID4937 - ST 631:286	GCF_009863235.1 | Streptomyces sp. SID4925 - ST 465:287	GCF_009864905.1 | Streptomyces sp. SID8378 - ST 633:288	GCF_009865365.1 | Streptomyces sp. SID4912 - ST 260:289	GCF_009872565.1 | Streptomyces sp. SID5614 - ST 642:290	GCF_010548175.1 | Streptomyces halstedii SID11342 - ST 647:291	GCF_010548665.1 | Streptomyces parvus SID7590 - ST 654:292	GCF_013363455.1 | Streptomyces sp. CAI-121 - ST 672:293	GCF_013363475.1 | Streptomyces sp. KAI-26 - ST 674:294	GCF_013363655.1 | Streptomyces sp. CAI 127 - ST 676:295	GCF_013363665.1 | Streptomyces sp. CAI-68 - ST 672:296	GCF_013363675.1 | Streptomyces sp. CAI-24 - ST 677:297	GCF_013363735.1 | Streptomyces sp. CAI-155 - ST 678:298	GCF_014648655.1 | Streptomyces atratus JCM 3386 - ST 702:299	GCF_014648875.1 | Streptomyces parvus JCM 4069 - ST 596:300	GCF_014649215.1 | Streptomyces cavourensis JCM 4298 - ST 583:301	GCF_014649535.1 | Streptomyces gelaticus JCM 4376 - ST 706:302	GCF_014649875.1 | Streptomyces rubiginosohelvolus JCM 4415 - ST 708:303	GCF_014656235.1 | Streptomyces glebosus JCM 4954 - ST 614:304	GCF_016612575.1 | Streptomyces sp. MBT67 - ST 734:305	GCF_016612645.1 | Streptomyces sp. MBT61 - ST 734:306	GCF_016612665.1 | Streptomyces sp. MBT60 - ST 736:307	GCF_016612705.1 | Streptomyces sp. MBT56 - ST 737:308	GCF_016612725.1 | Streptomyces sp. MBT54 - ST 737:309	GCF_016612775.1 | Streptomyces sp. MBT98 - ST 737:310	GCF_016654055.1 | Streptomyces sp. MBT55 - ST 740:311	GCF_016654065.1 | Streptomyces sp. MBT59 - ST 734:312	GCF_900090065.1 | Streptomyces sp. OspMP-M45 - ST 465:313	GCF_900091745.1 | Streptomyces sp. DpondAA-D4 - ST 260:314	GCF_900091765.1 | Streptomyces sp. PalvLS-984 - ST 624:315	GCF_900091775.1 | Streptomyces sp. ScaeMP-e83 - ST 631:316	GCF_900091865.1 | Streptomyces sp. DvalAA-19 - ST 791:317	GCF_900092005.1 | Streptomyces sp. Cmuel-A718b - ST 794:318	GCF_900187925.1 | Streptomyces sp. PgraA7 - ST 633:319
GCF_000261345.2 | Streptomyces globisporus C-1027 - ST 245:245	1.0	0.6604587415000001	0.40042324890000003	0.8440487492000001	0.4014146926	0.8654293470000001	0.7498622424	0.6218376615	0.867611628	0.9500014068	0.7889824489	0.8647139967	0.8888290622	0.8750409676	0.8274997209	0.8518710946	0.8632999979	0.8437071334	0.8374375401	0.8676364237	0.8488921385	0.40172226240000003	0.7506785743000001	0.6451575936	0.7580692428	0.4026963619	0.7973657173	0.8119810643	0.8245644463	0.8821213683	0.4039483535	0.6462573419000001	0.8736093676000001	0.6135835107000001	0.8457727588	0.6318074711	0.6438295447	0.7969800346	0.8017438976	0.19688527120000002	0.3978064646	0.6717428531	0.40172226240000003	0.8266046337	0.40084374850000004	0.8306368301	0.3912196659	0.7719441867	0.8105940452	0.6431658414	0.8128692138	0.8104811155	0.64644877	0.6423391030000001	0.4028202121	0.8075247710000001	0.6425007249	0.39911382900000003	0.8481997852000001	0.1956984166	0.8487312874	0.8473318063	0.8538140261	0.8602833985	0.8641781263	0.8724692780000001	0.8813088907000001	0.8451339798	0.40172226240000003	0.4001143944	0.3975157251	0.671364108	0.641858734	0.8105466379	0.8266046337
GCF_000498935.1 | Streptomyces sp. HCCB10043 - ST 259:246	0.768705889	1.0	0.4139759759	0.7852895829000001	0.4134521654	0.7794028082000001	0.7934129073	0.6111458441000001	0.7797353673	0.7704189273000001	0.7515527774	0.7769459979000001	0.7846205768000001	0.7814784615	0.8086035613	0.7964147616	0.7769667828	0.7750982313	0.7730025407000001	0.7887123697	0.7885592490000001	0.41103228950000004	0.7611143003	0.6262412462	0.7929608721	0.4090086733	0.8333274767000001	0.805066532	0.8042756574000001	0.7803346914	0.4170992502	0.627673613	0.7837341513	0.6079802522000001	0.7878082994000001	0.615916213	0.6256915667	0.8325816112000001	0.8050982328	0.20833542060000002	0.4121313495	0.6529093763	0.41103228950000004	0.8074062588	0.41232678780000004	0.7681038733000001	0.4079920054	0.823140312	0.854330887	0.6268244209	0.8542181399000001	0.8540871499	0.6294156605	0.6236851467	0.4190234276	0.808822177	0.6262185174	0.4135967628	0.7843520174	0.2084753825	0.7656373434	0.7658342770000001	0.7634483449	0.7713315209	0.7723263571000001	0.7785030743	0.7808553618	0.7615365786	0.41103228950000004	0.41262615080000004	0.4117823419	0.6528485168	0.6302353947	0.8106377942	0.8074062588
GCF_000698495.1 | Streptomyces sp. NTK 937 - ST 265:247	0.418642336	0.37186429670000004	1.0	0.42099939810000003	0.8975842531	0.4249810708	0.4144081401	0.39560698310000003	0.4188921727	0.42101444200000004	0.39495297490000003	0.4202351125	0.4247994691	0.4187988197	0.4192111847	0.4194199193	0.41777596650000004	0.4189174251	0.4161321481	0.4182877289	0.4209420431	0.9032383546	0.41078792470000003	0.4211189437	0.4157021871	0.8869950695000001	0.4191158169	0.42454117010000003	0.4184910907	0.4184761811	0.3949610342	0.42216718350000004	0.4274553951	0.4084974857	0.41869122880000004	0.4124825165	0.4229909732	0.4234936018	0.4206492237	0.1829949545	0.8802348358000001	0.4365541546	0.9032383546	0.42524635450000003	0.9012458392	0.4150178224	0.8560134299000001	0.4013603478	0.4200747334	0.42017856340000004	0.41845576430000003	0.4196857403	0.4186372318	0.4189710191	0.3939064813	0.4229279768	0.41905147730000003	0.3942189115	0.4208815987	0.1833080564	0.4184317209	0.41691752200000004	0.4096695694	0.42214112530000003	0.4230593425	0.4275756122	0.4261530202	0.4154499325	0.9032383546	0.8999637468	0.8788075425	0.43620102510000003	0.4223952603	0.41978003350000004	0.42524635450000003
GCF_000719355.1 | Streptomyces griseus NRRL F-5144 - ST 292:248	0.8369286825000001	0.6690155962000001	0.3992809004	1.0	0.4012683353	0.87979758	0.7574037713	0.6216253194	0.8422665140000001	0.847826771	0.7670564804000001	0.8800726183	0.8506185558	0.8854445906	0.8386805705	0.859517999	0.8796975777	0.8858124973	0.8746858685000001	0.8824012076000001	0.9315489775	0.4007470493	0.7465619899	0.6426137068000001	0.7675605686	0.3986950269	0.805910125	0.8099613023000001	0.8278438848	0.8420570823	0.4036077529	0.6414131692	0.8480862675	0.612811356	0.9270372800000001	0.6253865536000001	0.6396611539	0.8091592454000001	0.8018417499	0.1939514004	0.3966232589	0.6709966615	0.4007470493	0.8465348937	0.39847948050000004	0.8646341692	0.3919873546	0.7795909128	0.8199587328	0.6416705001	0.8250856039000001	0.8199049736	0.6423412164	0.6423454203	0.4051173422	0.8075784442	0.6400865141000001	0.3974948715	0.9133500819	0.1940621036	0.8677265980000001	0.8676760235000001	0.8663815985000001	0.8309266318	0.8344170316	0.8422751766000001	0.8461134826000001	0.8646177357	0.4007470493	0.39827450750000004	0.3963793041	0.6706755075	0.6415504973	0.8106846312	0.8465348937
GCF_000721185.1 | Streptomyces griseolus NRRL B-2925 - ST 314:249	0.41451871760000003	0.36682728940000003	0.8865479834000001	0.4178927631	1.0	0.4182818822	0.4072717899	0.3892125799	0.4151353645	0.4142513889	0.38959533080000003	0.4160448125	0.4136535811	0.4152449493	0.4143492989	0.4176771755	0.4174270939	0.41763817080000004	0.41321656840000004	0.417683809	0.42062243390000004	0.9209711552000001	0.40526092140000003	0.417413827	0.4077425006	0.8879704636	0.41246035340000003	0.4143902937	0.41363023130000004	0.4146939737	0.3889578548	0.41652374870000003	0.4163794045	0.4135146763	0.4158260408	0.40776505430000004	0.41637900650000004	0.4175308413	0.4140917878	0.1829322541	0.8845056722	0.43417805200000004	0.9209711552000001	0.4144237264	0.9224387429	0.4159299209	0.8578075682	0.3973749257	0.4197948429	0.4187146494	0.4145143395	0.41951623730000004	0.41760885080000004	0.416623516	0.3911232831	0.4166194032	0.41637011760000003	0.39043128	0.41837143400000004	0.1829627681	0.4138787209	0.4114942556	0.40695563900000004	0.4108202956	0.41168065600000003	0.4154495254	0.41702550390000004	0.40999681730000004	0.9209711552000001	0.9204566636	0.8827723478	0.43400359190000004	0.4229284916	0.4143495642	0.4144237264
GCF_000743295.1 | Streptomyces sp. JS01 - ST 329:250	0.8636788204	0.6682948313	0.4056639154	0.8854876192000001	0.40423957050000003	1.0	0.7553850148	0.6402777146	0.8543160189000001	0.8699215001	0.7754972674	0.9363932366000001	0.8576217966	0.9064584021000001	0.8232513503000001	0.8480061543	0.9330161712	0.8760775062	0.8733735716000001	0.9065271256	0.881383957	0.4020083661	0.7447277506000001	0.6443481689	0.7609963619	0.4015043513	0.7993649491	0.802835099	0.8196382402	0.8500106739000001	0.4073761039	0.6451074605	0.8585544355	0.6150487699	0.8820755509	0.630980944	0.6414260117	0.809168427	0.8106664957	0.1957397868	0.39682012980000003	0.672397596	0.4020083661	0.8276932447	0.4002504047	0.8634217485000001	0.3940273419	0.778670855	0.8225820659	0.6430054972	0.8199139034	0.8216903278000001	0.6444254828	0.6425753346	0.4053397868	0.8165099127000001	0.6415346101	0.4014456287	0.8845088228	0.1961416139	0.912266047	0.9104361567	0.9131770174	0.8532128536	0.857020851	0.8652425355000001	0.8681289206	0.9072960333000001	0.4020083661	0.39995243210000003	0.3966857601	0.6720641077	0.6442748297	0.8090813687	0.8276932447
GCF_001746305.1 | Streptomyces sp. EN23 - ST 408:251	0.784692319	0.7133499926	0.4147843222	0.7993269526	0.4127160546	0.792073765	1.0	0.6233100375	0.7998951077	0.7854547439	0.7373489687	0.7899611312	0.8031564205	0.7978966159	0.8281176035000001	0.7980711226	0.7907598558000001	0.7967361059	0.7917192394	0.7993352880000001	0.8041941843	0.4117534443	0.7717114659000001	0.6447753051	0.9319501771	0.41188452600000003	0.8479575924	0.8197974781	0.8200933866000001	0.7991500259000001	0.4016542377	0.6453883642	0.8046917570000001	0.6146606617	0.8021498475000001	0.6347269178	0.6415103624	0.8294034142000001	0.8151419938000001	0.19164158520000002	0.4085359599	0.6636573893000001	0.4117534443	0.8239502809	0.4125317335	0.7879380364	0.40506357190000003	0.7898752223000001	0.8434873702000001	0.6445939418000001	0.8463066352	0.8432636575	0.645641251	0.6422636452	0.40532223980000004	0.8216741648	0.6412726676	0.4008236502	0.8014656682	0.192137948	0.7772815644000001	0.7762252476	0.7727458686	0.7734272246	0.7762518672000001	0.7842373646	0.7897059589000001	0.7744481830000001	0.4117534443	0.4122307162	0.4082532267	0.6634198289000001	0.6425704436	0.8177706188	0.8239502809
GCF_001751305.1 | Streptomyces nanshensis SCSIO M10372 - ST 410:252	0.4712146963	0.3978983632	0.2867357834	0.47506121970000004	0.2856128828	0.4861715487	0.4513651361	1.0	0.4667563897	0.47565119520000004	0.4289390576	0.4751613987	0.4704098568	0.4737369876	0.4702413341	0.4756410702	0.4736979479	0.4784851221	0.4718571465	0.48071057580000004	0.47583198470000004	0.2839152916	0.4447195392	0.6952320926000001	0.4531565782	0.2883095381	0.47064185540000003	0.47610613830000004	0.47125655920000004	0.47016675960000004	0.2833462476	0.7004300104000001	0.47335778710000004	0.6534560833	0.47648864890000003	0.6890520505000001	0.6971412377	0.48843536060000003	0.4766670045	0.1385719069	0.2807679768	0.5542483931000001	0.2839152916	0.4739507807	0.2859827371	0.46979807360000003	0.2821149901	0.45729341630000003	0.4832184585	0.6968224952000001	0.48070775250000003	0.48292278920000004	0.6977979992000001	0.6943450848	0.2808055561	0.4818742684	0.6959487278	0.2830952646	0.4787510978	0.1381227077	0.4670636442	0.4654286527	0.464802753	0.47192042770000003	0.4736554035	0.477185813	0.4760458752	0.4630708926	0.2839152916	0.2855640102	0.2806170754	0.5540218464000001	0.7082658780000001	0.47726106890000003	0.4739507807
GCF_001905405.1 | Streptomyces sp. TSRI0445 - ST 416:253	0.8691462236	0.6711200311000001	0.4013708877	0.8509344317	0.4027229076	0.8575617103000001	0.765742248	0.6170437393	1.0	0.8680369366	0.8755010389000001	0.8552072265	0.9306464624	0.8663370338	0.8353211437	0.8748899594	0.8542716879000001	0.8398180095000001	0.8359568054000001	0.8582480808	0.8557324615	0.4020454176	0.7466267071	0.6413719894000001	0.7700521091	0.40295907670000003	0.8129157091	0.8135690031	0.8275612830000001	0.9249392782	0.4041269233	0.6432978938	0.9715590611	0.6146108757000001	0.8561014516000001	0.625004762	0.6399203537	0.8099824501	0.8026559308000001	0.19343678960000002	0.3967552294	0.6712358633000001	0.4020454176	0.8349724886000001	0.4024101605	0.8300539933000001	0.3930430628	0.7712925439	0.8167045824	0.6439291796000001	0.8194451738	0.8164449895	0.6442953383000001	0.6419290139	0.4051560286	0.8083876973	0.6403479035	0.39409971050000003	0.8486064607	0.1935642051	0.8347521498	0.8348563989000001	0.8365761219000001	0.8634217931	0.8665483633000001	0.8747727114	0.8773750762	0.8320397444000001	0.4020454176	0.4020909783	0.396422276	0.6709348281	0.6377442516	0.8103133443	0.8349724886000001
GCF_001905785.1 | Streptomyces sp. CB02130 - ST 422:254	0.9090465401000001	0.6333945148	0.3853319351	0.8181785212	0.38386185850000004	0.8341060722	0.7182326134	0.6006322633	0.8291490201	1.0	0.7550029689000001	0.8273788551	0.8441206156000001	0.8443213712000001	0.7945995154000001	0.8154515402	0.8263213540000001	0.8096323333000001	0.8037751390000001	0.8323549624000001	0.8168424456000001	0.3851249098	0.7204720276000001	0.6181919213	0.7211341645	0.38493755430000004	0.7617644853000001	0.7792034196000001	0.7899527554	0.8336579681	0.3854561012	0.6203951922000001	0.8383004252	0.5889601648	0.8123189911	0.6055041202	0.6168201941	0.7674551005	0.7730265900000001	0.18702206840000002	0.37878309920000003	0.6445848245	0.3851249098	0.7967561932	0.3812378984	0.7947330246000001	0.3730664214	0.7381797014	0.7744264697000001	0.6175814179	0.7762384332000001	0.7743427499000001	0.6214936313	0.6158778846	0.3840042192	0.7784713318	0.61651568	0.3817290304	0.8096656492000001	0.1873923536	0.8146778998	0.8136826046000001	0.8168278161	0.8193671958000001	0.8220513949	0.830905785	0.8324901927	0.8105252223	0.3851249098	0.3806586209	0.3786050869	0.6442671561000001	0.6145468493	0.7795638699	0.7967561932
