	GCF_000340335.1 | Streptomyces bottropensis ATCC 25435 - ST 162:143	GCF_000383595.1 | Streptomyces bottropensis ATCC 25435 - ST 162:144	GCF_009870085.1 | Streptomyces sp. SID5476 - ST 162:145
GCF_000340335.1 | Streptomyces bottropensis ATCC 25435 - ST 162:143	8914727	9319479	8908221
GCF_000383595.1 | Streptomyces bottropensis ATCC 25435 - ST 162:144	9319479	8955726	9320365
GCF_009870085.1 | Streptomyces sp. SID5476 - ST 162:145	8908221	9320365	8914727
