	GCF_000403665.1 | Streptomyces lividans 1326 - ST 254:125	GCF_000717845.1 | Streptomyces violaceoruber NRRL S-12 - ST 276:126	GCF_000972395.1 | Streptomyces sp. WM6391 - ST 254:127	GCF_003013745.1 | Streptomyces sp. 111WW2 - ST 485:128	GCF_003112595.1 | Streptomyces rubrogriseus NBRC 15455 - ST 491:129	GCF_003671755.1 | Streptomyces sp. E5N91 - ST 514:130	GCF_004795155.1 | Streptomyces sp. LRa12 - ST 571:131	GCF_008124905.1 | Streptomyces coelicolor A3(2) R4-mCherry-14 - ST 168:132	GCF_008124915.1 | Streptomyces coelicolor ICSSB 1010 - ST 168:133	GCF_008124975.1 | Streptomyces coelicolor A3(2) R4-mCherry-17 - ST 168:134	GCF_008124985.1 | Streptomyces coelicolor A3(2) R4-mCherry-15 - ST 168:135	GCF_008125035.1 | Streptomyces coelicolor A3(2) R4-mCherry-18 - ST 168:136	GCF_008931305.1 | Streptomyces coelicolor CFB_NBC_0001 - ST 168:137	GCF_009862445.1 | Streptomyces sp. SID7813 - ST 168:138	GCF_010550325.1 | Streptomyces rubrogriseus SID7739 - ST 657:139	GCF_013307045.1 | Streptomyces coelicolor M1154/pAMX4 - ST 168:140	GCF_013317105.1 | Streptomyces coelicolor M1154/pAMX4/pGP1416 - ST 168:141	GCF_018070145.1 | Streptomyces sp. RK76 - ST 762:142
GCF_000403665.1 | Streptomyces lividans 1326 - ST 254:125	8496762	7953898	8541938	7948140	7335165	6869583	7855397	7976029	7977438	7974153	7975481	7975296	7996727	7996714	7192474	7831202	7842320	7946902
GCF_000717845.1 | Streptomyces violaceoruber NRRL S-12 - ST 276:126	7953898	8489968	7919557	8169856	7415886	6947225	7992484	7997427	7997121	7995760	7996031	7996904	8004663	8004790	7326527	7843071	7836892	7983585
GCF_000972395.1 | Streptomyces sp. WM6391 - ST 254:127	8541938	7919557	8558285	7909658	7302641	6848661	7833618	7953885	7953014	7953083	7953414	7953147	7959885	7959800	7138229	7783600	7781490	7938475
GCF_003013745.1 | Streptomyces sp. 111WW2 - ST 485:128	7948140	8169856	7909658	8593882	7379985	6886918	7956622	7998888	7999284	7998166	7998949	7998180	8001258	8001269	7236468	7831202	7827258	7964748
GCF_003112595.1 | Streptomyces rubrogriseus NBRC 15455 - ST 491:129	7335165	7415886	7302641	7379985	8454377	6677359	7385151	7408766	7408394	7408588	7408387	7407808	7418164	7418077	7840087	7255468	7256443	7411110
GCF_003671755.1 | Streptomyces sp. E5N91 - ST 514:130	6869583	6947225	6848661	6886918	6677359	8512825	6933014	6967952	6967064	6967085	6966940	6967561	6971933	6971799	6621481	6832045	6829669	6952852
GCF_004795155.1 | Streptomyces sp. LRa12 - ST 571:131	7855397	7992484	7833618	7956622	7385151	6933014	8304237	7990677	7989936	7988296	7989436	7989402	7998048	7998033	7250555	7826210	7816564	7962204
GCF_008124905.1 | Streptomyces coelicolor A3(2) R4-mCherry-14 - ST 168:132	7976029	7997427	7953885	7998888	7408766	6967952	7990677	8585353	8579340	8583192	8583370	8604253	8675300	8655185	7254809	8488777	8455620	7986201
GCF_008124915.1 | Streptomyces coelicolor ICSSB 1010 - ST 168:133	7977438	7997121	7953014	7999284	7408394	6967064	7989936	8579340	8580007	8579199	8579410	8600094	8674098	8633946	7257083	8487387	8454479	7995197
GCF_008124975.1 | Streptomyces coelicolor A3(2) R4-mCherry-17 - ST 168:134	7974153	7995760	7953083	7998166	7408588	6967085	7988296	8583192	8579199	8584079	8583150	8603129	8674716	8654601	7256231	8486777	8455075	7975719
GCF_008124985.1 | Streptomyces coelicolor A3(2) R4-mCherry-15 - ST 168:135	7975481	7996031	7953414	7998949	7408387	6966940	7989436	8583370	8579410	8583150	8584323	8603431	8673439	8633288	7261334	8487496	8454072	7985502
GCF_008125035.1 | Streptomyces coelicolor A3(2) R4-mCherry-18 - ST 168:136	7975296	7996904	7953147	7998180	7407808	6967561	7989402	8604253	8600094	8603129	8603431	8584931	8696218	8656067	7261575	8508224	8476541	7985783
GCF_008931305.1 | Streptomyces coelicolor CFB_NBC_0001 - ST 168:137	7996727	8004663	7959885	8001258	7418164	6971933	7998048	8675300	8674098	8674716	8673439	8696218	8667664	8687563	7279089	8474645	8504788	8002966
GCF_009862445.1 | Streptomyces sp. SID7813 - ST 168:138	7996714	8004790	7959800	8001269	7418077	6971799	7998033	8655185	8633946	8654601	8633288	8656067	8687563	8667507	7279004	8454394	8484755	8003191
GCF_010550325.1 | Streptomyces rubrogriseus SID7739 - ST 657:139	7192474	7326527	7138229	7236468	7840087	6621481	7250555	7254809	7257083	7256231	7261334	7261575	7279089	7279004	8807842	7081062	7081309	7296419
GCF_013307045.1 | Streptomyces coelicolor M1154/pAMX4 - ST 168:140	7831202	7843071	7783600	7831202	7255468	6832045	7826210	8488777	8487387	8486777	8487496	8508224	8474645	8454394	7081062	8476974	8442392	7827919
GCF_013317105.1 | Streptomyces coelicolor M1154/pAMX4/pGP1416 - ST 168:141	7842320	7836892	7781490	7827258	7256443	6829669	7816564	8455620	8454479	8455075	8454072	8476541	8504788	8484755	7081309	8442392	8585093	7825755
GCF_018070145.1 | Streptomyces sp. RK76 - ST 762:142	7946902	7983585	7938475	7964748	7411110	6952852	7962204	7986201	7995197	7975719	7985502	7985783	8002966	8003191	7296419	7827919	7825755	8856736
